date,AFS,HTM,
2000-01-01,15.53,2.32,
2000-04-01,14.98,2.26,
2000-07-01,14.99,2.12,
2000-10-01,14.96,2.03,
2001-01-01,14.72,1.61,
2001-04-01,14.63,1.51,
2001-07-01,15.05,1.40,
2001-10-01,16.14,1.45,
2002-01-01,16.41,1.41,
2002-04-01,16.59,1.39,
2002-07-01,16.64,1.39,
2002-10-01,17.00,1.36,
2003-01-01,17.34,1.33,
2003-04-01,17.29,1.24,
2003-07-01,16.52,1.31,
2003-10-01,17.04,1.32,
2004-01-01,17.49,1.28,
2004-04-01,16.75,1.31,
2004-07-01,15.66,1.30,
2004-10-01,15.50,1.33,
2005-01-01,15.22,1.28,
2005-04-01,14.86,1.26,
2005-07-01,14.17,1.24,
2005-10-01,13.91,1.22,
2006-01-01,13.93,1.16,
2006-04-01,13.70,1.11,
2006-07-01,13.51,1.05,
2006-10-01,13.26,0.96,
2007-01-01,12.74,0.95,
2007-04-01,12.30,0.91,
2007-07-01,11.95,0.85,
2007-10-01,11.91,0.80,
2008-01-01,11.70,0.62,
2008-04-01,12.49,0.64,
2008-07-01,11.96,1.14,
2008-10-01,12.40,1.25,
2009-01-01,12.25,1.11,
2009-04-01,13.01,1.15,
2009-07-01,13.13,1.12,
2009-10-01,13.87,1.05,
2010-01-01,13.48,0.98,
2010-04-01,13.61,0.89,
2010-07-01,14.22,0.85,
2010-10-01,14.83,0.86,
2011-01-01,14.87,0.88,
2011-04-01,14.68,0.92,
2011-07-01,14.82,1.08,
2011-10-01,15.22,1.20,
2012-01-01,15.84,1.24,
2012-04-01,15.63,1.35,
2012-07-01,15.70,1.37,
2012-10-01,15.57,1.44,
2013-01-01,15.38,1.49,
2013-04-01,14.91,1.63,
2013-07-01,14.48,2.00,
2013-10-01,14.25,2.43,
2014-01-01,14.05,2.63,
2014-04-01,13.97,2.84,
2014-07-01,14.03,3.01,
2014-10-01,14.01,3.09,
2015-01-01,13.81,3.28,
2015-04-01,13.75,3.46,
2015-07-01,13.78,3.51,
2015-10-01,13.69,3.73,
2016-01-01,13.42,3.75,
2016-04-01,13.25,3.84,
2016-07-01,12.85,3.67,
2016-10-01,13.03,3.86,
2017-01-01,12.81,3.88,
2017-04-01,12.47,4.05,
2017-07-01,12.46,4.11,
2017-10-01,12.48,4.19,
2018-01-01,12.24,4.00,
2018-04-01,12.10,4.30,
2018-07-01,11.89,4.43,
2018-10-01,12.04,4.52,
2019-01-01,11.98,4.45,
2019-04-01,12.11,4.38,
2019-07-01,12.67,4.36,
2019-10-01,13.20,4.09,
2020-01-01,12.67,4.01,
2020-04-01,13.22,3.94,
2020-07-01,13.55,4.61,
2020-10-01,13.56,5.40,
2021-01-01,13.27,6.28,
2021-04-01,12.99,7.26,
2021-07-01,13.17,7.47,
2021-10-01,13.68,7.82,
2022-01-01,12.77,8.37,
2022-04-01,11.63,9.52,
2022-07-01,10.85,9.71,
