date,exports
2003-01-01,3
2003-02-01,4
2003-03-01,8
2003-04-01,5
2003-05-01,5
2003-06-01,5
2003-07-01,7
2003-08-01,7
2003-09-01,4
2003-10-01,7
2003-11-01,5
2003-12-01,5
2004-01-01,5
2004-02-01,6
2004-03-01,6
2004-04-01,6
2004-05-01,6
2004-06-01,5
2004-07-01,8
2004-08-01,7
2004-09-01,6
2004-10-01,6
2004-11-01,8
2004-12-01,7
2005-01-01,6
2005-02-01,4
2005-03-01,11
2005-04-01,9
2005-05-01,9
2005-06-01,8
2005-07-01,7
2005-08-01,5
2005-09-01,11
2005-10-01,5
2005-11-01,7
2005-12-01,10
2006-01-01,12
2006-02-01,8
2006-03-01,8
2006-04-01,11
2006-05-01,10
2006-06-01,10
2006-07-01,9
2006-08-01,14
2006-09-01,9
2006-10-01,12
2006-11-01,12
2006-12-01,9
2007-01-01,16
2007-02-01,13
2007-03-01,19
2007-04-01,20
2007-05-01,20
2007-06-01,14
2007-07-01,13
2007-08-01,24
2007-09-01,9
2007-10-01,18
2007-11-01,8
2007-12-01,14
2008-01-01,26
2008-02-01,18
2008-03-01,18
2008-04-01,17
2008-05-01,20
2008-06-01,16
2008-07-01,18
2008-08-01,17
2008-09-01,10
2008-10-01,27
2008-11-01,15
2008-12-01,18
2009-01-01,5
2009-02-01,9
2009-03-01,5
2009-04-01,12
2009-05-01,9
2009-06-01,8
2009-07-01,12
2009-08-01,9
2009-09-01,15
2009-10-01,9
2009-11-01,9
2009-12-01,11
2010-01-01,11
2010-02-01,7
2010-03-01,14
2010-04-01,12
2010-05-01,17
2010-06-01,17
2010-07-01,19
2010-08-01,18
2010-09-01,13
2010-10-01,11
2010-11-01,16
2010-12-01,19
2011-01-01,9
2011-02-01,15
2011-03-01,18
2011-04-01,19
2011-05-01,21
2011-06-01,16
2011-07-01,15
2011-08-01,14
2011-09-01,18
2011-10-01,16
2011-11-01,20
2011-12-01,22
2012-01-01,26
2012-02-01,7
2012-03-01,17
2012-04-01,27
2012-05-01,20
2012-06-01,21
2012-07-01,21
2012-08-01,23
2012-09-01,17
2012-10-01,18
2012-11-01,25
2012-12-01,17
2013-01-01,15
2013-02-01,16
2013-03-01,16
2013-04-01,23
2013-05-01,22
2013-06-01,26
2013-07-01,23
2013-08-01,20
2013-09-01,15
2013-10-01,19
2013-11-01,17
2013-12-01,14
2014-01-01,15
2014-02-01,11
2014-03-01,25
2014-04-01,17
2014-05-01,22
2014-06-01,15
2014-07-01,22
2014-08-01,21
2014-09-01,21
2014-10-01,21
2014-11-01,18
2014-12-01,20
2015-01-01,34
2015-02-01,16
2015-03-01,20
2015-04-01,15
2015-05-01,20
2015-06-01,14
2015-07-01,19
2015-08-01,29
2015-09-01,18
2015-10-01,20
2015-11-01,24
2015-12-01,14
2016-01-01,31
2016-02-01,29
2016-03-01,35
2016-04-01,44
2016-05-01,52
2016-06-01,41
2016-07-01,29
2016-08-01,53
2016-09-01,58
2016-10-01,32
2016-11-01,62
2016-12-01,34
2017-01-01,54
2017-02-01,57
2017-03-01,43
2017-04-01,79
2017-05-01,61
2017-06-01,41
2017-07-01,43
2017-08-01,60
2017-09-01,60
2017-10-01,70
2017-11-01,79
2017-12-01,47
2018-01-01,86
2018-02-01,76
2018-03-01,56
2018-04-01,108
2018-05-01,69
2018-06-01,99
2018-07-01,85
2018-08-01,97
2018-09-01,57
2018-10-01,81
2018-11-01,73
2018-12-01,66
2019-01-01,100
2019-02-01,60
2019-03-01,84
2019-04-01,48
2019-05-01,64
2019-06-01,68
2019-07-01,72
2019-08-01,59
2019-09-01,30
2019-10-01,60
2019-11-01,60
2019-12-01,62
2020-01-01,64
2020-02-01,40
2020-03-01,47
2020-04-01,57
2020-05-01,45
2020-06-01,85
2020-07-01,38
2020-08-01,49
2020-09-01,45
2020-10-01,56
2020-11-01,36
2020-12-01,55
2021-01-01,58
2021-02-01,38
2021-03-01,42
2021-04-01,97
2021-05-01,63
2021-06-01,71
2021-07-01,101
2021-08-01,81
2021-09-01,137
2021-10-01,138
2021-11-01,190
2021-12-01,217
2022-01-01,275
2022-02-01,334
2022-03-01,346
2022-04-01,865
2022-05-01,"1,531"
2022-06-01,669
2022-07-01,810
2022-08-01,694
2022-09-01,623
2022-10-01,537
2022-11-01,686
2022-12-01,723
2023-01-01,565
2023-02-01,770
2023-03-01,948
2023-04-01,472
2023-05-01,477
2023-06-01,464
2023-07-01,446
2023-08-01,525
