Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
66431,Liberty 1 Solar LLC,67867,Liberty Hybrid Solar and Storage Project,Map,Map,TX,Harris,ERCO,IPP Non-CHP,LIB2,,65,65,65,Batteries,MWH,BA,1,2026,"(TS) Construction complete, but not yet in commercial operation",30.009659,-95.04083
66543,"Old Hayneville Solar, LLC",68001,"Old Hayneville Solar, LLC",Map,Map,AL,Montgomery,SOCO,IPP Non-CHP,OLHAY,,80,80,80,Solar Photovoltaic,SUN,PV,1,2026,"(V) Under construction, more than 50 percent complete",32.317562,-86.41123
67494,On Energy Storage,69453,Alamo Clean Energy Center (BESS),Map,Map,TX,Pecos,ERCO,IPP Non-CHP,ALBA1,,10.1,10.1,10.1,Batteries,MWH,BA,1,2026,"(TS) Construction complete, but not yet in commercial operation",30.902391,-102.8728
67494,On Energy Storage,69455,Fort Stockton Clean Energy Center (BESS),Map,Map,TX,Pecos,ERCO,IPP Non-CHP,FSBA1,,10.1,10.1,10.1,Batteries,MWH,BA,1,2026,"(TS) Construction complete, but not yet in commercial operation",30.891456,-102.8828
67494,On Energy Storage,69457,Mesquite Clean Energy Center (BESS),Map,Map,TX,Cameron,ERCO,IPP Non-CHP,MEBA1,,10.1,10.1,10.1,Batteries,MWH,BA,1,2026,"(TS) Construction complete, but not yet in commercial operation",26.098447,-97.82261
67494,On Energy Storage,69458,North Pecos Clean Energy Center (BESS),Map,Map,TX,Reeves,ERCO,IPP Non-CHP,NPBA1,,10.1,10,10.1,Batteries,MWH,BA,1,2026,"(TS) Construction complete, but not yet in commercial operation",31.422461,-103.5091
65539,Pivot Energy,69483,Pivot Solar 40,Map,Map,CO,Weld,PSCO,IPP Non-CHP,PS40,,2.8,2.8,2.8,Solar Photovoltaic,SUN,PV,1,2026,"(V) Under construction, more than 50 percent complete",40.318083,-104.9277
65869,Prologis Logistics Services Incorporated,69619,Prologis Edison 0503 - SLCNJ005,Map,Map,NJ,Middlesex,PJM,IPP Non-CHP,CN005,,1.4,1,1,Solar Photovoltaic,SUN,PV,1,2026,"(TS) Construction complete, but not yet in commercial operation",40.52988,-74.39846
807,Arkansas Electric Coop Corp,201,Thomas Fitzhugh,Map,Map,AR,Franklin,SWPP,Electric Utility,3,,71.2,46.5,46.5,Natural Gas Fired Combustion Turbine,NG,GT,2,2026,"(V) Under construction, more than 50 percent complete",35.462382,-93.80493
13781,Northern States Power Co - Minnesota,4014,Wheaton,Map,Map,WI,Chippewa,MISO,Electric Utility,WHT08,,249.1,223.1,230.8,Natural Gas Fired Combustion Turbine,NG,GT,2,2026,"(U) Under construction, less than or equal to 50 percent complete",44.885416,-91.51583
13491,New York University,54808,New York University Central Plant,Map,Map,NY,New York,NYIS,Commercial CHP,GR1,,2.6,2.6,2.6,Natural Gas Internal Combustion Engine,NG,IC,2,2026,"(V) Under construction, more than 50 percent complete",40.7899,-73.9233
67192,RWE Clean Energy,57679,Arlington Valley Solar Energy I,Map,Map,AZ,Maricopa,AZPS,IPP Non-CHP,AVSE1,,127,125,125,Solar Photovoltaic,SUN,PV,2,2026,"(V) Under construction, more than 50 percent complete",33.321667,-112.8806
16572,Salt River Project,58413,Copper Crossing Energy and Research Cent,Map,Map,AZ,Pinal,SRP,Electric Utility,CXS01,,17.6,16.5,17.6,Solar Photovoltaic,SUN,PV,2,2026,"(U) Under construction, less than or equal to 50 percent complete",33.15512,-111.4836
