Entity ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year
63560,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,1,,0.9,0.4,0.4,Petroleum Liquids,DFO,IC,12,2000
63560,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,2,,0.9,0.3,0.3,Petroleum Liquids,DFO,IC,12,2000
63560,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,3,,0.5,0.3,0.3,Petroleum Liquids,DFO,IC,12,2010
63560,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,5.1,,0.4,0.3,0.3,Petroleum Liquids,DFO,IC,2,2023
63560,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,WT1,,0.5,0.1,0.1,Onshore Wind Turbine,WND,WT,10,2011
63560,Sand Point,Map,Map,AK,Aleutians East,,Electric Utility,WT2,,0.5,0.3,0.3,Onshore Wind Turbine,WND,WT,10,2011
195,Bankhead Dam,Map,Map,AL,Tuscaloosa,SOCO,Electric Utility,1,,53.9,53.0,53.0,Conventional Hydroelectric,WAT,HY,7,1963
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,1,,153.1,80.0,80.0,Natural Gas Steam Turbine,NG,ST,2,1954
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,2,,153.1,80.0,80.0,Natural Gas Steam Turbine,NG,ST,7,1954
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,4,,403.7,362.0,362.0,Conventional Steam Coal,BIT,ST,12,1969
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,5,,788.8,756.5,756.5,Conventional Steam Coal,BIT,ST,10,1971
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,A1CT,G521,170.1,184.4,194.5,Natural Gas Fired Combined Cycle,NG,CT,5,2000
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,A1CT2,G521,170.1,184.4,194.5,Natural Gas Fired Combined Cycle,NG,CT,5,2000
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,A1ST,G521,195.2,200.0,205.0,Natural Gas Fired Combined Cycle,NG,CA,5,2000
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,A2C1,G522,170.1,186.2,190.0,Natural Gas Fired Combined Cycle,NG,CT,5,2000
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,A2C2,G522,170.1,186.2,190.0,Natural Gas Fired Combined Cycle,NG,CT,5,2000
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,A2ST,G522,195.2,195.0,200.0,Natural Gas Fired Combined Cycle,NG,CA,5,2000
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,A3C1,G523,464.0,385.0,443.0,Natural Gas Fired Combined Cycle,NG,CT,11,2023
195,Barry,Map,Map,AL,Mobile,SOCO,Electric Utility,A3ST,G523,310.0,300.0,300.0,Natural Gas Fired Combined Cycle,NG,CA,11,2023
195,Walter Bouldin Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,1,,75.0,74.7,74.7,Conventional Hydroelectric,WAT,HY,7,1967
195,Walter Bouldin Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,2,,75.0,74.7,74.7,Conventional Hydroelectric,WAT,HY,8,1967
195,Walter Bouldin Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,3,,75.0,74.7,74.7,Conventional Hydroelectric,WAT,HY,8,1967
5701,Copper,Map,Map,TX,El Paso,EPE,Electric Utility,1,,86.9,63.0,65.0,Natural Gas Fired Combustion Turbine,NG,GT,7,1980
195,Greene County,Map,Map,AL,Greene,SOCO,Electric Utility,1,,299.2,257.8,257.8,Natural Gas Steam Turbine,NG,ST,6,1965
195,Greene County,Map,Map,AL,Greene,SOCO,Electric Utility,2,,269.2,258.3,258.3,Natural Gas Steam Turbine,NG,ST,7,1966
195,Greene County,Map,Map,AL,Greene,SOCO,Electric Utility,GT10,,80.0,85.0,101.0,Natural Gas Fired Combustion Turbine,NG,GT,5,1996
195,Greene County,Map,Map,AL,Greene,SOCO,Electric Utility,GT2,,80.0,84.0,100.0,Natural Gas Fired Combustion Turbine,NG,GT,5,1996
195,Greene County,Map,Map,AL,Greene,SOCO,Electric Utility,GT3,,80.0,82.0,98.0,Natural Gas Fired Combustion Turbine,NG,GT,5,1995
195,Greene County,Map,Map,AL,Greene,SOCO,Electric Utility,GT4,,80.0,81.0,97.0,Natural Gas Fired Combustion Turbine,NG,GT,5,1995
195,Greene County,Map,Map,AL,Greene,SOCO,Electric Utility,GT5,,80.0,82.0,98.0,Natural Gas Fired Combustion Turbine,NG,GT,5,1995
195,Greene County,Map,Map,AL,Greene,SOCO,Electric Utility,GT6,,80.0,81.0,97.0,Natural Gas Fired Combustion Turbine,NG,GT,5,1995
195,Greene County,Map,Map,AL,Greene,SOCO,Electric Utility,GT7,,80.0,80.0,96.0,Natural Gas Fired Combustion Turbine,NG,GT,5,1995
195,Greene County,Map,Map,AL,Greene,SOCO,Electric Utility,GT8,,80.0,83.0,99.0,Natural Gas Fired Combustion Turbine,NG,GT,5,1996
195,Greene County,Map,Map,AL,Greene,SOCO,Electric Utility,GT9,,80.0,82.0,98.0,Natural Gas Fired Combustion Turbine,NG,GT,5,1996
195,H Neely Henry Dam,Map,Map,AL,Calhoun,SOCO,Electric Utility,1,,24.3,23.7,22.7,Conventional Hydroelectric,WAT,HY,6,1966
195,H Neely Henry Dam,Map,Map,AL,Calhoun,SOCO,Electric Utility,2,,24.3,23.7,22.7,Conventional Hydroelectric,WAT,HY,6,1966
195,H Neely Henry Dam,Map,Map,AL,Calhoun,SOCO,Electric Utility,3,,24.3,23.7,22.7,Conventional Hydroelectric,WAT,HY,6,1966
195,Holt Dam,Map,Map,AL,Tuscaloosa,SOCO,Electric Utility,1,,46.9,48.0,48.0,Conventional Hydroelectric,WAT,HY,8,1968
195,Jordan Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,1,,25.0,32.3,32.5,Conventional Hydroelectric,WAT,HY,1,1929
195,Jordan Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,2,,25.0,32.3,32.5,Conventional Hydroelectric,WAT,HY,1,1929
195,Jordan Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,3,,25.0,32.3,32.5,Conventional Hydroelectric,WAT,HY,1,1929
195,Jordan Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,4,,25.0,32.3,32.5,Conventional Hydroelectric,WAT,HY,1,1929
195,Logan Martin Dam,Map,Map,AL,Talladega,SOCO,Electric Utility,1,,42.7,43.0,39.7,Conventional Hydroelectric,WAT,HY,8,1964
195,Logan Martin Dam,Map,Map,AL,Talladega,SOCO,Electric Utility,2,,42.7,43.0,39.7,Conventional Hydroelectric,WAT,HY,8,1964
195,Logan Martin Dam,Map,Map,AL,Talladega,SOCO,Electric Utility,3,,42.7,43.0,39.7,Conventional Hydroelectric,WAT,HY,8,1964
195,Lay Dam,Map,Map,AL,Chilton,SOCO,Electric Utility,1,,29.5,30.0,30.3,Conventional Hydroelectric,WAT,HY,4,1968
195,Lay Dam,Map,Map,AL,Chilton,SOCO,Electric Utility,2,,29.5,30.0,30.3,Conventional Hydroelectric,WAT,HY,4,1968
195,Lay Dam,Map,Map,AL,Chilton,SOCO,Electric Utility,3,,29.5,30.0,30.3,Conventional Hydroelectric,WAT,HY,12,1967
195,Lay Dam,Map,Map,AL,Chilton,SOCO,Electric Utility,4,,29.5,30.0,30.3,Conventional Hydroelectric,WAT,HY,10,1967
195,Lay Dam,Map,Map,AL,Chilton,SOCO,Electric Utility,5,,29.5,30.0,30.3,Conventional Hydroelectric,WAT,HY,5,1967
195,Lay Dam,Map,Map,AL,Chilton,SOCO,Electric Utility,6,,29.5,30.0,30.3,Conventional Hydroelectric,WAT,HY,2,1967
195,Martin Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,1,,50.2,41.5,39.4,Conventional Hydroelectric,WAT,HY,1,1927
195,Martin Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,2,,50.2,41.5,39.4,Conventional Hydroelectric,WAT,HY,1,1927
195,Martin Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,3,,50.2,41.5,39.4,Conventional Hydroelectric,WAT,HY,1,1927
195,Martin Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,4,,60.0,57.6,54.7,Conventional Hydroelectric,WAT,HY,7,1952
195,Mitchell Dam,Map,Map,AL,Coosa,SOCO,Electric Utility,4,,20.0,22.4,22.7,Conventional Hydroelectric,WAT,HY,11,1949
195,Mitchell Dam,Map,Map,AL,Coosa,SOCO,Electric Utility,5,,50.0,46.9,47.4,Conventional Hydroelectric,WAT,HY,4,1985
195,Mitchell Dam,Map,Map,AL,Coosa,SOCO,Electric Utility,6,,50.0,46.9,47.4,Conventional Hydroelectric,WAT,HY,4,1985
195,Mitchell Dam,Map,Map,AL,Coosa,SOCO,Electric Utility,7,,50.0,46.9,47.4,Conventional Hydroelectric,WAT,HY,4,1985
195,Lewis Smith Dam,Map,Map,AL,Walker,SOCO,Electric Utility,1,,90.5,89.0,87.5,Conventional Hydroelectric,WAT,HY,9,1961
195,Lewis Smith Dam,Map,Map,AL,Walker,SOCO,Electric Utility,2,,90.5,89.0,87.5,Conventional Hydroelectric,WAT,HY,7,1962
195,Thurlow Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,1,,40.5,36.2,35.3,Conventional Hydroelectric,WAT,HY,1,1931
195,Thurlow Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,2,,40.5,36.2,35.3,Conventional Hydroelectric,WAT,HY,1,1931
195,Thurlow Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,3,,10.0,7.5,7.3,Conventional Hydroelectric,WAT,HY,1,1931
195,Weiss Dam,Map,Map,AL,Cherokee,SOCO,Electric Utility,1,,29.2,27.0,24.3,Conventional Hydroelectric,WAT,HY,7,1962
195,Weiss Dam,Map,Map,AL,Cherokee,SOCO,Electric Utility,2,,29.2,27.0,24.3,Conventional Hydroelectric,WAT,HY,6,1961
195,Weiss Dam,Map,Map,AL,Cherokee,SOCO,Electric Utility,3,,29.2,27.0,24.3,Conventional Hydroelectric,WAT,HY,6,1961
195,Yates Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,1,,25.5,22.0,22.5,Conventional Hydroelectric,WAT,HY,7,1928
195,Yates Dam,Map,Map,AL,Elmore,SOCO,Electric Utility,2,,25.0,22.0,22.5,Conventional Hydroelectric,WAT,HY,7,1928
195,E C Gaston,Map,Map,AL,Shelby,SOCO,Electric Utility,1,,272.0,254.0,254.0,Natural Gas Steam Turbine,NG,ST,5,1960
195,E C Gaston,Map,Map,AL,Shelby,SOCO,Electric Utility,2,,272.0,256.0,256.0,Natural Gas Steam Turbine,NG,ST,7,1960
195,E C Gaston,Map,Map,AL,Shelby,SOCO,Electric Utility,3,,272.0,254.0,254.0,Natural Gas Steam Turbine,NG,ST,6,1961
195,E C Gaston,Map,Map,AL,Shelby,SOCO,Electric Utility,5,,952.0,832.0,832.0,Conventional Steam Coal,BIT,ST,8,1974
195,E C Gaston,Map,Map,AL,Shelby,SOCO,Electric Utility,GT4,,21.2,16.0,20.0,Petroleum Liquids,DFO,GT,6,1970
195,E C Gaston,Map,Map,AL,Shelby,SOCO,Electric Utility,ST4,,244.8,256.0,256.0,Natural Gas Steam Turbine,NG,ST,6,1962
29305,Madelia,Map,Map,MN,Watonwan,MISO,Electric Utility,1,,3.1,3.1,3.1,Petroleum Liquids,DFO,IC,5,2001
29305,Madelia,Map,Map,MN,Watonwan,MISO,Electric Utility,2,,2.0,1.8,2.0,Petroleum Liquids,DFO,IC,6,1965
29305,Madelia,Map,Map,MN,Watonwan,MISO,Electric Utility,3,,1.1,0.9,1.0,Petroleum Liquids,DFO,IC,1,1959
29305,Madelia,Map,Map,MN,Watonwan,MISO,Electric Utility,4,,4.3,3.7,4.0,Petroleum Liquids,DFO,IC,6,1973
29305,Madelia,Map,Map,MN,Watonwan,MISO,Electric Utility,5,,1.3,1.1,1.2,Petroleum Liquids,DFO,IC,3,1954
13402,Rollins,Map,Map,CA,Placer,CISO,IPP Non-CHP,1P,,12.1,12.1,12.1,Conventional Hydroelectric,WAT,HY,8,1980
27813,Millers Ferry,Map,Map,AL,Wilcox,SOCO,Electric Utility,1,,33.7,30.0,30.0,Conventional Hydroelectric,WAT,HY,4,1970
27813,Millers Ferry,Map,Map,AL,Wilcox,SOCO,Electric Utility,2,,33.7,30.0,30.0,Conventional Hydroelectric,WAT,HY,4,1970
27813,Millers Ferry,Map,Map,AL,Wilcox,SOCO,Electric Utility,3,,33.7,30.0,30.0,Conventional Hydroelectric,WAT,HY,5,1970
18642,Browns Ferry,Map,Map,AL,Limestone,TVA,Electric Utility,1,,"1,281.0","1,227.4","1,254.8",Nuclear,NUC,ST,8,1974
18642,Browns Ferry,Map,Map,AL,Limestone,TVA,Electric Utility,2,,"1,281.0","1,207.7","1,242.0",Nuclear,NUC,ST,3,1975
18642,Browns Ferry,Map,Map,AL,Limestone,TVA,Electric Utility,3,,"1,292.0","1,226.6","1,259.0",Nuclear,NUC,ST,3,1977
18642,Colbert,Map,Map,AL,Colbert,TVA,Electric Utility,GT1,,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,NG,GT,9,1972
18642,Colbert,Map,Map,AL,Colbert,TVA,Electric Utility,GT10,,231.2,221.0,231.0,Natural Gas Fired Combustion Turbine,NG,GT,7,2023
18642,Colbert,Map,Map,AL,Colbert,TVA,Electric Utility,GT11,,231.2,221.0,231.0,Natural Gas Fired Combustion Turbine,NG,GT,7,2023
18642,Colbert,Map,Map,AL,Colbert,TVA,Electric Utility,GT2,,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,NG,GT,9,1972
18642,Colbert,Map,Map,AL,Colbert,TVA,Electric Utility,GT3,,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,NG,GT,9,1972
18642,Colbert,Map,Map,AL,Colbert,TVA,Electric Utility,GT4,,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,NG,GT,9,1972
18642,Colbert,Map,Map,AL,Colbert,TVA,Electric Utility,GT5,,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,NG,GT,9,1972
18642,Colbert,Map,Map,AL,Colbert,TVA,Electric Utility,GT6,,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,NG,GT,9,1972
18642,Colbert,Map,Map,AL,Colbert,TVA,Electric Utility,GT7,,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,NG,GT,9,1972
18642,Colbert,Map,Map,AL,Colbert,TVA,Electric Utility,GT8,,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,NG,GT,9,1972
