date,shipments,dollars,dollars_per_watt
2017-01-01,346090.20,184038.02,0.53
2017-02-01,398493.55,158925.47,0.40
2017-03-01,847858.59,558243.51,0.66
2017-04-01,636679.28,269648.35,0.42
2017-05-01,573400.04,259114.96,0.45
2017-06-01,874889.45,411763.30,0.47
2017-07-01,838412.39,343328.02,0.41
2017-08-01,1065968.84,554271.89,0.52
2017-09-01,1110192.62,513452.25,0.46
2017-10-01,1243893.12,515001.96,0.41
2017-11-01,1228391.47,582586.14,0.47
2017-12-01,991623.22,489164.32,0.49
2018-01-01,579753.64,266128.64,0.46
2018-02-01,461530.69,193789.62,0.42
2018-03-01,523470.22,227178.98,0.43
2018-04-01,265906.71,137711.70,0.52
2018-05-01,404837.64,162246.28,0.40
2018-06-01,486643.07,225610.00,0.46
2018-07-01,492913.90,222230.02,0.45
2018-08-01,599551.42,269307.55,0.45
2018-09-01,741277.29,319408.07,0.43
2018-10-01,575322.62,246601.43,0.43
2018-11-01,586613.30,256080.51,0.44
2018-12-01,1043411.42,421994.68,0.40
2019-01-01,406510.35,172009.11,0.42
2019-02-01,442273.32,178598.39,0.40
2019-03-01,1015834.42,405535.50,0.40
2019-04-01,662979.07,258658.28,0.39
2019-05-01,993077.51,383370.95,0.39
2019-06-01,1421321.19,540083.84,0.38
2019-07-01,1066552.27,419314.85,0.39
2019-08-01,1276820.36,494217.28,0.39
2019-09-01,1530754.83,623044.29,0.41
2019-10-01,1289317.96,530989.49,0.41
2019-11-01,1216393.02,529879.45,0.44
2019-12-01,1958492.96,796301.00,0.41
2020-01-01,1494095.02,603103.79,0.40
2020-02-01,1362733.49,621811.69,0.46
2020-03-01,2045318.52,759607.21,0.37
2020-04-01,1242914.82,456669.94,0.37
2020-05-01,1212031.50,447343.99,0.37
2020-06-01,2039116.95,729487.65,0.36
2020-07-01,1551664.67,566203.24,0.36
2020-08-01,1675264.00,623495.00,0.37
2020-09-01,1855465.00,660453.00,0.36
2020-10-01,1796620.89,661267.69,0.37
2020-11-01,1635383.22,613355.74,0.38
2020-12-01,2501687.35,905045.49,0.36
2021-01-01,1725069.00,626885.76,0.36
2021-02-01,1728759.84,582634.69,0.34
2021-03-01,2712734.47,931033.31,0.34
2021-04-01,2256057.44,775324.82,0.34
2021-05-01,2307250.84,763119.57,0.33
2021-06-01,2721935.06,855592.52,0.31
2021-07-01,2235951.19,703053.29,0.31
2021-08-01,2222341.40,731185.71,0.33
2021-09-01,2448391.77,839683.02,0.34
2021-10-01,1869931.88,634489.65,0.34
2021-11-01,1844929.44,655406.68,0.36
2021-12-01,2266567.43,787867.29,0.35
2022-01-01,1517757.39,517456.69,0.34
2022-02-01,1303062.65,468723.82,0.36
2022-03-01,2239901.03,891225.60,0.40
2022-04-01,1549899.95,598395.01,0.39
2022-05-01,1752017.59,678064.47,0.39
2022-06-01,2946753.44,1002036.55,0.34
2022-07-01,1711151.25,697418.41,0.41
2022-08-01,1936813.35,819017.24,0.42
2022-09-01,2370313.18,1064116.62,0.45
2022-10-01,2216687.46,907834.23,0.41
2022-11-01,2352138.18,924291.11,0.39
2022-12-01,3018474.34,1213922.95,0.40
2023-01-01,2100230.69,729233.93,0.35
2023-02-01,2033291.00,744318.00,0.37
2023-03-01,2863844.50,1069949.94,0.37
2023-04-01,1859761.00,696244.00,0.37
2023-05-01,2359006.00,870099.00,0.37
2023-06-01,2729960.00,696244.00,0.36
2023-07-01,3106012.00,968596.00,0.31
,,,
,,,
