datemy,DUR_BIAP,PX5_MD
1/1/1960,,
2/1/1960,19,
3/1/1960,,
4/1/1960,,
5/1/1960,11,
6/1/1960,,
7/1/1960,,
8/1/1960,,
9/1/1960,,
10/1/1960,,
11/1/1960,9,
12/1/1960,,
1/1/1961,,
2/1/1961,9,
3/1/1961,,
4/1/1961,,
5/1/1961,10,
6/1/1961,,
7/1/1961,,
8/1/1961,,
9/1/1961,,
10/1/1961,,
11/1/1961,11,
12/1/1961,,
1/1/1962,,
2/1/1962,13,
3/1/1962,,
4/1/1962,,
5/1/1962,11,
6/1/1962,,
7/1/1962,,
8/1/1962,9,
9/1/1962,,
10/1/1962,,
11/1/1962,9,
12/1/1962,,
1/1/1963,,
2/1/1963,10,
3/1/1963,,
4/1/1963,,
5/1/1963,13,
6/1/1963,,
7/1/1963,,
8/1/1963,10,
9/1/1963,,
10/1/1963,,
11/1/1963,,
12/1/1963,,
1/1/1964,,
2/1/1964,12,
3/1/1964,,
4/1/1964,,
5/1/1964,12,
6/1/1964,,
7/1/1964,,
8/1/1964,,
9/1/1964,,
10/1/1964,,
11/1/1964,,
12/1/1964,,
1/1/1965,,
2/1/1965,10,
3/1/1965,,
4/1/1965,,
5/1/1965,,
6/1/1965,,
7/1/1965,,
8/1/1965,,
9/1/1965,,
10/1/1965,,
11/1/1965,14,
12/1/1965,,
1/1/1966,,
2/1/1966,15,
3/1/1966,,
4/1/1966,,
5/1/1966,,
6/1/1966,,
7/1/1966,,
8/1/1966,19,
9/1/1966,,
10/1/1966,,
11/1/1966,12,
12/1/1966,,
1/1/1967,,
2/1/1967,14,
3/1/1967,,
4/1/1967,,
5/1/1967,19,
6/1/1967,,
7/1/1967,,
8/1/1967,,
9/1/1967,,
10/1/1967,,
11/1/1967,,
12/1/1967,,
1/1/1968,,
2/1/1968,21,
3/1/1968,,
4/1/1968,,
5/1/1968,,
6/1/1968,,
7/1/1968,,
8/1/1968,25,
9/1/1968,,
10/1/1968,,
11/1/1968,20,
12/1/1968,,
1/1/1969,,
2/1/1969,23,
3/1/1969,,
4/1/1969,,
5/1/1969,26,
6/1/1969,,
7/1/1969,,
8/1/1969,20,
9/1/1969,,
10/1/1969,,
11/1/1969,20,
12/1/1969,,
1/1/1970,,
2/1/1970,15,
3/1/1970,,
4/1/1970,,
5/1/1970,15,
6/1/1970,,
7/1/1970,,
8/1/1970,,
9/1/1970,,
10/1/1970,,
11/1/1970,18,
12/1/1970,,
1/1/1971,,
2/1/1971,17,
3/1/1971,,
4/1/1971,,
5/1/1971,,
6/1/1971,,
7/1/1971,,
8/1/1971,,
9/1/1971,,
10/1/1971,,
11/1/1971,26,
12/1/1971,,
1/1/1972,,
2/1/1972,25,
3/1/1972,,
4/1/1972,,
5/1/1972,25,
6/1/1972,,
7/1/1972,,
8/1/1972,29,
9/1/1972,,
10/1/1972,,
11/1/1972,22,
12/1/1972,,
1/1/1973,,
2/1/1973,30,
3/1/1973,,
4/1/1973,,
5/1/1973,27,
6/1/1973,,
7/1/1973,,
8/1/1973,26,
9/1/1973,,
10/1/1973,,
11/1/1973,25,
12/1/1973,,
1/1/1974,,
2/1/1974,25,
3/1/1974,,
4/1/1974,,
5/1/1974,24,
6/1/1974,,
7/1/1974,,
8/1/1974,20,
9/1/1974,,
10/1/1974,,
11/1/1974,19,
12/1/1974,,
1/1/1975,,
2/1/1975,13,
3/1/1975,,
4/1/1975,,
5/1/1975,15,
6/1/1975,,
7/1/1975,,
8/1/1975,23,
9/1/1975,,
10/1/1975,,
11/1/1975,20,
12/1/1975,,
1/1/1976,,
2/1/1976,20,
3/1/1976,,
4/1/1976,,
5/1/1976,23,
6/1/1976,,
7/1/1976,,
8/1/1976,27,
9/1/1976,,
10/1/1976,,
11/1/1976,25,
12/1/1976,,
1/1/1977,,
2/1/1977,26,
3/1/1977,,
4/1/1977,,
5/1/1977,37,
6/1/1977,,
7/1/1977,,
8/1/1977,36,
9/1/1977,,
10/1/1977,,
11/1/1977,35,
12/1/1977,,
1/1/1978,,
2/1/1978,,
3/1/1978,37,
4/1/1978,40,
5/1/1978,40,
6/1/1978,42,
7/1/1978,44,
8/1/1978,45,
9/1/1978,46,
10/1/1978,44,
11/1/1978,44,
12/1/1978,40,
1/1/1979,40,
2/1/1979,41,7.2
3/1/1979,44,
4/1/1979,46,
5/1/1979,46,
6/1/1979,45,
7/1/1979,42,
8/1/1979,42,
9/1/1979,40,
10/1/1979,41,
11/1/1979,39,
12/1/1979,38,
1/1/1980,37,
2/1/1980,39,9.7
3/1/1980,41,
4/1/1980,35,
5/1/1980,31,
6/1/1980,26,
7/1/1980,24,
8/1/1980,25,
9/1/1980,27,9
10/1/1980,29,
11/1/1980,31,
12/1/1980,28,
1/1/1981,28,
2/1/1981,25,
3/1/1981,25,6.7
4/1/1981,26,
5/1/1981,28,
6/1/1981,28,
7/1/1981,27,
8/1/1981,25,
9/1/1981,25,6.3
10/1/1981,24,
11/1/1981,22,
12/1/1981,22,
1/1/1982,21,
2/1/1982,20,
3/1/1982,18,5.7
4/1/1982,16,
5/1/1982,15,
6/1/1982,14,
7/1/1982,16,
8/1/1982,16,
9/1/1982,16,5.3
10/1/1982,14,
11/1/1982,13,
12/1/1982,12,
1/1/1983,11,
2/1/1983,11,
3/1/1983,12,4.9
4/1/1983,13,
5/1/1983,15,
6/1/1983,16,
7/1/1983,16,
8/1/1983,16,
9/1/1983,18,5
10/1/1983,20,
11/1/1983,19,
12/1/1983,17,
1/1/1984,16,
2/1/1984,16,
3/1/1984,18,5
4/1/1984,18,
5/1/1984,20,
6/1/1984,19,
7/1/1984,20,
8/1/1984,19,
9/1/1984,22,5
10/1/1984,22,
11/1/1984,21,
12/1/1984,18,
1/1/1985,16,
2/1/1985,16,
3/1/1985,18,4.7
4/1/1985,19,
5/1/1985,20,
6/1/1985,19,
7/1/1985,19,
8/1/1985,19,
9/1/1985,17,4.7
10/1/1985,16,
11/1/1985,15,
12/1/1985,15,
1/1/1986,14,
2/1/1986,15,
3/1/1986,14,
4/1/1986,14,
5/1/1986,12,
6/1/1986,13,
7/1/1986,12,
8/1/1986,13,
9/1/1986,13,
10/1/1986,14,
11/1/1986,14,
12/1/1986,14,
1/1/1987,14,
2/1/1987,14,
3/1/1987,14,
4/1/1987,16,
5/1/1987,18,
6/1/1987,20,
7/1/1987,19,
8/1/1987,18,
9/1/1987,19,
10/1/1987,19,
11/1/1987,19,
12/1/1987,18,
1/1/1988,18,
2/1/1988,17,
3/1/1988,15,
4/1/1988,16,
5/1/1988,18,
6/1/1988,20,
7/1/1988,20,
8/1/1988,21,
9/1/1988,21,
10/1/1988,21,
11/1/1988,20,
12/1/1988,20,
1/1/1989,20,
2/1/1989,20,
3/1/1989,20,
4/1/1989,20,
5/1/1989,22,
6/1/1989,22,
7/1/1989,23,
8/1/1989,20,
9/1/1989,19,
10/1/1989,17,
11/1/1989,18,
12/1/1989,17,
1/1/1990,17,
2/1/1990,17,
3/1/1990,17,
4/1/1990,19,
5/1/1990,19,
6/1/1990,21,4.3
7/1/1990,21,4.4
8/1/1990,22,4.5
9/1/1990,23,4.5
10/1/1990,22,4.6
11/1/1990,22,4.6
12/1/1990,19,4.6
1/1/1991,16,4.6
2/1/1991,12,4.6
3/1/1991,12,4.6
4/1/1991,14,4.5
5/1/1991,16,4.4
6/1/1991,14,4.4
7/1/1991,12,4.4
8/1/1991,12,4.2
9/1/1991,13,4
10/1/1991,13,3.9
11/1/1991,13,3.8
12/1/1991,12,3.8
1/1/1992,9,3.7
2/1/1992,8,3.6
3/1/1992,7,3.5
4/1/1992,9,3.6
5/1/1992,10,3.8
6/1/1992,10,3.8
7/1/1992,11,3.7
8/1/1992,10,3.8
9/1/1992,10,3.8
10/1/1992,10,3.8
11/1/1992,10,3.6
12/1/1992,9,3.6
1/1/1993,8,3.5
2/1/1993,9,3.6
3/1/1993,10,3.7
4/1/1993,11,3.7
5/1/1993,12,3.5
6/1/1993,12,3.6
7/1/1993,12,3.6
8/1/1993,11,3.5
9/1/1993,12,3.4
10/1/1993,12,3.4
11/1/1993,12,3.4
12/1/1993,12,3.5
1/1/1994,9,3.4
2/1/1994,9,3.4
3/1/1994,10,3.3
4/1/1994,12,3.3
5/1/1994,12,3.3
6/1/1994,12,3.3
7/1/1994,13,3.3
8/1/1994,13,3.4
9/1/1994,14,3.3
10/1/1994,14,3.3
11/1/1994,15,3.2
12/1/1994,13,3.2
1/1/1995,14,3.2
2/1/1995,14,3.2
3/1/1995,14,3.2
4/1/1995,13,3.3
5/1/1995,12,3.3
6/1/1995,12,3.3
7/1/1995,12,3.2
8/1/1995,11,3.1
9/1/1995,12,3.1
10/1/1995,12,3.1
11/1/1995,12,3.1
12/1/1995,11,3.1
1/1/1996,11,3.1
2/1/1996,10,3.2
3/1/1996,11,3.2
4/1/1996,11,3.2
5/1/1996,12,3.2
6/1/1996,12,3.1
7/1/1996,11,3.2
8/1/1996,11,3.2
9/1/1996,13,3.2
10/1/1996,13,3.2
11/1/1996,12,3.1
12/1/1996,10,3
1/1/1997,10,3.1
2/1/1997,10,3.1
3/1/1997,11,3.1
4/1/1997,12,3
5/1/1997,12,3
6/1/1997,11,3
7/1/1997,10,3
8/1/1997,10,3
9/1/1997,11,3
10/1/1997,10,3
11/1/1997,10,3.1
12/1/1997,9,3.1
1/1/1998,8,3
2/1/1998,8,3
3/1/1998,8,2.9
4/1/1998,9,2.8
5/1/1998,8,2.8
6/1/1998,8,2.8
7/1/1998,7,2.8
8/1/1998,7,2.8
9/1/1998,7,2.8
10/1/1998,8,2.8
11/1/1998,8,2.8
12/1/1998,8,2.8
1/1/1999,7,2.9
2/1/1999,7,2.9
3/1/1999,7,2.8
4/1/1999,7,2.8
5/1/1999,8,2.8
6/1/1999,8,2.8
7/1/1999,7,2.9
8/1/1999,7,2.8
9/1/1999,7,2.9
10/1/1999,9,2.8
11/1/1999,10,2.9
12/1/1999,9,2.9
1/1/2000,8,2.9
2/1/2000,8,2.9
3/1/2000,9,3
4/1/2000,11,2.9
5/1/2000,11,2.9
6/1/2000,10,2.8
7/1/2000,9,2.8
8/1/2000,9,2.8
9/1/2000,8,2.9
10/1/2000,10,3
11/1/2000,10,3
12/1/2000,10,3
1/1/2001,7,2.9
2/1/2001,6,3
3/1/2001,7,3
4/1/2001,7,3
5/1/2001,7,3
6/1/2001,6,3
7/1/2001,7,3
8/1/2001,5,3
9/1/2001,5,2.9
10/1/2001,4,2.9
11/1/2001,4,2.8
12/1/2001,3,2.8
1/1/2002,3,2.8
2/1/2002,3,2.8
3/1/2002,3,2.8
4/1/2002,4,2.8
5/1/2002,5,2.9
6/1/2002,6,2.9
7/1/2002,5,2.9
8/1/2002,4,2.8
9/1/2002,3,2.7
10/1/2002,3,2.7
11/1/2002,4,2.7
12/1/2002,3,2.8
1/1/2003,4,2.8
2/1/2003,4,2.7
3/1/2003,4,2.7
4/1/2003,4,2.7
5/1/2003,3,2.8
6/1/2003,3,2.7
7/1/2003,4,2.7
8/1/2003,4,2.7
9/1/2003,5,2.7
10/1/2003,6,2.7
11/1/2003,6,2.7
12/1/2003,6,2.8
1/1/2004,5,2.8
2/1/2004,5,2.8
3/1/2004,6,2.9
4/1/2004,7,2.8
5/1/2004,8,2.8
6/1/2004,9,2.8
7/1/2004,9,2.8
8/1/2004,8,2.8
9/1/2004,7,2.8
10/1/2004,8,2.8
11/1/2004,9,2.8
12/1/2004,10,2.8
1/1/2005,10,2.7
2/1/2005,10,2.8
3/1/2005,11,2.8
4/1/2005,13,2.9
5/1/2005,14,2.9
6/1/2005,13,2.9
7/1/2005,12,2.9
8/1/2005,11,2.8
9/1/2005,13,2.9
10/1/2005,15,3
11/1/2005,14,3.1
12/1/2005,12,3.1
1/1/2006,10,3
2/1/2006,10,3
3/1/2006,11,2.9
4/1/2006,13,3
5/1/2006,13,3.1
6/1/2006,14,3.1
7/1/2006,13,3
8/1/2006,13,3
9/1/2006,11,3
10/1/2006,10,3.1
11/1/2006,8,3
12/1/2006,8,3
1/1/2007,8,3
2/1/2007,8,3
3/1/2007,8,2.9
4/1/2007,10,3
5/1/2007,10,3
6/1/2007,11,3
7/1/2007,10,3
8/1/2007,9,3
9/1/2007,8,3
10/1/2007,8,2.9
11/1/2007,7,2.9
12/1/2007,7,2.9
1/1/2008,6,3
2/1/2008,6,3
3/1/2008,6,3
4/1/2008,6,3
5/1/2008,6,3.2
