date,Manufacturing,Food/beverage/tobacco,Chemical,Plastic/rubber,Nonmetallic mineral,Fabricated metal,Computer/ electronic/ electrical,Transportation equipment
2023-02-01,140316,13098,34300,1677,2218,1109,59875,11987
2023-01-01,139404.00,14169.00,28987.00,1918.00,2037.00,1118.00,60885.00,13324.00
2022-12-01,131497.00,14488.00,27752.00,1857.00,2009.00,1212.00,55939.00,11332.00
2022-11-01,137452.00,14598.00,27982.00,1276.00,2071.00,1436.00,59852.00,12673.00
2022-10-01,117692.00,12925.00,20836.00,1154.00,2091.00,2275.00,49129.00,11703.00
2022-09-01,122939.00,11585.00,26840.00,1106.00,1948.00,2110.00,51322.00,11156.00
2022-08-01,108210.00,12301.00,25840.00,1235.00,1876.00,2196.00,37745.00,10099.00
2022-07-01,104324.00,11447.00,25477.00,1366.00,1654.00,2543.00,34155.00,10160.00
2022-06-01,97127.00,10344.00,25839.00,1364.00,2167.00,2537.00,28459.00,9073.00
2022-05-01,94162.00,9868.00,26861.00,1467.00,1794.00,2363.00,27037.00,7513.00
2022-04-01,92353.00,10333.00,26655.00,1425.00,1891.00,1922.00,26199.00,7531.00
2022-03-01,90430.00,9766.00,26775.00,1374.00,1478.00,1804.00,25080.00,7860.00
2022-02-01,91256.00,10706.00,27153.00,1409.00,1760.00,1787.00,24338.00,8900.00
2022-01-01,90632.00,10590.00,28139.00,1492.00,1746.00,1777.00,23611.00,8470.00
2021-12-01,85583.00,10054.00,28796.00,1349.00,1546.00,2058.00,19877.00,7835.00
2021-11-01,87402.00,10127.00,29702.00,1324.00,1536.00,2298.00,18969.00,9475.00
2021-10-01,83201.00,9779.00,29402.00,1343.00,1488.00,2332.00,16630.00,8991.00
2021-09-01,78683.00,10470.00,29165.00,1421.00,1479.00,2170.00,10702.00,9204.00
2021-08-01,79504.00,10831.00,28761.00,1309.00,1253.00,2138.00,11013.00,9545.00
2021-07-01,78878.00,10092.00,27803.00,1279.00,1335.00,2054.00,11677.00,9620.00
2021-06-01,76784.00,9541.00,28086.00,1188.00,938.00,2017.00,10736.00,9842.00
2021-05-01,74340.00,9612.00,28070.00,1252.00,1129.00,1822.00,7624.00,10594.00
2021-04-01,74923.00,9467.00,29210.00,1192.00,1267.00,1778.00,7437.00,9952.00
2021-03-01,74854.00,9271.00,29910.00,1236.00,1141.00,1651.00,7965.00,9715.00
2021-02-01,72455.00,8481.00,29121.00,1042.00,1041.00,1253.00,7751.00,9225.00
2021-01-01,73238.00,8512.00,29255.00,1004.00,1079.00,1198.00,7401.00,9750.00
2020-12-01,73675.00,7926.00,29601.00,1037.00,772.00,1351.00,7966.00,10533.00
2020-11-01,73104.00,7584.00,29304.00,987.00,996.00,1206.00,8412.00,10037.00
2020-10-01,74880.00,7311.00,30331.00,1056.00,1057.00,1306.00,9335.00,10074.00
2020-09-01,73508.00,6504.00,29916.00,987.00,1104.00,1427.00,9075.00,10849.00
2020-08-01,74229.00,7871.00,30762.00,1108.00,1081.00,1348.00,8506.00,10324.00
2020-07-01,75777.00,7647.00,30511.00,1209.00,1011.00,1120.00,10078.00,10212.00
2020-06-01,74831.00,7817.00,30163.00,1279.00,1065.00,1252.00,9757.00,8414.00
2020-05-01,73448.00,7417.00,30167.00,1295.00,991.00,1314.00,8935.00,8328.00
2020-04-01,74013.00,7632.00,29119.00,1440.00,929.00,1320.00,9839.00,8549.00
2020-03-01,77677.00,7300.00,30616.00,1642.00,992.00,1380.00,9714.00,9231.00
2020-02-01,77225.00,7170.00,30544.00,1910.00,889.00,1308.00,9041.00,8734.00
2020-01-01,78046.00,7189.00,29007.00,2313.00,869.00,1291.00,9517.00,9679.00
2019-12-01,80174.00,6498.00,33823.00,1821.00,901.00,1668.00,9162.00,9244.00
2019-11-01,81817.00,6547.00,34833.00,2537.00,807.00,1591.00,8299.00,9026.00
2019-10-01,79683.00,6663.00,31492.00,2282.00,850.00,1675.00,9313.00,9224.00
2019-09-01,80794.00,6614.00,34414.00,2352.00,811.00,1694.00,8908.00,8644.00
2019-08-01,81348.00,6432.00,34763.00,2822.00,773.00,1756.00,9464.00,7643.00
2019-07-01,82036.00,6918.00,35299.00,2763.00,752.00,1660.00,8772.00,8544.00
2019-06-01,81142.00,7197.00,35249.00,2623.00,754.00,1654.00,8409.00,8868.00
2019-05-01,80503.00,7152.00,35289.00,3171.00,858.00,1436.00,8101.00,8581.00
2019-04-01,82741.00,7247.00,36328.00,3405.00,798.00,1574.00,8107.00,8234.00
2019-03-01,80103.00,6971.00,35324.00,4488.00,598.00,1422.00,7432.00,6918.00
2019-02-01,80266.00,8231.00,35744.00,4524.00,770.00,1244.00,6783.00,6931.00
2019-01-01,76631.00,8453.00,35031.00,3949.00,752.00,1193.00,6575.00,6174.00
2018-12-01,76186.00,9622.00,32697.00,3802.00,713.00,1314.00,6808.00,5727.00
2018-11-01,73953.00,9636.00,31813.00,4097.00,658.00,1523.00,6505.00,5971.00
2018-10-01,74273.00,10393.00,30945.00,4284.00,607.00,1846.00,6101.00,5855.00
2018-09-01,74672.00,9881.00,29997.00,4184.00,562.00,1916.00,6249.00,6859.00
2018-08-01,74423.00,10156.00,29580.00,4454.00,657.00,1884.00,6021.00,7238.00
2018-07-01,70669.00,9859.00,29348.00,4116.00,719.00,1696.00,5498.00,6846.00
