date,1 Month,2-3 Months,4-6 Months,7-12 Months,12-24 Months,25+ Months,total
2019-01-01,3,0,0,1,2,0,6
2019-02-01,0,0,0,1,2,0,3
2019-03-01,3,0,0,1,0,0,4
2019-04-01,1,1,0,0,1,0,3
2019-05-01,1,2,0,0,1,0,4
2019-06-01,1,2,0,0,1,0,4
2019-07-01,1,1,0,0,0,0,2
2019-08-01,1,1,0,0,0,0,2
2019-09-01,1,2,0,0,0,0,3
2019-10-01,1,1,1,0,0,0,3
2019-11-01,0,1,0,0,0,0,1
2019-12-01,3,0,0,0,0,0,3
2020-01-01,2,0,0,0,0,0,2
2020-02-01,0,0,0,0,0,0,0
2020-03-01,7,0,0,0,0,0,7
2020-04-01,4,4,0,0,0,0,8
2020-05-01,3,5,0,0,0,0,8
2020-06-01,2,1,1,0,0,0,4
2020-07-01,2,2,1,0,0,0,5
2020-08-01,4,0,1,0,0,0,5
2020-09-01,9,1,0,1,0,0,11
2020-10-01,8,1,0,1,0,0,10
2020-11-01,4,3,0,1,0,0,8
2020-12-01,6,4,0,1,0,0,11
2021-01-01,4,5,1,1,0,0,11
2021-02-01,11,5,3,1,0,0,20
2021-03-01,16,3,6,0,1,0,26
2021-04-01,8,9,5,1,1,0,24
2021-05-01,15,9,5,3,0,0,32
2021-06-01,8,8,5,5,0,0,26
2021-07-01,17,7,7,5,0,0,36
2021-08-01,8,6,6,7,0,0,27
2021-09-01,6,5,4,9,0,0,24
2021-10-01,8,5,3,9,1,0,26
2021-11-01,8,3,2,8,1,0,22
2021-12-01,3,1,0,2,4,0,10
2022-01-01,10,1,0,2,3,0,16
2022-02-01,5,2,1,2,3,0,13
2022-03-01,14,4,1,1,4,0,24
2022-04-01,7,6,1,1,3,0,18
2022-05-01,11,5,0,1,4,0,21
2022-06-01,3,6,0,0,4,0,13
2022-07-01,3,3,1,0,4,0,11
2022-08-01,1,2,2,0,3,0,8
2022-09-01,1,1,2,0,3,0,7
2022-10-01,4,1,1,0,2,1,9
2022-11-01,2,0,0,1,2,1,6
2022-12-01,4,2,0,1,0,3,10
2023-01-01,2,1,0,1,0,3,7
2023-02-01,2,1,0,1,0,3,7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
