date,category,delinquency_rate
2015-03-01,Has auto debt,1.5
2015-06-01,Has auto debt,1.8
2015-09-01,Has auto debt,2.0
2015-12-01,Has auto debt,2.0
2016-03-01,Has auto debt,1.6
2016-06-01,Has auto debt,1.7
2016-09-01,Has auto debt,2.1
2016-12-01,Has auto debt,2.2
2017-03-01,Has auto debt,1.8
2017-06-01,Has auto debt,1.8
2017-09-01,Has auto debt,2.2
2017-12-01,Has auto debt,2.1
2018-03-01,Has auto debt,1.9
2018-06-01,Has auto debt,1.8
2018-09-01,Has auto debt,2.2
2018-12-01,Has auto debt,2.2
2019-03-01,Has auto debt,1.9
2019-06-01,Has auto debt,1.9
2019-09-01,Has auto debt,2.1
2019-12-01,Has auto debt,2.2
2020-03-01,Has auto debt,1.9
2020-06-01,Has auto debt,1.1
2020-09-01,Has auto debt,1.4
2020-12-01,Has auto debt,1.6
2021-03-01,Has auto debt,1.2
2021-06-01,Has auto debt,1.1
2021-09-01,Has auto debt,1.5
2021-12-01,Has auto debt,1.8
2022-03-01,Has auto debt,1.8
2022-06-01,Has auto debt,1.8
2022-09-01,Has auto debt,2.3
2022-12-01,Has auto debt,2.4
2023-03-01,Has auto debt,2.1
2023-06-01,Has auto debt,2.2
2023-09-01,Has auto debt,2.6
2015-03-01,Has auto and student debt,1.9
2015-06-01,Has auto and student debt,2.5
2015-09-01,Has auto and student debt,2.9
2015-12-01,Has auto and student debt,2.8
2016-03-01,Has auto and student debt,2.1
2016-06-01,Has auto and student debt,2.5
2016-09-01,Has auto and student debt,2.9
2016-12-01,Has auto and student debt,3.1
2017-03-01,Has auto and student debt,2.5
2017-06-01,Has auto and student debt,2.6
2017-09-01,Has auto and student debt,3.1
2017-12-01,Has auto and student debt,3.0
2018-03-01,Has auto and student debt,2.4
2018-06-01,Has auto and student debt,2.4
2018-09-01,Has auto and student debt,3.1
2018-12-01,Has auto and student debt,3.2
2019-03-01,Has auto and student debt,2.5
2019-06-01,Has auto and student debt,2.5
2019-09-01,Has auto and student debt,3.0
2019-12-01,Has auto and student debt,3.1
2020-03-01,Has auto and student debt,2.4
2020-06-01,Has auto and student debt,1.3
2020-09-01,Has auto and student debt,1.7
2020-12-01,Has auto and student debt,2.1
2021-03-01,Has auto and student debt,1.4
2021-06-01,Has auto and student debt,1.3
2021-09-01,Has auto and student debt,2.0
2021-12-01,Has auto and student debt,2.4
2022-03-01,Has auto and student debt,1.9
2022-06-01,Has auto and student debt,2.7
2022-09-01,Has auto and student debt,3.1
2022-12-01,Has auto and student debt,3.4
2023-03-01,Has auto and student debt,2.7
2023-06-01,Has auto and student debt,2.8
2023-09-01,Has auto and student debt,3.7
2015-03-01,Has credit card only,1.0
2015-06-01,Has credit card only,1.0
2015-09-01,Has credit card only,1.2
2015-12-01,Has credit card only,1.1
2016-03-01,Has credit card only,1.0
2016-06-01,Has credit card only,0.9
2016-09-01,Has credit card only,1.2
2016-12-01,Has credit card only,1.1
2017-03-01,Has credit card only,1.1
2017-06-01,Has credit card only,1.0
2017-09-01,Has credit card only,1.2
2017-12-01,Has credit card only,1.1
2018-03-01,Has credit card only,1.1
2018-06-01,Has credit card only,1.0
2018-09-01,Has credit card only,1.2
2018-12-01,Has credit card only,1.2
2019-03-01,Has credit card only,1.1
2019-06-01,Has credit card only,1.0
2019-09-01,Has credit card only,1.1
2019-12-01,Has credit card only,1.2
2020-03-01,Has credit card only,1.1
2020-06-01,Has credit card only,0.8
2020-09-01,Has credit card only,0.8
2020-12-01,Has credit card only,0.9
2021-03-01,Has credit card only,0.8
2021-06-01,Has credit card only,0.7
2021-09-01,Has credit card only,0.9
2021-12-01,Has credit card only,1.1
2022-03-01,Has credit card only,1.2
2022-06-01,Has credit card only,1.0
2022-09-01,Has credit card only,1.2
2022-12-01,Has credit card only,1.3
2023-03-01,Has credit card only,1.2
2023-06-01,Has credit card only,1.2
2023-09-01,Has credit card only,1.4
2015-03-01,Has mortgage,0.9
2015-06-01,Has mortgage,0.9
2015-09-01,Has mortgage,1.0
2015-12-01,Has mortgage,1.0
2016-03-01,Has mortgage,0.9
2016-06-01,Has mortgage,0.9
2016-09-01,Has mortgage,1.0
2016-12-01,Has mortgage,1.1
2017-03-01,Has mortgage,1.0
2017-06-01,Has mortgage,0.9
2017-09-01,Has mortgage,1.1
2017-12-01,Has mortgage,1.1
2018-03-01,Has mortgage,1.0
2018-06-01,Has mortgage,0.9
2018-09-01,Has mortgage,1.1
2018-12-01,Has mortgage,1.1
2019-03-01,Has mortgage,1.0
2019-06-01,Has mortgage,1.0
2019-09-01,Has mortgage,1.1
2019-12-01,Has mortgage,1.1
2020-03-01,Has mortgage,1.0
2020-06-01,Has mortgage,0.7
2020-09-01,Has mortgage,0.7
2020-12-01,Has mortgage,0.8
2021-03-01,Has mortgage,0.6
2021-06-01,Has mortgage,0.5
2021-09-01,Has mortgage,0.7
2021-12-01,Has mortgage,0.8
2022-03-01,Has mortgage,0.8
2022-06-01,Has mortgage,0.8
2022-09-01,Has mortgage,1.0
2022-12-01,Has mortgage,1.1
2023-03-01,Has mortgage,1.0
2023-06-01,Has mortgage,1.1
2023-09-01,Has mortgage,1.2
2015-03-01,Has student debt,1.9
2015-06-01,Has student debt,2.4
