Income,Standard_$,Standard_Marginal%,Standard_Average%,IBR_$,IBR_Marginal%,IBR_Average%,REPAYE_$,REPAYE_Marginal%,REPAYE_Average%,PAYE_$,PAYE_Marginal%,PAYE_Average%,ICR_$,ICR_Marginal%,ICR_Average%,LowestMnthly_$,LowestMnthly_Marginal%,LowestMnthly_Average%,,,,,,,,
0,3731.04,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1000,3731.04,0,3.73104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2000,3731.04,0,1.86552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
3000,3731.04,0,1.24368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
4000,3731.04,0,0.93276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
5000,3731.04,0,0.746208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6000,3731.04,0,0.62184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7000,3731.04,0,0.533005714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8000,3731.04,0,0.46638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9000,3731.04,0,0.41456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10000,3731.04,0,0.373104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
11000,3731.04,0,0.339185455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
12000,3731.04,0,0.31092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
13000,3731.04,0,0.287003077,18,0.018,0.001384615,12,0.012,0.000923077,12,0.012,0.000923077,24,0.024,0.001846154,12,0.012,0.000923077,,,,,,,,
14000,3731.04,0,0.266502857,168,0.15,0.012,112,0.1,0.008,112,0.1,0.008,224,0.2,0.016,112,0.1,0.008,,,,,,,,
15000,3731.04,0,0.248736,318,0.15,0.0212,212,0.1,0.014133333,212,0.1,0.014133333,424,0.2,0.028266667,212,0.1,0.014133333,,,,,,,,
16000,3731.04,0,0.23319,468,0.15,0.02925,312,0.1,0.0195,312,0.1,0.0195,624,0.2,0.039,312,0.1,0.0195,,,,,,,,
17000,3731.04,0,0.219472941,618,0.15,0.036352941,412,0.1,0.024235294,412,0.1,0.024235294,824,0.2,0.048470588,412,0.1,0.024235294,,,,,,,,
18000,3731.04,0,0.20728,768,0.15,0.042666667,512,0.1,0.028444444,512,0.1,0.028444444,1024,0.2,0.056888889,512,0.1,0.028444444,,,,,,,,
19000,3731.04,0,0.196370526,918,0.15,0.048315789,612,0.1,0.032210526,612,0.1,0.032210526,1224,0.2,0.064421053,612,0.1,0.032210526,,,,,,,,
20000,3731.04,0,0.186552,1068,0.15,0.0534,712,0.1,0.0356,712,0.1,0.0356,1424,0.2,0.0712,712,0.1,0.0356,,,,,,,,
21000,3731.04,0,0.177668571,1218,0.15,0.058,812,0.1,0.038666667,812,0.1,0.038666667,1624,0.2,0.077333333,812,0.1,0.038666667,,,,,,,,
22000,3731.04,0,0.169592727,1368,0.15,0.062181818,912,0.1,0.041454545,912,0.1,0.041454545,1824,0.2,0.082909091,912,0.1,0.041454545,,,,,,,,
23000,3731.04,0,0.16221913,1518,0.15,0.066,1012,0.1,0.044,1012,0.1,0.044,2024,0.2,0.088,1012,0.1,0.044,,,,,,,,
24000,3731.04,0,0.15546,1668,0.15,0.0695,1112,0.1,0.046333333,1112,0.1,0.046333333,2224,0.2,0.092666667,1112,0.1,0.046333333,,,,,,,,
25000,3731.04,0,0.1492416,1818,0.15,0.07272,1212,0.1,0.04848,1212,0.1,0.04848,2424,0.2,0.09696,1212,0.1,0.04848,,,,,,,,
26000,3731.04,0,0.143501538,1968,0.15,0.075692308,1312,0.1,0.050461538,1312,0.1,0.050461538,2624,0.2,0.100923077,1312,0.1,0.050461538,,,,,,,,
27000,3731.04,0,0.138186667,2118,0.15,0.078444444,1412,0.1,0.052296296,1412,0.1,0.052296296,2824,0.2,0.104592593,1412,0.1,0.052296296,,,,,,,,
28000,3731.04,0,0.133251429,2268,0.15,0.081,1512,0.1,0.054,1512,0.1,0.054,3024,0.2,0.108,1512,0.1,0.054,,,,,,,,
29000,3731.04,0,0.128656552,2418,0.15,0.08337931,1612,0.1,0.055586207,1612,0.1,0.055586207,3224,0.2,0.111172414,1612,0.1,0.055586207,,,,,,,,
30000,3731.04,0,0.124368,2568,0.15,0.0856,1712,0.1,0.057066667,1712,0.1,0.057066667,3240,0.016,0.108,1712,0.1,0.057066667,,,,,,,,
31000,3731.04,0,0.120356129,2718,0.15,0.087677419,1812,0.1,0.058451613,1812,0.1,0.058451613,3240,0,0.104516129,1812,0.1,0.058451613,,,,,,,,
32000,3731.04,0,0.116595,2868,0.15,0.089625,1912,0.1,0.05975,1912,0.1,0.05975,3240,0,0.10125,1912,0.1,0.05975,,,,,,,,
33000,3731.04,0,0.113061818,3018,0.15,0.091454545,2012,0.1,0.060969697,2012,0.1,0.060969697,3240,0,0.098181818,2012,0.1,0.060969697,,,,,,,,
34000,3731.04,0,0.109736471,3168,0.15,0.093176471,2112,0.1,0.062117647,2112,0.1,0.062117647,3240,0,0.095294118,2112,0.1,0.062117647,,,,,,,,
35000,3731.04,0,0.106601143,3318,0.15,0.0948,2212,0.1,0.0632,2212,0.1,0.0632,3240,0,0.092571429,2212,0.1,0.0632,,,,,,,,
36000,3731.04,0,0.10364,3468,0.15,0.096333333,2312,0.1,0.064222222,2312,0.1,0.064222222,3240,0,0.09,2312,0.1,0.064222222,,,,,,,,
37000,3731.04,0,0.100838919,3618,0.15,0.097783784,2412,0.1,0.065189189,2412,0.1,0.065189189,3240,0,0.087567568,2412,0.1,0.065189189,,,,,,,,
38000,3731.04,0,0.098185263,3768,0.15,0.099157895,2512,0.1,0.066105263,2512,0.1,0.066105263,3240,0,0.085263158,2512,0.1,0.066105263,,,,,,,,
39000,3731.04,0,0.095667692,3918,0.15,0.100461538,2612,0.1,0.066974359,2612,0.1,0.066974359,3240,0,0.083076923,2612,0.1,0.066974359,,,,,,,,
40000,3731.04,0,0.093276,4068,0.15,0.1017,2712,0.1,0.0678,2712,0.1,0.0678,3240,0,0.081,2712,0.1,0.0678,,,,,,,,
41000,3731.04,0,0.091000976,4218,0.15,0.102878049,2812,0.1,0.068585366,2812,0.1,0.068585366,3240,0,0.07902439,2812,0.1,0.068585366,,,,,,,,
