date,electronic_parts_and_components,computers_electronic_and_optical_products 
2018-01-01,"11,828","2,315"
2018-02-01,"10,617","2,057"
2018-03-01,"11,409","2,782"
2018-04-01,"10,872","2,169"
2018-05-01,"10,318","2,655"
2018-06-01,"6,700","1,445"
2018-07-01,"4,681","1,293"
2018-08-01,"4,309",794
2018-09-01,"2,359",-365
2018-10-01,"2,976",817
2018-11-01,"2,287","1,753"
2018-12-01,"1,341","2,092"
2019-01-01,"-2,101","2,327"
2019-02-01,"-2,487","3,436"
2019-03-01,"-7,768","3,695"
2019-04-01,"-7,606","5,383"
2019-05-01,"-8,788","5,057"
2019-06-01,"-8,207","6,509"
2019-07-01,"-7,636","7,371"
2019-08-01,"-7,631","7,187"
2019-09-01,"-5,979","8,644"
2019-10-01,"-6,899","8,602"
2019-11-01,"-9,521","7,692"
2019-12-01,"-6,939","7,753"
2020-01-01,"-6,864","7,354"
2020-02-01,"-3,472","7,634"
2020-03-01,412,"6,527"
2020-04-01,771,"5,741"
2020-05-01,7,"5,104"
2020-06-01,998,"3,163"
2020-07-01,-10,"1,254"
2020-08-01,"-1,137","2,632"
2020-09-01,-971,"3,169"
2020-10-01,-805,"2,825"
2020-11-01,"2,462","2,787"
2020-12-01,"2,158","2,790"
2021-01-01,"5,721","3,005"
2021-02-01,"4,202","2,326"
2021-03-01,"5,344","3,418"
2021-04-01,"5,606","3,648"
2021-05-01,"7,829","3,343"
2021-06-01,"8,518","5,215"
2021-07-01,"11,649","6,587"
2021-08-01,"14,037","6,652"
2021-09-01,"14,214","6,000"
2021-10-01,"14,177","6,200"
2021-11-01,"13,747","6,190"
2021-12-01,"12,160","6,326"
2022-01-01,"10,710","6,010"
2022-02-01,"11,256","6,111"
2022-03-01,"11,912","6,314"
2022-04-01,"13,372","6,621"
2022-05-01,"14,814","7,479"
2022-06-01,"17,267","8,572"
2022-07-01,"19,170","9,054"
2022-08-01,"18,360","9,142"
2022-09-01,"16,960","9,489"
2022-10-01,"16,077","9,503"
2022-11-01,"14,302","9,774"
2022-12-01,"12,888","8,532"
2023-01-01,"8,950","9,254"
2023-02-01,"7,147","8,085"
2023-03-01,"1,620","6,187"
2023-04-01,"-1,722","4,842"
2023-05-01,"-5,344","3,151"
2023-06-01,"-9,851",317
2023-07-01,"-15,330","-2,164"
2023-08-01,"-16,847","-2,864"
2023-09-01,"-17,743","-3,749"
2023-10-01,"-17,902","-3,565"
2023-11-01,"-17,669","-4,683"
2023-12-01,"-17,509","-4,341"
2024-01-01,"-14,661","-5,143"
2024-02-01,"-14,566","-4,826"
2024-03-01,"-11,316","-4,960"
2024-04-01,"-10,561","-5,542"
2024-05-01,"-7,728","-5,211"
2024-06-01,"-6,219","-4,599"
2024-07-01,"-3,319","-3,134"
2024-08-01,"-1,755","-3,034"
2024-09-01,"1,192","-2,023"
2024-10-01,"2,734","-1,939"
2024-11-01,"4,992",-954
2024-12-01,"6,643",606
2025-01-01,"5,862","1,168"
2025-02-01,"7,871","2,211"
2025-03-01,"9,054","4,339"
2025-04-01,"12,032","6,355"
2025-05-01,"12,008","7,561"
2025-06-01,"14,446","8,329"
2025-07-01,"15,369","9,384"
2025-08-01,"16,470","10,058"
2025-09-01,"16,869","10,435"
2025-10-01,"17,077","10,280"
2025-11-01,"16,689","10,082"
2025-12-01,"17,088","9,493"
