date,Direct Investment,Debt Securities,Equity & Investment Fund Shares,"Deposits, Loans, Trade Credit, & Other",Financial Derivatives,Reserve Assets
1/1/2016,8254,77700,-580,-27572,1700,10663
1/1/2017,8136,68368,9471,-8344,-503,12467
1/1/2018,10944,67270,16758,-35256,1638,12499
1/1/2019,3523,56812,-10411,8434,2501,16658
1/1/2020,5447,33819,25215,-15841,434,48342
1/1/2021,5925,60537,42099,-2216,-286,20993
1/1/2022,4229,53024,52263,-20451,4656,10883
1/1/2023,18259,55104,11583,-585,1050,14342
1/1/2024,20920,37840,45891,-12174,923,10880
1/1/2025,34350,16599,34806,73677,-2273,20035
