Item,Manufacture of Integrated Circuits,Manufacture of Discrete Devices,Packaging and Testing of Semi-conductors,Manufacture of Electronic Passive Devices,Manufacture of Bare Printed Circuit Boards,Manufacture of Panel and Components,Manufacture of Light Emitting Diodes (LED),Manufacture of Solar Cells,Manufacture of Other Optoelectronic Materials and Components,Manufacture of Printed Circuit Assembly,Manufacture of Other Electronic Parts and Components Not Elsewhere Classified,Manufacture of Computers,Manufacture of Monitors and Terminals,Manufacture of Other Computer Peripheral Equipment,Manufacture of Telephones and Cellular Phones,Manufacture of Other Communication Equipment,Manufacture of Audio and Video Equipment,Manufacture of Magnetic and Optical Media,"Manufacture of Measuring, Navigating and Control Equipment",Manufacture of Watches and Clocks,Manufacture of Irradiation and Electromedical Equipment,Manufacture of Cameras,Manufacture of Other Optical Instruments and Equipment, 
2016-01-01,43.35,82.54,60.82,60.15,67.84,75.55,126.16,321.65,94.50,64.62,47.77,31.41,133.68,50.84,"2,481.53",71.08,61.31,218.50,39.86,81.18,50.29,107.03,67.30, 
2016-02-01,39.74,71.05,57.40,47.36,55.42,54.80,111.52,289.20,81.48,43.20,38.33,25.99,80.17,48.12,"1,196.50",58.70,43.97,157.65,33.14,51.37,59.02,120.81,43.78, 
2016-03-01,49.74,95.93,65.15,64.65,70.40,66.13,125.16,315.73,101.64,64.28,53.32,35.02,114.13,60.81,"1,138.36",81.41,64.01,200.73,64.89,75.36,76.70,165.52,62.03, 
2016-04-01,45.96,89.01,64.40,60.25,65.71,68.18,111.10,308.72,85.56,50.25,47.18,32.22,105.72,56.44,"1,910.18",73.14,57.92,171.24,58.61,60.10,79.31,139.22,61.82, 
2016-05-01,49.59,91.09,68.82,64.65,68.59,69.17,116.69,320.01,96.94,53.92,50.56,32.57,113.12,55.74,"2,169.97",74.43,66.07,188.48,58.51,85.29,82.66,135.79,65.04, 
2016-06-01,53.30,89.76,70.54,65.53,67.21,70.38,118.80,315.46,84.50,54.86,50.82,37.62,104.88,59.28,"1,908.16",67.74,65.31,161.32,66.48,116.39,80.10,126.20,67.61, 
2016-07-01,52.35,90.88,71.94,65.28,71.67,72.83,116.44,272.08,101.62,52.86,51.02,34.25,117.46,51.69,"1,669.78",65.11,68.90,156.63,61.81,90.44,77.79,152.83,75.34, 
2016-08-01,55.17,94.29,74.12,68.06,76.84,80.44,127.20,209.00,93.13,61.36,52.99,40.15,96.78,55.33,"1,972.09",68.45,72.29,157.77,53.94,83.01,60.75,171.80,79.64, 
2016-09-01,65.41,91.78,73.95,62.57,73.57,81.42,114.74,173.51,83.98,59.80,50.05,37.36,85.85,47.37,"2,967.54",65.04,68.70,152.23,52.19,108.95,65.52,136.53,82.86, 
2016-10-01,57.96,92.79,73.77,64.63,78.95,88.22,120.20,205.03,84.30,58.85,46.66,38.07,95.35,50.03,"2,596.09",64.75,66.47,169.98,49.37,85.75,65.36,170.20,82.08, 
2016-11-01,60.77,93.02,71.78,68.68,77.59,91.44,111.75,230.83,82.84,59.05,51.77,40.72,108.91,51.40,"2,570.05",70.27,75.87,150.90,64.74,80.31,78.82,156.95,89.28, 
2016-12-01,57.16,88.06,71.88,66.01,79.78,95.04,115.02,232.71,81.59,54.54,50.85,40.26,105.58,48.68,"1,746.45",69.30,74.39,130.92,63.07,97.43,63.99,125.97,73.92, 
2017-01-01,54.71,81.18,65.90,59.27,71.65,89.44,107.52,210.46,80.11,42.30,41.22,31.25,104.92,44.95,"1,645.39",58.55,63.15,118.90,50.36,54.11,84.47,115.14,73.91, 
2017-02-01,50.43,79.28,62.92,57.63,66.96,89.13,102.34,212.78,71.87,45.74,37.26,32.07,67.26,44.52,"1,761.97",54.75,55.18,120.44,52.97,47.40,72.57,131.70,64.99, 
2017-03-01,57.74,99.03,70.19,68.72,75.50,92.82,117.80,196.06,85.33,58.40,52.19,46.75,100.93,51.73,"1,828.46",76.75,70.87,145.86,67.24,55.77,67.44,178.64,73.59, 
2017-04-01,45.32,90.49,67.54,63.50,68.80,85.41,116.99,187.81,78.81,49.66,46.58,36.45,81.09,41.04,"1,343.32",64.12,62.88,123.03,48.72,39.16,64.52,134.32,69.52, 
2017-05-01,51.94,94.90,69.75,68.91,72.61,91.51,107.53,209.64,79.08,50.53,51.12,38.01,93.49,46.01,"1,656.34",65.42,72.02,140.23,53.99,55.15,97.14,126.33,69.55, 
