date,Manufacturing,Information & Electronic Industry,Manufacture of Electronic Parts and Components,"Manufacture of Computers, Electronic and Optical Products",
2016-01-01,67.57,54.34,53.82,57.30, 
2016-02-01,67.10,54.12,53.31,59.00, 
2016-03-01,68.79,55.84,55.24,59.59, 
2016-04-01,69.47,56.18,55.68,60.36, 
2016-05-01,71.70,58.40,58.04,59.54, 
2016-06-01,72.13,59.55,59.66,60.34, 
2016-07-01,72.59,61.00,60.91,60.94, 
2016-08-01,73.21,60.74,60.91,59.00, 
2016-09-01,73.72,64.63,65.61,57.54, 
2016-10-01,74.86,63.45,64.14,58.75, 
2016-11-01,76.47,65.27,65.65,62.63, 
2016-12-01,75.00,63.80,64.30,59.26, 
2017-01-01,78.08,68.96,67.95,61.43, 
2017-02-01,75.06,62.69,63.57,63.14, 
2017-03-01,74.05,62.57,62.65,61.32, 
2017-04-01,71.57,58.25,58.36,57.51, 
2017-05-01,73.13,60.52,61.14,55.51, 
2017-06-01,76.30,63.82,64.01,63.43, 
2017-07-01,74.43,63.00,63.30,61.29, 
2017-08-01,76.75,64.47,64.19,64.91, 
2017-09-01,77.29,64.26,64.32,66.32, 
2017-10-01,76.06,66.20,66.18,65.57, 
2017-11-01,76.93,65.86,66.08,65.77, 
2017-12-01,78.35,69.72,70.28,65.02, 
2018-01-01,76.78,63.48,63.78,58.65, 
2018-02-01,76.82,65.55,66.70,61.61, 
2018-03-01,79.64,70.49,69.86,63.80, 
2018-04-01,77.39,66.91,67.46,64.68, 
2018-05-01,79.75,67.94,67.66,68.24, 
2018-06-01,77.63,64.85,64.88,66.18, 
2018-07-01,78.25,66.21,65.85,67.25, 
2018-08-01,77.59,65.09,64.78,68.77, 
2018-09-01,79.50,69.03,68.99,70.76, 
2018-10-01,81.97,71.19,70.87,75.29, 
2018-11-01,78.22,66.84,66.43,69.22, 
2018-12-01,76.70,67.22,66.66,72.72, 
2019-01-01,77.24,63.76,61.83,76.22, 
2019-02-01,76.09,63.82,63.05,76.36, 
2019-03-01,73.38,64.11,62.65,70.94, 
2019-04-01,78.62,67.29,65.53,83.05, 
2019-05-01,78.12,66.84,65.70,78.24, 
2019-06-01,78.46,69.02,68.21,78.38, 
2019-07-01,80.79,71.60,70.28,83.22, 
2019-08-01,80.83,74.08,72.85,83.63, 
2019-09-01,79.41,72.41,71.91,79.07, 
2019-10-01,81.67,74.17,72.96,84.21, 
2019-11-01,81.82,75.98,74.88,85.22, 
