Period,GDP,Private Consumption,Government Consumption,Gross Capital Formation,Exports,Imports,Net Exports,Domestic Demand
2016 Q1,+5.99,+1.97,+2.36,-2.93,-10.21,+14.80,+4.59,+1.40
2016 Q2,+4.94,+1.94,-1.63,+1.83,+3.99,-1.19,+2.80,+2.14
2016 Q3,+2.54,+0.30,+0.74,+4.61,+1.06,-4.17,-3.12,+5.66
2016 Q4,+1.99,+1.15,-0.06,+0.87,+12.58,-12.55,+0.03,+1.96
2017 Q1,+5.61,+2.05,-1.53,-3.79,-7.20,+16.07,+8.88,-3.27
2017 Q2,+1.63,+0.88,+1.81,+3.75,-0.55,-4.26,-4.81,+6.44
2017 Q3,+6.67,+3.12,+0.81,-6.64,+9.35,+0.03,+9.38,-2.71
2017 Q4,+2.19,+1.63,-1.83,-1.24,+0.64,+2.98,+3.62,-1.43
2018 Q1,+3.54,+0.58,+2.95,+4.11,-5.89,+1.79,-4.10,+7.64
2018 Q2,+0.38,+0.64,+1.28,+0.70,+1.45,-3.70,-2.25,+2.62
2018 Q3,+3.72,+0.17,-3.76,+10.90,-0.32,-3.28,-3.60,+7.32
2018 Q4,+2.56,+1.37,+0.91,-5.11,-3.78,+9.15,+5.37,-2.82
2019 Q1,+0.85,+2.01,-0.48,+1.21,-0.07,-1.82,-1.89,+2.74
2019 Q2,+3.80,+0.79,+2.08,-1.07,+3.93,-1.92,+2.00,+1.80
2019 Q3,+6.52,+2.10,-0.14,+5.10,-1.30,+0.76,-0.54,+7.06
2019 Q4,+5.70,+2.06,-0.31,+9.57,+1.94,-7.56,-5.62,+11.32
2020 Q1,-4.08,-7.01,+0.74,-0.95,-11.06,+14.20,+3.14,-7.22
2020 Q2,-5.37,-6.80,-0.55,-0.30,-2.12,+4.41,+2.29,-7.66
2020 Q3,+23.14,+11.38,+2.32,-6.06,+18.16,-2.66,+15.50,+7.64
2020 Q4,+12.47,+1.72,-0.60,+8.69,+11.78,-9.11,+2.67,+9.80
2021 Q1,+9.44,+0.24,+1.69,+8.93,+11.60,-13.02,-1.42,+10.86
2021 Q2,-9.18,-10.98,-1.62,+1.15,+3.80,-1.54,+2.26,-11.44
2021 Q3,+4.91,+0.47,+2.17,+11.88,-0.77,-8.84,-9.61,+14.52
2021 Q4,+17.89,+16.52,-0.40,-7.35,+10.56,-1.45,+9.11,+8.77
2022 Q1,+3.08,-2.33,+0.37,+1.67,+9.59,-6.21,+3.38,-0.30
2022 Q2,-8.79,-7.35,+2.33,+4.16,-3.60,-4.33,-7.93,-0.86
2022 Q3,+4.72,+7.57,-0.07,-2.69,-11.83,+11.74,-0.09,+4.80
2022 Q4,-0.43,+3.22,+0.38,-0.66,-3.36,-0.01,-3.37,+2.94
2023 Q1,-8.91,+1.20,-1.58,-4.33,-6.15,+1.95,-4.20,-4.71
2023 Q2,+10.26,+4.04,-0.11,-9.92,+6.15,+10.11,+16.26,-6.00
2023 Q3,+8.33,+2.63,+0.03,+1.07,+9.77,-5.18,+4.59,+3.73
2023 Q4,+10.63,+0.29,+0.97,+2.46,+2.29,+4.60,+6.90,+3.73
2024 Q1,+0.20,+0.53,+0.15,+0.85,+1.72,-3.05,-1.33,+1.53
2024 Q2,+2.36,+1.72,+0.06,+8.29,-1.30,-6.41,-7.72,+10.07
2024 Q3,+6.02,-0.01,+0.57,+2.13,+14.00,-10.67,+3.33,+2.69
2024 Q4,+7.19,+0.44,-0.16,+8.29,+2.32,-3.70,-1.38,+8.57
2025 Q1,+6.38,+0.12,-0.13,-2.78,+34.13,-24.96,+9.17,-2.79
2025 Q2,+13.22,-0.21,+1.34,-1.62,+35.46,-21.76,+13.70,-0.48
2025 Q3,+7.36,+1.81,-0.74,-2.86,+8.41,+0.73,+9.15,-1.79
2025 Q4,+23.55,+4.50,+0.12,+2.46,+23.38,-6.91,+16.47,+7.08
