Date,Subways: Total Estimated Ridership,Subways: % Change From Pre-Pandemic Equivalent Day,Buses: Total Estimated Ridership,Buses: % Change From Pre-Pandemic Equivalent Day,LIRR: Total Estimated Ridership,LIRR: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % Change From Pre-Pandemic Equivalent Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % Change From Pre-Pandemic Equivalent Day
11/11/2021,2921893,-39.20%,1113957,-38.60%,143400,-50%,122900,-53%,19846,-10.20%,895643,5.40%
11/10/2021,3355470,-42.40%,1485186,-32.40%,159300,-44%,134400,-48%,24608,-23.70%,926005,0.90%
11/9/2021,3286401,-43.40%,1506668,-31.30%,157200,-46%,134100,-48%,24504,-22.40%,898518,1.20%
11/8/2021,3071952,-47.30%,1455845,-37.00%,159700,-45%,131100,-51%,22136,-26.50%,889544,-3.20%
11/7/2021,1891664,-34.30%,613276,-38.20%,81200,-13%,72200,-10%,10647,-37.00%,780686,0.50%
11/6/2021,2197991,-32.10%,863544,-33.90%,84900,-25%,80800,-16%,13672,-22.90%,910587,-0.40%
11/5/2021,3299918,-43.70%,1453258,-33.40%,150200,-50%,121800,-55%,23009,-22.30%,966007,-1.50%
11/4/2021,3291340,-45.40%,1484213,-36.60%,151400,-47%,126500,-51%,24009,-25.50%,931012,-2.50%
11/3/2021,3300953,-45.20%,1505746,-36.70%,154200,-46%,131000,-49%,23349,-29.90%,901230,-3.70%
11/2/2021,2853817,-48.50%,1257244,-40.30%,147800,-49%,129300,-50%,22016,-27.80%,853432,-4.30%
11/1/2021,3041031,-47.80%,1447371,-37.40%,158400,-46%,131300,-51%,21387,-29.00%,898451,-2.20%
10/31/2021,1748679,-30.50%,656203,-37.60%,68700,-27%,66300,-18%,12233,-37.00%,824978,-3.90%
10/30/2021,2046487,-38.90%,819620,-40.90%,76500,-32%,69300,-28%,12642,-30.60%,854656,-7.70%
10/29/2021,3258376,-45.30%,1426938,-37.00%,153300,-49%,122600,-54%,22477,-25.70%,963442,-2.80%
10/28/2021,3373576,-41.60%,1515489,-30.20%,159600,-45%,132200,-49%,24814,-14.50%,959835,8.30%
10/27/2021,3307634,-45.10%,1503535,-36.30%,155900,-46%,129900,-50%,24144,-24.80%,914494,-1.20%
10/26/2021,2707913,-54.70%,1233660,-46.90%,130100,-55%,104500,-60%,21220,-31.80%,738636,-19.10%
