Week Ending,Gross,Gross_Potential,Attendance,Capacity
2020-03-08,26700956,0.72,253453,0.89
2020-03-01,26109896,0.74,244515,0.9
2020-02-23,29195910,0.85,250954,0.96
2020-02-16,31152553,0.89,250646,0.94
2020-02-09,26971364,0.81,239713,0.94
2020-02-02,26036075,0.8,232823,0.93
2020-01-26,27611966,0.84,238179,0.95
2020-01-19,30443388,0.88,248005,0.95
2020-01-12,31126364,0.86,259101,0.94
2020-01-05,43095641,0.92,317679,0.94
2019-12-29,55765408,1.04,350714,0.95
2019-12-22,40645773,0.89,302372,0.91
2019-12-15,38869141,0.88,302872,0.91
2019-12-08,38317632,0.88,296485,0.9
2019-12-01,41687333,0.9,292940,0.88
2019-11-24,32015929,0.74,278056,0.85
2019-11-17,32819621,0.74,289802,0.86
2019-11-10,35399366,0.84,291419,0.91
2019-11-03,31122601,0.78,270173,0.88
2019-10-27,33983842,0.82,278087,0.89
2019-10-20,34644583,0.84,286802,0.92
2019-10-13,35212990,0.87,282646,0.93
2019-10-06,30098714,0.76,261793,0.88
2019-09-29,29894777,0.76,260421,0.87
2019-09-22,29320908,0.77,254679,0.88
2019-09-15,29092571,0.82,253685,0.94
2019-09-08,25965471,0.81,224402,0.92
2019-09-01,28652877,0.89,227568,0.96
2019-08-25,27987012,0.86,224849,0.93
2019-08-18,31972753,0.85,258918,0.93
2019-08-11,33808016,0.85,270326,0.93
2019-08-04,33730889,0.84,270067,0.93
2019-07-28,33824901,0.83,273153,0.92
2019-07-21,34264194,0.81,271824,0.92
2019-07-14,30566474,0.82,243260,0.91
2019-07-07,34108643,0.78,288107,0.9
2019-06-30,35938539,0.8,295824,0.9
2019-06-23,35987055,0.81,296070,0.9
2019-06-16,34493610,0.77,292380,0.88
2019-06-09,35439599,0.77,306861,0.88
2019-06-02,34573185,0.72,306164,0.86
2019-05-26,35905670,0.78,314317,0.91
2019-05-19,35092351,0.77,310574,0.9
2019-05-12,36855347,0.77,316359,0.89
2019-05-05,34151624,0.78,297097,0.9
2019-04-28,38151116,0.83,316868,0.95
2019-04-21,40219790,0.85,328200,0.95
2019-04-14,34725461,0.78,304463,0.91
2019-04-07,35291616,0.77,315320,0.9
2019-03-31,36822965,0.83,313513,0.93
2019-03-24,34204242,0.81,298672,0.94
2019-03-17,32944573,0.8,288544,0.93
2019-03-10,30252790,0.75,271052,0.9
2019-03-03,27159271,0.69,245665,0.84
2019-02-24,29863192,0.78,253875,0.9
2019-02-17,30511551,0.81,252489,0.9
2019-02-10,27661258,0.77,249720,0.93
2019-02-03,26512355,0.74,237108,0.88
2019-01-27,29982380,0.79,259574,0.92
2019-01-20,31699190,0.79,267598,0.88
2019-01-13,31937248,0.77,274375,0.88
2019-01-06,37530273,0.84,300562,0.91
2018-12-30,57807272,1.01,378910,0.93
2018-12-23,41012370,0.82,308489,0.85
2018-12-16,39865469,0.78,313917,0.84
2018-12-09,40149570,0.79,314249,0.87
2018-12-02,37805785,0.77,299411,0.84
2018-11-25,43043393,0.88,299235,0.86
2018-11-18,36501888,0.77,292481,0.84
2018-11-11,37230401,0.8,306015,0.9
2018-11-04,33078712,0.74,279469,0.86
2018-10-28,33133984,0.78,272782,0.87
2018-10-21,34344693,0.82,269065,0.9
2018-10-14,33387818,0.8,262241,0.88
2018-10-07,33381111,0.83,249245,0.88
2018-09-30,29521717,0.78,233389,0.87
2018-09-23,26309336,0.77,223438,0.87
2018-09-16,28771784,0.75,256263,0.9
2018-09-09,29524979,0.73,249078,0.85
2018-09-02,32089528,0.79,250180,0.88
2018-08-26,33662782,0.8,255379,0.87
2018-08-19,35465012,0.83,264673,0.9
2018-08-12,37289893,0.86,277794,0.92
2018-08-05,36391385,0.87,284545,0.93
2018-07-29,39633285,0.89,295685,0.95
2018-07-22,36855921,0.87,281446,0.93
2018-07-15,37330028,0.86,280463,0.92
2018-07-08,33865380,0.83,272945,0.92
2018-07-01,38126489,0.85,291188,0.91
2018-06-24,40285884,0.89,297029,0.93
2018-06-17,39653552,0.88,298431,0.92
2018-06-10,39211500,0.85,302808,0.92
2018-06-03,37106954,0.81,292066,0.89
2018-05-27,39431767,0.84,308320,0.92
2018-05-20,38813251,0.83,311582,0.93
2018-05-13,38621280,0.82,306163,0.91
2018-05-06,36994027,0.78,294627,0.87
2018-04-29,35335327,0.78,305422,0.89
2018-04-22,37506237,0.79,314967,0.91
2018-04-15,37766617,0.79,311621,0.9
2018-04-08,41839054,0.89,319839,0.95
2018-04-01,42016688,0.89,319605,0.95
2018-03-25,35414660,0.8,292873,0.91
2018-03-18,31954760,0.82,265949,0.94
2018-03-11,29425481,0.78,243913,0.88
2018-03-04,26316393,0.73,224980,0.83
2018-02-25,27049673,0.82,231785,0.91
2018-02-18,26335056,0.86,213716,0.91
2018-02-11,22018577,0.74,191186,0.83
2018-02-04,24869632,0.77,210097,0.88
2018-01-28,27522165,0.84,221748,0.92
2018-01-21,27685184,0.85,217004,0.91
2018-01-14,32947325,0.9,248789,0.92
2018-01-07,32207430,0.88,255197,0.92
2017-12-31,50354029,1.1,306408,0.95
2017-12-24,35795927,0.89,244973,0.87
2017-12-17,34359421,0.82,257160,0.85
2017-12-10,35260251,0.84,264442,0.88
2017-12-03,29983150,0.79,242528,0.84
2017-11-26,39079347,0.93,264948,0.89
2017-11-19,31147316,0.79,247644,0.86
2017-11-12,32477413,0.85,250816,0.9
2017-11-05,27265632,0.77,224654,0.86
2017-10-29,28628692,0.8,231168,0.88
2017-10-22,30630790,0.83,244003,0.9
2017-10-15,29928495,0.82,241568,0.91
2017-10-08,30239538,0.85,234345,0.91
2017-10-01,23206324,0.76,198483,0.84
2017-09-24,23991939,0.74,206418,0.82
2017-09-17,26613187,0.77,238136,0.89
2017-09-10,23603590,0.7,220403,0.84
2017-09-03,27899472,0.79,237871,0.87
2017-08-27,26578503,0.74,232301,0.83
2017-08-20,28674786,0.76,247074,0.85
2017-08-13,30312334,0.79,260456,0.88
2017-08-06,31424599,0.82,266389,0.9
2017-07-30,31904723,0.83,266316,0.91
2017-07-23,31395963,0.83,262838,0.91
2017-07-16,31922259,0.81,268850,0.9
2017-07-09,29082683,0.76,256171,0.86
2017-07-02,31965812,0.78,282247,0.89
2017-06-25,35273882,0.82,301124,0.91
2017-06-18,34505435,0.79,298093,0.88
