Date,Price
9-Jun-22,1.4285
8-Jun-22,1.361
7-Jun-22,1.3
6-Jun-22,1.322
3-Jun-22,1.27
2-Jun-22,1.235
1-Jun-22,1.181
31-May-22,1.127
30-May-22,1.044
27-May-22,0.963
26-May-22,0.999
25-May-22,0.955
24-May-22,0.954
23-May-22,1.02
20-May-22,0.942
19-May-22,0.94
18-May-22,1.012
17-May-22,1.056
16-May-22,0.937
14-May-22,0.9385
13-May-22,0.947
12-May-22,0.869
11-May-22,1.004
10-May-22,1.003
9-May-22,1.088
6-May-22,1.137
5-May-22,1.048
4-May-22,0.978
3-May-22,0.954
2-May-22,0.963
29-Apr-22,0.9345
28-Apr-22,0.895
27-Apr-22,0.81
26-Apr-22,0.802
25-Apr-22,0.848
22-Apr-22,0.963
21-Apr-22,0.925
20-Apr-22,0.862
19-Apr-22,0.918
18-Apr-22,0.8395
15-Apr-22,0.8395
14-Apr-22,0.839
13-Apr-22,0.775
12-Apr-22,0.79
11-Apr-22,0.813
8-Apr-22,0.71
7-Apr-22,0.68
6-Apr-22,0.648
5-Apr-22,0.61
4-Apr-22,0.517
1-Apr-22,0.566
31-Mar-22,0.547
30-Mar-22,0.658
29-Mar-22,0.641
28-Mar-22,0.582
25-Mar-22,0.57
24-Mar-22,0.526
23-Mar-22,0.479
22-Mar-22,0.505
21-Mar-22,0.459
18-Mar-22,0.367
17-Mar-22,0.388
16-Mar-22,0.393
15-Mar-22,0.331
14-Mar-22,0.373
11-Mar-22,0.27
10-Mar-22,0.27
9-Mar-22,0.191
8-Mar-22,0.107
7-Mar-22,-0.013
4-Mar-22,-0.101
3-Mar-22,0.022
2-Mar-22,0.01
1-Mar-22,-0.069
28-Feb-22,0.159
25-Feb-22,0.224
24-Feb-22,0.171
23-Feb-22,0.225
22-Feb-22,0.243
21-Feb-22,0.2
18-Feb-22,0.205
17-Feb-22,0.233
16-Feb-22,0.272
15-Feb-22,0.311
14-Feb-22,0.273
11-Feb-22,0.292
10-Feb-22,0.292
9-Feb-22,0.22
8-Feb-22,0.264
7-Feb-22,0.224
4-Feb-22,0.208
3-Feb-22,0.155
2-Feb-22,0.035
1-Feb-22,0.037
31-Jan-22,0.014
28-Jan-22,-0.047
27-Jan-22,-0.057
26-Jan-22,-0.071
25-Jan-22,-0.081
24-Jan-22,-0.098
22-Jan-22,-0.067
21-Jan-22,-0.06
20-Jan-22,-0.027
19-Jan-22,-0.009
18-Jan-22,-0.018
17-Jan-22,-0.026
14-Jan-22,-0.049
13-Jan-22,-0.086
12-Jan-22,-0.057
11-Jan-22,-0.032
10-Jan-22,-0.036
7-Jan-22,-0.029
6-Jan-22,-0.068
5-Jan-22,-0.124
4-Jan-22,-0.128
3-Jan-22,-0.124
31-Dec-21,-0.179
30-Dec-21,-0.176
29-Dec-21,-0.18
28-Dec-21,-0.239
27-Dec-21,-0.244
24-Dec-21,-0.251
23-Dec-21,-0.252
22-Dec-21,-0.293
21-Dec-21,-0.303
20-Dec-21,-0.366
17-Dec-21,-0.375
16-Dec-21,-0.346
15-Dec-21,-0.362
14-Dec-21,-0.363
13-Dec-21,-0.38
10-Dec-21,-0.35
9-Dec-21,-0.351
8-Dec-21,-0.309
7-Dec-21,-0.375
6-Dec-21,-0.387
3-Dec-21,-0.378
2-Dec-21,-0.373
1-Dec-21,-0.331
30-Nov-21,-0.343
29-Nov-21,-0.323
27-Nov-21,-0.3415
26-Nov-21,-0.338
25-Nov-21,-0.246
24-Nov-21,-0.219
23-Nov-21,-0.228
22-Nov-21,-0.296
20-Nov-21,-0.344
19-Nov-21,-0.341
18-Nov-21,-0.28
17-Nov-21,-0.244
16-Nov-21,-0.244
15-Nov-21,-0.245
12-Nov-21,-0.256
11-Nov-21,-0.226
10-Nov-21,-0.248
9-Nov-21,-0.296
8-Nov-21,-0.247
5-Nov-21,-0.28
4-Nov-21,-0.225
3-Nov-21,-0.167
2-Nov-21,-0.16
1-Nov-21,-0.103
30-Oct-21,-0.1065
29-Oct-21,-0.094
28-Oct-21,-0.15
27-Oct-21,-0.176
26-Oct-21,-0.12
25-Oct-21,-0.112
23-Oct-21,-0.1035
22-Oct-21,-0.097
21-Oct-21,-0.097
20-Oct-21,-0.123
19-Oct-21,-0.114
18-Oct-21,-0.148
15-Oct-21,-0.171
14-Oct-21,-0.184
13-Oct-21,-0.129
12-Oct-21,-0.096
11-Oct-21,-0.119
8-Oct-21,-0.147
7-Oct-21,-0.187
6-Oct-21,-0.182
5-Oct-21,-0.188
4-Oct-21,-0.217
1-Oct-21,-0.219
30-Sep-21,-0.191
29-Sep-21,-0.213
28-Sep-21,-0.198
27-Sep-21,-0.226
25-Sep-21,-0.2285
24-Sep-21,-0.228
23-Sep-21,-0.252
22-Sep-21,-0.326
21-Sep-21,-0.328
20-Sep-21,-0.315
18-Sep-21,-0.2815
17-Sep-21,-0.279
16-Sep-21,-0.305
15-Sep-21,-0.308
14-Sep-21,-0.34
13-Sep-21,-0.328
12-Sep-21,-0.331
11-Sep-21,-0.331
10-Sep-21,-0.332
9-Sep-21,-0.364
8-Sep-21,-0.32
7-Sep-21,-0.317
6-Sep-21,-0.368
3-Sep-21,-0.358
2-Sep-21,-0.384
1-Sep-21,-0.371
31-Aug-21,-0.38
30-Aug-21,-0.439
27-Aug-21,-0.419
26-Aug-21,-0.417
25-Aug-21,-0.417
24-Aug-21,-0.477
23-Aug-21,-0.478
20-Aug-21,-0.495
19-Aug-21,-0.489
18-Aug-21,-0.482
17-Aug-21,-0.467
16-Aug-21,-0.466
13-Aug-21,-0.463
12-Aug-21,-0.461
11-Aug-21,-0.46
10-Aug-21,-0.454
9-Aug-21,-0.459
6-Aug-21,-0.455
5-Aug-21,-0.493
4-Aug-21,-0.493
3-Aug-21,-0.481
2-Aug-21,-0.481
30-Jul-21,-0.458
29-Jul-21,-0.451
28-Jul-21,-0.447
27-Jul-21,-0.441
26-Jul-21,-0.414
23-Jul-21,-0.413
22-Jul-21,-0.421
21-Jul-21,-0.396
20-Jul-21,-0.41
19-Jul-21,-0.387
16-Jul-21,-0.351
15-Jul-21,-0.331
14-Jul-21,-0.312
13-Jul-21,-0.299
12-Jul-21,-0.301
9-Jul-21,-0.292
8-Jul-21,-0.313
7-Jul-21,-0.289
6-Jul-21,-0.269
5-Jul-21,-0.208
4-Jul-21,-0.2375
2-Jul-21,-0.235
1-Jul-21,-0.2
30-Jun-21,-0.203
29-Jun-21,-0.173
28-Jun-21,-0.186
26-Jun-21,-0.1565
25-Jun-21,-0.156
24-Jun-21,-0.186
23-Jun-21,-0.179
22-Jun-21,-0.161
21-Jun-21,-0.173
20-Jun-21,-0.202
19-Jun-21,-0.202
18-Jun-21,-0.203
17-Jun-21,-0.19
16-Jun-21,-0.246
15-Jun-21,-0.23
14-Jun-21,-0.254
11-Jun-21,-0.269
10-Jun-21,-0.247
9-Jun-21,-0.247
8-Jun-21,-0.223
7-Jun-21,-0.197
5-Jun-21,-0.212
4-Jun-21,-0.209
3-Jun-21,-0.183
2-Jun-21,-0.196
1-Jun-21,-0.175
31-May-21,-0.183
28-May-21,-0.184
27-May-21,-0.172
26-May-21,-0.203
25-May-21,-0.164
24-May-21,-0.14
21-May-21,-0.127
20-May-21,-0.107
19-May-21,-0.11
18-May-21,-0.11
17-May-21,-0.116
14-May-21,-0.123
13-May-21,-0.113
12-May-21,-0.125
11-May-21,-0.16
10-May-21,-0.211
7-May-21,-0.219
6-May-21,-0.23
5-May-21,-0.231
4-May-21,-0.238
3-May-21,-0.203
30-Apr-21,-0.2
29-Apr-21,-0.192
28-Apr-21,-0.231
27-Apr-21,-0.252
26-Apr-21,-0.255
23-Apr-21,-0.257
22-Apr-21,-0.255
21-Apr-21,-0.259
20-Apr-21,-0.257
19-Apr-21,-0.236
16-Apr-21,-0.262
15-Apr-21,-0.293
14-Apr-21,-0.263
13-Apr-21,-0.289
12-Apr-21,-0.293
9-Apr-21,-0.297
8-Apr-21,-0.334
7-Apr-21,-0.318
6-Apr-21,-0.315
5-Apr-21,-0.3285
2-Apr-21,-0.3285
1-Apr-21,-0.325
31-Mar-21,-0.292
30-Mar-21,-0.277
29-Mar-21,-0.32
26-Mar-21,-0.349
25-Mar-21,-0.385
24-Mar-21,-0.356
23-Mar-21,-0.342
22-Mar-21,-0.31
19-Mar-21,-0.294
18-Mar-21,-0.265
17-Mar-21,-0.293
16-Mar-21,-0.339
15-Mar-21,-0.337
12-Mar-21,-0.295
11-Mar-21,-0.331
10-Mar-21,-0.311
9-Mar-21,-0.303
8-Mar-21,-0.28
5-Mar-21,-0.304
4-Mar-21,-0.311
3-Mar-21,-0.297
2-Mar-21,-0.348
1-Mar-21,-0.333
26-Feb-21,-0.257
25-Feb-21,-0.227
24-Feb-21,-0.304
23-Feb-21,-0.319
22-Feb-21,-0.346
19-Feb-21,-0.313
18-Feb-21,-0.342
17-Feb-21,-0.363
16-Feb-21,-0.349
15-Feb-21,-0.384
12-Feb-21,-0.43
11-Feb-21,-0.458
10-Feb-21,-0.438
9-Feb-21,-0.448
8-Feb-21,-0.443
5-Feb-21,-0.443
4-Feb-21,-0.456
3-Feb-21,-0.467
2-Feb-21,-0.488
1-Feb-21,-0.513
29-Jan-21,-0.52
28-Jan-21,-0.542
27-Jan-21,-0.549
26-Jan-21,-0.531
25-Jan-21,-0.55
22-Jan-21,-0.513
21-Jan-21,-0.498
20-Jan-21,-0.529
19-Jan-21,-0.527
18-Jan-21,-0.525
15-Jan-21,-0.542
14-Jan-21,-0.548
13-Jan-21,-0.524
12-Jan-21,-0.469
11-Jan-21,-0.491
8-Jan-21,-0.517
7-Jan-21,-0.546
6-Jan-21,-0.546
5-Jan-21,-0.584
4-Jan-21,-0.599
1-Jan-21,-0.572
31-Dec-20,-0.575
30-Dec-20,-0.57
29-Dec-20,-0.576
28-Dec-20,-0.563
24-Dec-20,-0.549
23-Dec-20,-0.543
22-Dec-20,-0.591
21-Dec-20,-0.581
18-Dec-20,-0.572
17-Dec-20,-0.577
16-Dec-20,-0.568
15-Dec-20,-0.61
14-Dec-20,-0.618
11-Dec-20,-0.638
10-Dec-20,-0.602
9-Dec-20,-0.605
8-Dec-20,-0.613
7-Dec-20,-0.585
4-Dec-20,-0.543
3-Dec-20,-0.548
2-Dec-20,-0.521
1-Dec-20,-0.524
30-Nov-20,-0.571
27-Nov-20,-0.585
26-Nov-20,-0.587
25-Nov-20,-0.572
24-Nov-20,-0.565
23-Nov-20,-0.578
21-Nov-20,-0.584
20-Nov-20,-0.583
19-Nov-20,-0.569
18-Nov-20,-0.554
17-Nov-20,-0.561
16-Nov-20,-0.545
13-Nov-20,-0.548
12-Nov-20,-0.535
11-Nov-20,-0.503
10-Nov-20,-0.48
9-Nov-20,-0.508
6-Nov-20,-0.617
5-Nov-20,-0.634
4-Nov-20,-0.638
3-Nov-20,-0.621
2-Nov-20,-0.638
30-Oct-20,-0.625
29-Oct-20,-0.637
28-Oct-20,-0.628
27-Oct-20,-0.612
26-Oct-20,-0.571
23-Oct-20,-0.572
22-Oct-20,-0.568
21-Oct-20,-0.588
20-Oct-20,-0.603
19-Oct-20,-0.627
16-Oct-20,-0.623
15-Oct-20,-0.611
14-Oct-20,-0.575
13-Oct-20,-0.554
12-Oct-20,-0.543
9-Oct-20,-0.532
8-Oct-20,-0.521
7-Oct-20,-0.493
6-Oct-20,-0.507
5-Oct-20,-0.512
3-Oct-20,-0.537
2-Oct-20,-0.534
1-Oct-20,-0.528
30-Sep-20,-0.521
29-Sep-20,-0.542
28-Sep-20,-0.526
25-Sep-20,-0.525
24-Sep-20,-0.506
23-Sep-20,-0.502
22-Sep-20,-0.502
21-Sep-20,-0.527
19-Sep-20,-0.487
18-Sep-20,-0.483
17-Sep-20,-0.492
16-Sep-20,-0.481
15-Sep-20,-0.481
14-Sep-20,-0.477
11-Sep-20,-0.483
10-Sep-20,-0.426
9-Sep-20,-0.461
8-Sep-20,-0.494
7-Sep-20,-0.46
4-Sep-20,-0.478
3-Sep-20,-0.49
2-Sep-20,-0.473
1-Sep-20,-0.415
31-Aug-20,-0.398
28-Aug-20,-0.407
27-Aug-20,-0.403
26-Aug-20,-0.411
25-Aug-20,-0.426
24-Aug-20,-0.494
21-Aug-20,-0.508
20-Aug-20,-0.495
19-Aug-20,-0.475
18-Aug-20,-0.456
17-Aug-20,-0.453
14-Aug-20,-0.419
13-Aug-20,-0.41
12-Aug-20,-0.449
11-Aug-20,-0.472
10-Aug-20,-0.525
7-Aug-20,-0.505
6-Aug-20,-0.539
5-Aug-20,-0.506
4-Aug-20,-0.55
3-Aug-20,-0.523
31-Jul-20,-0.531
30-Jul-20,-0.545
29-Jul-20,-0.499
28-Jul-20,-0.51
27-Jul-20,-0.492
24-Jul-20,-0.445
23-Jul-20,-0.482
22-Jul-20,-0.493
21-Jul-20,-0.462
20-Jul-20,-0.463
19-Jul-20,-0.4525
17-Jul-20,-0.455
16-Jul-20,-0.469
15-Jul-20,-0.443
14-Jul-20,-0.447
13-Jul-20,-0.416
10-Jul-20,-0.468
9-Jul-20,-0.459
8-Jul-20,-0.439
7-Jul-20,-0.429
6-Jul-20,-0.432
3-Jul-20,-0.432
2-Jul-20,-0.429
1-Jul-20,-0.397
30-Jun-20,-0.453
29-Jun-20,-0.47
27-Jun-20,-0.482
26-Jun-20,-0.481
25-Jun-20,-0.465
24-Jun-20,-0.439
23-Jun-20,-0.405
22-Jun-20,-0.436
19-Jun-20,-0.415
18-Jun-20,-0.442
17-Jun-20,-0.426
16-Jun-20,-0.428
15-Jun-20,-0.444
13-Jun-20,-0.446
12-Jun-20,-0.438
11-Jun-20,-0.413
10-Jun-20,-0.329
9-Jun-20,-0.311
8-Jun-20,-0.318
5-Jun-20,-0.277
4-Jun-20,-0.322
3-Jun-20,-0.355
2-Jun-20,-0.414
1-Jun-20,-0.403
29-May-20,-0.448
28-May-20,-0.419
27-May-20,-0.414
26-May-20,-0.43
25-May-20,-0.494
22-May-20,-0.488
21-May-20,-0.495
20-May-20,-0.468
19-May-20,-0.464
18-May-20,-0.472
15-May-20,-0.528
14-May-20,-0.542
13-May-20,-0.527
12-May-20,-0.507
11-May-20,-0.513
8-May-20,-0.538
7-May-20,-0.546
6-May-20,-0.503
5-May-20,-0.577
4-May-20,-0.561
1-May-20,-0.586
30-Apr-20,-0.589
29-Apr-20,-0.494
28-Apr-20,-0.469
27-Apr-20,-0.451
24-Apr-20,-0.474
23-Apr-20,-0.422
22-Apr-20,-0.407
21-Apr-20,-0.475
