Date,Price
7/22/2022,1.023
7/21/2022,1.22
7/20/2022,1.26
7/19/2022,1.278
7/18/2022,1.214
7/15/2022,1.128
7/14/2022,1.179
7/13/2022,1.145
7/12/2022,1.134
7/11/2022,1.25
7/8/2022,1.346
7/7/2022,1.291
7/6/2022,1.158
7/5/2022,1.187
7/4/2022,1.337
7/1/2022,1.226
6/30/2022,1.368
6/29/2022,1.504
6/28/2022,1.635
6/27/2022,1.544
6/25/2022,1.4375
6/24/2022,1.44
6/23/2022,1.427
6/22/2022,1.62
6/21/2022,1.762
6/20/2022,1.743
6/17/2022,1.669
6/16/2022,1.703
6/15/2022,1.652
6/14/2022,1.751
6/13/2022,1.627
6/10/2022,1.502
6/9/2022,1.435
6/8/2022,1.355
6/7/2022,1.287
6/6/2022,1.322
6/3/2022,1.27
6/2/2022,1.235
6/1/2022,1.181
5/31/2022,1.127
5/30/2022,1.044
5/27/2022,0.963
5/26/2022,0.999
5/25/2022,0.955
5/24/2022,0.954
5/23/2022,1.02
5/20/2022,0.942
5/19/2022,0.94
5/18/2022,1.012
5/17/2022,1.056
5/16/2022,0.937
5/14/2022,0.9385
5/13/2022,0.947
5/12/2022,0.869
5/11/2022,1.004
5/10/2022,1.003
5/9/2022,1.088
5/6/2022,1.137
5/5/2022,1.048
5/4/2022,0.978
5/3/2022,0.954
5/2/2022,0.963
4/29/2022,0.9345
4/28/2022,0.895
4/27/2022,0.81
4/26/2022,0.802
4/25/2022,0.848
4/22/2022,0.963
4/21/2022,0.925
4/20/2022,0.862
4/19/2022,0.918
4/18/2022,0.8395
4/15/2022,0.8395
4/14/2022,0.839
4/13/2022,0.775
4/12/2022,0.79
4/11/2022,0.813
4/8/2022,0.71
4/7/2022,0.68
4/6/2022,0.648
4/5/2022,0.61
4/4/2022,0.517
4/1/2022,0.566
3/31/2022,0.547
3/30/2022,0.658
3/29/2022,0.641
3/28/2022,0.582
3/25/2022,0.57
3/24/2022,0.526
3/23/2022,0.479
3/22/2022,0.505
3/21/2022,0.459
3/18/2022,0.367
3/17/2022,0.388
3/16/2022,0.393
3/15/2022,0.331
3/14/2022,0.373
3/11/2022,0.27
3/10/2022,0.27
3/9/2022,0.191
3/8/2022,0.107
3/7/2022,-0.013
3/4/2022,-0.101
3/3/2022,0.022
3/2/2022,0.01
3/1/2022,-0.069
2/28/2022,0.159
2/25/2022,0.224
2/24/2022,0.171
2/23/2022,0.225
2/22/2022,0.243
2/21/2022,0.2
2/18/2022,0.205
2/17/2022,0.233
2/16/2022,0.272
2/15/2022,0.311
2/14/2022,0.273
2/11/2022,0.292
2/10/2022,0.292
2/9/2022,0.22
2/8/2022,0.264
2/7/2022,0.224
2/4/2022,0.208
2/3/2022,0.155
2/2/2022,0.035
2/1/2022,0.037
1/31/2022,0.014
1/28/2022,-0.047
1/27/2022,-0.057
1/26/2022,-0.071
1/25/2022,-0.081
1/24/2022,-0.098
1/22/2022,-0.067
1/21/2022,-0.06
1/20/2022,-0.027
1/19/2022,-0.009
1/18/2022,-0.018
1/17/2022,-0.026
1/14/2022,-0.049
1/13/2022,-0.086
1/12/2022,-0.057
1/11/2022,-0.032
1/10/2022,-0.036
1/7/2022,-0.029
1/6/2022,-0.068
1/5/2022,-0.124
1/4/2022,-0.128
1/3/2022,-0.124
12/31/2021,-0.179
12/30/2021,-0.176
12/29/2021,-0.18
12/28/2021,-0.239
12/27/2021,-0.244
12/24/2021,-0.251
12/23/2021,-0.252
12/22/2021,-0.293
12/21/2021,-0.303
12/20/2021,-0.366
12/17/2021,-0.375
12/16/2021,-0.346
12/15/2021,-0.362
12/14/2021,-0.363
12/13/2021,-0.38
12/10/2021,-0.35
12/9/2021,-0.351
12/8/2021,-0.309
12/7/2021,-0.375
12/6/2021,-0.387
12/3/2021,-0.378
12/2/2021,-0.373
12/1/2021,-0.331
11/30/2021,-0.343
11/29/2021,-0.323
11/27/2021,-0.3415
11/26/2021,-0.338
11/25/2021,-0.246
11/24/2021,-0.219
11/23/2021,-0.228
11/22/2021,-0.296
11/20/2021,-0.344
11/19/2021,-0.341
11/18/2021,-0.28
11/17/2021,-0.244
11/16/2021,-0.244
11/15/2021,-0.245
11/12/2021,-0.256
11/11/2021,-0.226
11/10/2021,-0.248
11/9/2021,-0.296
11/8/2021,-0.247
11/5/2021,-0.28
11/4/2021,-0.225
11/3/2021,-0.167
11/2/2021,-0.16
11/1/2021,-0.103
10/30/2021,-0.1065
10/29/2021,-0.094
10/28/2021,-0.15
10/27/2021,-0.176
10/26/2021,-0.12
10/25/2021,-0.112
10/23/2021,-0.1035
10/22/2021,-0.097
10/21/2021,-0.097
10/20/2021,-0.123
10/19/2021,-0.114
10/18/2021,-0.148
10/15/2021,-0.171
10/14/2021,-0.184
10/13/2021,-0.129
10/12/2021,-0.096
10/11/2021,-0.119
10/8/2021,-0.147
10/7/2021,-0.187
10/6/2021,-0.182
10/5/2021,-0.188
10/4/2021,-0.217
10/1/2021,-0.219
9/30/2021,-0.191
9/29/2021,-0.213
9/28/2021,-0.198
9/27/2021,-0.226
9/25/2021,-0.2285
9/24/2021,-0.228
9/23/2021,-0.252
9/22/2021,-0.326
9/21/2021,-0.328
9/20/2021,-0.315
9/18/2021,-0.2815
9/17/2021,-0.279
9/16/2021,-0.305
9/15/2021,-0.308
9/14/2021,-0.34
9/13/2021,-0.328
9/12/2021,-0.331
9/11/2021,-0.331
9/10/2021,-0.332
9/9/2021,-0.364
9/8/2021,-0.32
9/7/2021,-0.317
9/6/2021,-0.368
9/3/2021,-0.358
9/2/2021,-0.384
9/1/2021,-0.371
8/31/2021,-0.38
8/30/2021,-0.439
8/27/2021,-0.419
8/26/2021,-0.417
8/25/2021,-0.417
8/24/2021,-0.477
8/23/2021,-0.478
8/20/2021,-0.495
8/19/2021,-0.489
8/18/2021,-0.482
8/17/2021,-0.467
8/16/2021,-0.466
8/13/2021,-0.463
8/12/2021,-0.461
8/11/2021,-0.46
8/10/2021,-0.454
8/9/2021,-0.459
8/6/2021,-0.455
8/5/2021,-0.493
8/4/2021,-0.493
8/3/2021,-0.481
8/2/2021,-0.481
7/30/2021,-0.458
7/29/2021,-0.451
7/28/2021,-0.447
7/27/2021,-0.441
7/26/2021,-0.414
7/23/2021,-0.413
7/22/2021,-0.421
7/21/2021,-0.396
7/20/2021,-0.41
7/19/2021,-0.387
7/16/2021,-0.351
7/15/2021,-0.331
7/14/2021,-0.312
7/13/2021,-0.299
7/12/2021,-0.301
7/9/2021,-0.292
7/8/2021,-0.313
7/7/2021,-0.289
7/6/2021,-0.269
7/5/2021,-0.208
7/4/2021,-0.2375
7/2/2021,-0.235
7/1/2021,-0.2
6/30/2021,-0.203
6/29/2021,-0.173
6/28/2021,-0.186
6/26/2021,-0.1565
6/25/2021,-0.156
6/24/2021,-0.186
6/23/2021,-0.179
6/22/2021,-0.161
6/21/2021,-0.173
6/20/2021,-0.202
6/19/2021,-0.202
6/18/2021,-0.203
6/17/2021,-0.19
