Date,Price
9-Jun-22,4.096
8-Jun-22,3.964
7-Jun-22,3.817
6-Jun-22,3.882
3-Jun-22,3.737
2-Jun-22,3.679
1-Jun-22,3.602
31-May-22,3.577
30-May-22,3.545
28-May-22,3.482
27-May-22,3.5
26-May-22,3.537
25-May-22,3.573
24-May-22,3.662
23-May-22,3.731
20-May-22,3.727
19-May-22,3.542
18-May-22,3.601
17-May-22,3.574
16-May-22,3.561
13-May-22,3.464
12-May-22,3.37
11-May-22,3.516
10-May-22,3.507
9-May-22,3.646
7-May-22,3.559
6-May-22,3.543
5-May-22,3.392
4-May-22,3.429
3-May-22,3.374
2-May-22,3.384
29-Apr-22,3.335
28-Apr-22,3.157
27-Apr-22,3.042
26-Apr-22,3.002
25-Apr-22,2.957
22-Apr-22,2.962
21-Apr-22,2.951
20-Apr-22,2.88
19-Apr-22,2.974
18-Apr-22,2.907
16-Apr-22,2.904
15-Apr-22,2.903
14-Apr-22,2.888
13-Apr-22,2.854
12-Apr-22,2.858
11-Apr-22,2.871
9-Apr-22,2.882
8-Apr-22,2.89
7-Apr-22,2.834
6-Apr-22,2.779
5-Apr-22,2.645
4-Apr-22,2.594
1-Apr-22,2.682
31-Mar-22,2.672
30-Mar-22,2.774
29-Mar-22,2.862
28-Mar-22,2.835
26-Mar-22,2.796
25-Mar-22,2.811
24-Mar-22,2.785
23-Mar-22,2.742
22-Mar-22,2.749
21-Mar-22,2.692
18-Mar-22,2.644
17-Mar-22,2.646
16-Mar-22,2.664
15-Mar-22,2.658
14-Mar-22,2.698
11-Mar-22,2.591
10-Mar-22,2.535
9-Mar-22,2.379
8-Mar-22,2.332
7-Mar-22,2.398
4-Mar-22,2.36
3-Mar-22,2.382
2-Mar-22,2.357
1-Mar-22,2.355
28-Feb-22,2.537
26-Feb-22,2.556
25-Feb-22,2.567
24-Feb-22,2.618
23-Feb-22,2.624
22-Feb-22,2.616
21-Feb-22,2.543
20-Feb-22,2.567
18-Feb-22,2.572
17-Feb-22,2.62
16-Feb-22,2.664
15-Feb-22,2.712
14-Feb-22,2.632
11-Feb-22,2.62
10-Feb-22,2.551
9-Feb-22,2.466
8-Feb-22,2.313
7-Feb-22,2.372
4-Feb-22,2.089
3-Feb-22,1.863
2-Feb-22,1.778
1-Feb-22,1.747
31-Jan-22,1.769
28-Jan-22,1.721
27-Jan-22,1.689
26-Jan-22,1.686
25-Jan-22,1.649
24-Jan-22,1.647
21-Jan-22,1.693
20-Jan-22,1.701
19-Jan-22,1.682
18-Jan-22,1.621
17-Jan-22,1.605
14-Jan-22,1.525
13-Jan-22,1.53
12-Jan-22,1.529
11-Jan-22,1.587
10-Jan-22,1.568
7-Jan-22,1.526
6-Jan-22,1.405
5-Jan-22,1.377
4-Jan-22,1.304
3-Jan-22,1.32
31-Dec-21,1.314
30-Dec-21,1.301
29-Dec-21,1.364
28-Dec-21,1.333
27-Dec-21,1.345
24-Dec-21,1.344
23-Dec-21,1.347
22-Dec-21,1.311
21-Dec-21,1.283
20-Dec-21,1.24
17-Dec-21,1.212
16-Dec-21,1.196
15-Dec-21,1.237
14-Dec-21,1.311
13-Dec-21,1.358
10-Dec-21,1.382
9-Dec-21,1.381
8-Dec-21,1.373
7-Dec-21,1.254
6-Dec-21,1.288
3-Dec-21,1.224
2-Dec-21,1.208
1-Dec-21,1.221
30-Nov-21,1.251
29-Nov-21,1.303
26-Nov-21,1.303
25-Nov-21,1.351
24-Nov-21,1.372
23-Nov-21,1.295
22-Nov-21,1.183
19-Nov-21,1.172
18-Nov-21,1.198
17-Nov-21,1.226
16-Nov-21,1.229
15-Nov-21,1.225
12-Nov-21,1.235
11-Nov-21,1.201
10-Nov-21,1.135
9-Nov-21,1.086
8-Nov-21,1.092
5-Nov-21,1.099
4-Nov-21,1.122
3-Nov-21,1.196
2-Nov-21,1.237
1-Nov-21,1.339
29-Oct-21,1.338
28-Oct-21,1.06
27-Oct-21,1.009
26-Oct-21,1.029
25-Oct-21,1.031
22-Oct-21,1.035
21-Oct-21,1.014
20-Oct-21,1.003
19-Oct-21,1.01
18-Oct-21,0.978
15-Oct-21,0.919
14-Oct-21,0.912
13-Oct-21,0.924
12-Oct-21,0.936
11-Oct-21,0.927
8-Oct-21,0.89
7-Oct-21,0.873
6-Oct-21,0.909
5-Oct-21,0.858
4-Oct-21,0.854
1-Oct-21,0.836
30-Sep-21,0.847
29-Sep-21,0.828
28-Sep-21,0.852
27-Sep-21,0.821
24-Sep-21,0.818
23-Sep-21,0.764
22-Sep-21,0.741
21-Sep-21,0.745
20-Sep-21,0.794
17-Sep-21,0.82
16-Sep-21,0.795
15-Sep-21,0.781
14-Sep-21,0.765
13-Sep-21,0.762
10-Sep-21,0.775
9-Sep-21,0.791
8-Sep-21,0.858
7-Sep-21,0.875
6-Sep-21,0.807
3-Sep-21,0.778
2-Sep-21,0.748
1-Sep-21,0.763
31-Aug-21,0.747
30-Aug-21,0.703
