Date,Price
7/22/2022,3.266
7/21/2022,3.631
7/20/2022,3.458
7/19/2022,3.462
7/18/2022,3.475
7/16/2022,3.497
7/15/2022,3.517
7/14/2022,3.534
7/13/2022,3.495
7/12/2022,3.497
7/11/2022,3.624
7/8/2022,3.65
7/7/2022,3.527
7/6/2022,3.24
7/5/2022,3.407
7/4/2022,3.539
7/1/2022,3.516
6/30/2022,3.62
6/29/2022,3.664
6/28/2022,3.881
6/27/2022,3.857
6/24/2022,3.794
6/23/2022,3.759
6/22/2022,3.868
6/21/2022,3.915
6/20/2022,3.985
6/17/2022,4.01
6/16/2022,4.301
6/15/2022,4.228
6/14/2022,4.659
6/13/2022,4.43
6/11/2022,4.376
6/10/2022,4.369
6/9/2022,4.096
6/8/2022,3.987
6/7/2022,3.824
6/6/2022,3.882
6/3/2022,3.737
6/2/2022,3.679
6/1/2022,3.602
5/31/2022,3.577
5/30/2022,3.545
5/28/2022,3.482
5/27/2022,3.5
5/26/2022,3.537
5/25/2022,3.573
5/24/2022,3.662
5/23/2022,3.731
5/20/2022,3.727
5/19/2022,3.542
5/18/2022,3.601
5/17/2022,3.574
5/16/2022,3.561
5/13/2022,3.464
5/12/2022,3.37
5/11/2022,3.516
5/10/2022,3.507
5/9/2022,3.646
5/7/2022,3.559
5/6/2022,3.543
5/5/2022,3.392
5/4/2022,3.429
5/3/2022,3.374
5/2/2022,3.384
4/29/2022,3.335
4/28/2022,3.157
4/27/2022,3.042
4/26/2022,3.002
4/25/2022,2.957
4/22/2022,2.962
4/21/2022,2.951
4/20/2022,2.88
4/19/2022,2.974
4/18/2022,2.907
4/16/2022,2.904
4/15/2022,2.903
4/14/2022,2.888
4/13/2022,2.854
4/12/2022,2.858
4/11/2022,2.871
4/9/2022,2.882
4/8/2022,2.89
4/7/2022,2.834
4/6/2022,2.779
4/5/2022,2.645
4/4/2022,2.594
4/1/2022,2.682
3/31/2022,2.672
3/30/2022,2.774
3/29/2022,2.862
3/28/2022,2.835
3/26/2022,2.796
3/25/2022,2.811
3/24/2022,2.785
3/23/2022,2.742
3/22/2022,2.749
3/21/2022,2.692
3/18/2022,2.644
3/17/2022,2.646
3/16/2022,2.664
3/15/2022,2.658
3/14/2022,2.698
3/11/2022,2.591
3/10/2022,2.535
3/9/2022,2.379
3/8/2022,2.332
3/7/2022,2.398
3/4/2022,2.36
3/3/2022,2.382
3/2/2022,2.357
3/1/2022,2.355
2/28/2022,2.537
2/26/2022,2.556
2/25/2022,2.567
2/24/2022,2.618
2/23/2022,2.624
2/22/2022,2.616
2/21/2022,2.543
2/20/2022,2.567
2/18/2022,2.572
2/17/2022,2.62
2/16/2022,2.664
2/15/2022,2.712
2/14/2022,2.632
2/11/2022,2.62
2/10/2022,2.551
2/9/2022,2.466
2/8/2022,2.313
2/7/2022,2.372
2/4/2022,2.089
2/3/2022,1.863
2/2/2022,1.778
2/1/2022,1.747
1/31/2022,1.769
1/28/2022,1.721
1/27/2022,1.689
1/26/2022,1.686
1/25/2022,1.649
1/24/2022,1.647
1/21/2022,1.693
1/20/2022,1.701
1/19/2022,1.682
1/18/2022,1.621
1/17/2022,1.605
1/14/2022,1.525
1/13/2022,1.53
1/12/2022,1.529
1/11/2022,1.587
1/10/2022,1.568
1/7/2022,1.526
1/6/2022,1.405
1/5/2022,1.377
1/4/2022,1.304
1/3/2022,1.32
12/31/2021,1.314
12/30/2021,1.301
12/29/2021,1.364
12/28/2021,1.333
12/27/2021,1.345
12/24/2021,1.344
12/23/2021,1.347
12/22/2021,1.311
12/21/2021,1.283
12/20/2021,1.24
12/17/2021,1.212
12/16/2021,1.196
12/15/2021,1.237
12/14/2021,1.311
12/13/2021,1.358
12/10/2021,1.382
12/9/2021,1.381
12/8/2021,1.373
12/7/2021,1.254
12/6/2021,1.288
12/3/2021,1.224
12/2/2021,1.208
12/1/2021,1.221
11/30/2021,1.251
11/29/2021,1.303
11/26/2021,1.303
11/25/2021,1.351
11/24/2021,1.372
11/23/2021,1.295
11/22/2021,1.183
11/19/2021,1.172
11/18/2021,1.198
11/17/2021,1.226
11/16/2021,1.229
11/15/2021,1.225
11/12/2021,1.235
11/11/2021,1.201
11/10/2021,1.135
11/9/2021,1.086
11/8/2021,1.092
11/5/2021,1.099
11/4/2021,1.122
11/3/2021,1.196
11/2/2021,1.237
11/1/2021,1.339
10/29/2021,1.338
10/28/2021,1.06
10/27/2021,1.009
10/26/2021,1.029
10/25/2021,1.031
10/22/2021,1.035
10/21/2021,1.014
10/20/2021,1.003
10/19/2021,1.01
10/18/2021,0.978
10/15/2021,0.919
10/14/2021,0.912
10/13/2021,0.924
10/12/2021,0.936
10/11/2021,0.927
10/8/2021,0.89
10/7/2021,0.873
10/6/2021,0.909
10/5/2021,0.858
10/4/2021,0.854
10/1/2021,0.836
9/30/2021,0.847
9/29/2021,0.828
9/28/2021,0.852
9/27/2021,0.821
9/24/2021,0.818
9/23/2021,0.764
9/22/2021,0.741
9/21/2021,0.745
9/20/2021,0.794
9/17/2021,0.82
9/16/2021,0.795
9/15/2021,0.781
9/14/2021,0.765
9/13/2021,0.762
9/10/2021,0.775
9/9/2021,0.791
9/8/2021,0.858
9/7/2021,0.875
9/6/2021,0.807
9/3/2021,0.778
9/2/2021,0.748
9/1/2021,0.763
8/31/2021,0.747
8/30/2021,0.703
8/27/2021,0.696
8/26/2021,0.695
8/25/2021,0.609
8/24/2021,0.573
8/23/2021,0.579
8/20/2021,0.559
8/19/2021,0.558
8/18/2021,0.548
8/17/2021,0.549
8/16/2021,0.555
8/13/2021,0.549
8/12/2021,0.546
8/11/2021,0.551
8/10/2021,0.539
8/9/2021,0.538
8/6/2021,0.549
8/5/2021,0.533
8/4/2021,0.55
8/3/2021,0.559
8/2/2021,0.574
7/30/2021,0.604
7/29/2021,0.606
7/28/2021,0.621
7/27/2021,0.623
7/26/2021,0.644
7/23/2021,0.658
7/22/2021,0.671
7/21/2021,0.682
7/20/2021,0.673
7/19/2021,0.676
7/16/2021,0.679
7/15/2021,0.69
7/14/2021,0.699
7/13/2021,0.723
7/12/2021,0.738
7/9/2021,0.753
7/8/2021,0.77
7/7/2021,0.731
7/6/2021,0.77
7/5/2021,0.808
7/2/2021,0.801
7/1/2021,0.833
6/30/2021,0.827
6/29/2021,0.84
6/28/2021,0.842
6/25/2021,0.841
6/24/2021,0.832
6/23/2021,0.83
6/22/2021,0.843
6/21/2021,0.82
6/18/2021,0.805
6/17/2021,0.796
6/16/2021,0.743
6/15/2021,0.746
6/14/2021,0.747
6/11/2021,0.74
6/10/2021,0.811
6/9/2021,0.819
6/8/2021,0.873
6/7/2021,0.829
6/4/2021,0.822
6/3/2021,0.805
6/2/2021,0.819
6/1/2021,0.833
5/31/2021,0.834
5/28/2021,0.845
5/27/2021,0.879
5/26/2021,0.863
5/25/2021,0.905
5/24/2021,0.977
5/21/2021,0.971
5/20/2021,1.036
5/19/2021,1.081
5/18/2021,1.077
5/17/2021,1.105
5/14/2021,1.065
5/13/2021,1.066
5/12/2021,1.023
5/11/2021,1.012
5/10/2021,0.996
5/7/2021,1.01
5/6/2021,0.971
5/5/2021,0.975
5/4/2021,1.005
5/3/2021,0.986
4/30/2021,0.989
4/29/2021,0.981
4/28/2021,0.951
4/27/2021,0.917
4/26/2021,0.902
4/23/2021,0.89
4/22/2021,0.896
4/21/2021,0.9
4/20/2021,0.924
4/19/2021,0.909
4/16/2021,0.903
4/15/2021,0.902
4/14/2021,0.911
