Date,Price
9-Jun-22,3.663
8-Jun-22,3.462
7-Jun-22,3.391
6-Jun-22,3.426
3-Jun-22,3.402
2-Jun-22,3.29
1-Jun-22,3.183
31-May-22,3.135
30-May-22,2.989
29-May-22,2.891
27-May-22,2.9
26-May-22,2.909
25-May-22,2.941
24-May-22,2.973
23-May-22,3.032
20-May-22,2.98
19-May-22,2.892
18-May-22,2.941
17-May-22,2.97
16-May-22,2.841
14-May-22,2.842
13-May-22,2.85
12-May-22,2.718
11-May-22,3.017
10-May-22,3.017
9-May-22,3.138
6-May-22,3.15
5-May-22,3.022
4-May-22,2.963
3-May-22,2.85
2-May-22,2.848
29-Apr-22,2.78
28-Apr-22,2.727
27-Apr-22,2.574
26-Apr-22,2.539
25-Apr-22,2.584
22-Apr-22,2.665
21-Apr-22,2.578
20-Apr-22,2.518
19-Apr-22,2.558
18-Apr-22,2.503
15-Apr-22,2.503
14-Apr-22,2.493
13-Apr-22,2.369
12-Apr-22,2.46
11-Apr-22,2.46
8-Apr-22,2.364
7-Apr-22,2.339
6-Apr-22,2.321
5-Apr-22,2.243
4-Apr-22,2.078
1-Apr-22,2.109
31-Mar-22,2.042
30-Mar-22,2.133
29-Mar-22,2.132
28-Mar-22,2.107
25-Mar-22,2.078
24-Mar-22,2.056
23-Mar-22,1.993
22-Mar-22,2.028
21-Mar-22,1.994
18-Mar-22,1.89
17-Mar-22,1.905
16-Mar-22,1.899
15-Mar-22,1.907
14-Mar-22,1.968
11-Mar-22,1.867
10-Mar-22,1.908
9-Mar-22,1.672
8-Mar-22,1.601
7-Mar-22,1.597
4-Mar-22,1.533
3-Mar-22,1.587
2-Mar-22,1.553
1-Mar-22,1.394
28-Feb-22,1.741
25-Feb-22,1.842
24-Feb-22,1.807
23-Feb-22,1.932
22-Feb-22,1.934
21-Feb-22,1.916
18-Feb-22,1.845
17-Feb-22,1.84
16-Feb-22,1.917
15-Feb-22,1.972
14-Feb-22,1.974
11-Feb-22,1.962
10-Feb-22,1.898
9-Feb-22,1.767
8-Feb-22,1.853
7-Feb-22,1.813
4-Feb-22,1.755
3-Feb-22,1.673
2-Feb-22,1.427
1-Feb-22,1.419
31-Jan-22,1.371
28-Jan-22,1.353
27-Jan-22,1.358
26-Jan-22,1.407
25-Jan-22,1.36
24-Jan-22,1.355
21-Jan-22,1.355
20-Jan-22,1.37
19-Jan-22,1.406
18-Jan-22,1.388
17-Jan-22,1.365
14-Jan-22,1.341
13-Jan-22,1.29
12-Jan-22,1.331
11-Jan-22,1.377
10-Jan-22,1.285
7-Jan-22,1.319
6-Jan-22,1.274
5-Jan-22,1.244
4-Jan-22,1.221
3-Jan-22,1.198
31-Dec-21,1.185
30-Dec-21,1.18
29-Dec-21,1.161
28-Dec-21,1.1
27-Dec-21,1.125
24-Dec-21,1.127
23-Dec-21,1.107
22-Dec-21,1.056
21-Dec-21,1.017
20-Dec-21,0.936
17-Dec-21,0.908
16-Dec-21,0.98
15-Dec-21,0.923
14-Dec-21,0.939
13-Dec-21,0.912
10-Dec-21,0.968
9-Dec-21,1.002
8-Dec-21,1.032
7-Dec-21,0.918
6-Dec-21,0.885
3-Dec-21,0.926
2-Dec-21,0.956
1-Dec-21,1.024
30-Nov-21,0.982
29-Nov-21,0.979
27-Nov-21,0.969
26-Nov-21,0.974
