Date,Price
7/22/2022,3.423
7/21/2022,3.648
7/20/2022,3.503
7/19/2022,3.443
7/18/2022,3.371
7/15/2022,3.364
7/14/2022,3.377
7/13/2022,3.226
7/12/2022,3.207
7/11/2022,3.305
7/8/2022,3.362
7/7/2022,3.36
7/6/2022,3.244
7/5/2022,3.277
7/4/2022,3.348
7/1/2022,3.205
6/30/2022,3.392
6/29/2022,3.493
6/28/2022,3.669
6/27/2022,3.63
6/25/2022,3.543
6/24/2022,3.485
6/23/2022,3.485
6/22/2022,3.637
6/21/2022,3.79
6/20/2022,3.772
6/17/2022,3.675
6/16/2022,3.859
6/15/2022,3.912
6/14/2022,4.219
6/13/2022,4.099
6/10/2022,3.845
6/9/2022,3.712
6/8/2022,3.462
6/7/2022,3.391
6/6/2022,3.426
6/3/2022,3.402
6/2/2022,3.29
6/1/2022,3.183
5/31/2022,3.135
5/30/2022,2.989
5/29/2022,2.891
5/27/2022,2.9
5/26/2022,2.909
5/25/2022,2.941
5/24/2022,2.973
5/23/2022,3.032
5/20/2022,2.98
5/19/2022,2.892
5/18/2022,2.941
5/17/2022,2.97
5/16/2022,2.841
5/14/2022,2.842
5/13/2022,2.85
5/12/2022,2.718
5/11/2022,3.017
5/10/2022,3.017
5/9/2022,3.138
5/6/2022,3.15
5/5/2022,3.022
5/4/2022,2.963
5/3/2022,2.85
5/2/2022,2.848
4/29/2022,2.78
4/28/2022,2.727
4/27/2022,2.574
4/26/2022,2.539
4/25/2022,2.584
4/22/2022,2.665
4/21/2022,2.578
4/20/2022,2.518
4/19/2022,2.558
4/18/2022,2.503
4/15/2022,2.503
4/14/2022,2.493
4/13/2022,2.369
4/12/2022,2.46
4/11/2022,2.46
4/8/2022,2.364
4/7/2022,2.339
4/6/2022,2.321
4/5/2022,2.243
4/4/2022,2.078
4/1/2022,2.109
3/31/2022,2.042
3/30/2022,2.133
3/29/2022,2.132
3/28/2022,2.107
3/25/2022,2.078
3/24/2022,2.056
3/23/2022,1.993
3/22/2022,2.028
3/21/2022,1.994
3/18/2022,1.89
3/17/2022,1.905
3/16/2022,1.899
3/15/2022,1.907
3/14/2022,1.968
3/11/2022,1.867
3/10/2022,1.908
3/9/2022,1.672
3/8/2022,1.601
3/7/2022,1.597
3/4/2022,1.533
3/3/2022,1.587
3/2/2022,1.553
3/1/2022,1.394
2/28/2022,1.741
2/25/2022,1.842
2/24/2022,1.807
2/23/2022,1.932
2/22/2022,1.934
2/21/2022,1.916
2/18/2022,1.845
2/17/2022,1.84
2/16/2022,1.917
2/15/2022,1.972
2/14/2022,1.974
2/11/2022,1.962
2/10/2022,1.898
2/9/2022,1.767
2/8/2022,1.853
2/7/2022,1.813
2/4/2022,1.755
2/3/2022,1.673
2/2/2022,1.427
2/1/2022,1.419
1/31/2022,1.371
1/28/2022,1.353
1/27/2022,1.358
1/26/2022,1.407
1/25/2022,1.36
1/24/2022,1.355
1/21/2022,1.355
1/20/2022,1.37
1/19/2022,1.406
1/18/2022,1.388
1/17/2022,1.365
1/14/2022,1.341
1/13/2022,1.29
1/12/2022,1.331
1/11/2022,1.377
1/10/2022,1.285
1/7/2022,1.319
1/6/2022,1.274
1/5/2022,1.244
1/4/2022,1.221
1/3/2022,1.198
12/31/2021,1.185
12/30/2021,1.18
12/29/2021,1.161
12/28/2021,1.1
12/27/2021,1.125
12/24/2021,1.127
12/23/2021,1.107
12/22/2021,1.056
12/21/2021,1.017
12/20/2021,0.936
12/17/2021,0.908
12/16/2021,0.98
12/15/2021,0.923
12/14/2021,0.939
12/13/2021,0.912
12/10/2021,0.968
12/9/2021,1.002
12/8/2021,1.032
12/7/2021,0.918
12/6/2021,0.885
12/3/2021,0.926
12/2/2021,0.956
12/1/2021,1.024
11/30/2021,0.982
11/29/2021,0.979
11/27/2021,0.969
11/26/2021,0.974
11/25/2021,1.062
11/24/2021,1.079
11/23/2021,1.065
11/22/2021,0.946
11/20/2021,0.862
11/19/2021,0.863
11/18/2021,0.919
11/17/2021,0.98
11/16/2021,0.972
11/15/2021,1.003
11/12/2021,0.959
11/11/2021,0.963
11/10/2021,0.938
11/9/2021,0.845
11/8/2021,0.893
11/5/2021,0.88
11/4/2021,0.939
11/3/2021,1.048
11/2/2021,1.088
11/1/2021,1.221
10/30/2021,1.125
10/29/2021,1.134
10/28/2021,1.002
10/27/2021,0.896
10/26/2021,0.942
10/25/2021,0.917
10/23/2021,0.955
10/22/2021,0.958
10/21/2021,0.951
10/20/2021,0.917
10/19/2021,0.948
10/18/2021,0.899
10/15/2021,0.871
10/14/2021,0.837
10/13/2021,0.902
10/12/2021,0.921
10/11/2021,0.914
10/8/2021,0.881
10/7/2021,0.851
10/6/2021,0.893
10/5/2021,0.862
10/4/2021,0.828
10/1/2021,0.82
9/30/2021,0.863
9/29/2021,0.829
9/28/2021,0.857
9/27/2021,0.798
9/25/2021,0.78
9/24/2021,0.782
9/23/2021,0.719
9/22/2021,0.663
9/21/2021,0.691
9/20/2021,0.719
9/19/2021,0.718
9/18/2021,0.723
9/17/2021,0.72
9/16/2021,0.695
9/15/2021,0.7
9/14/2021,0.649
9/13/2021,0.69
9/12/2021,0.703
9/11/2021,0.705
9/10/2021,0.707
9/9/2021,0.672
9/8/2021,0.758
9/7/2021,0.761
9/6/2021,0.69
9/3/2021,0.71
9/2/2021,0.671
9/1/2021,0.695
8/31/2021,0.712
8/30/2021,0.613
8/27/2021,0.639
8/26/2021,0.671
8/25/2021,0.667
8/24/2021,0.572
8/23/2021,0.582
8/20/2021,0.548
8/19/2021,0.568
8/18/2021,0.556
8/17/2021,0.579
8/16/2021,0.568
8/13/2021,0.552
8/12/2021,0.545
8/11/2021,0.571
8/10/2021,0.552
8/9/2021,0.561
8/6/2021,0.573
8/5/2021,0.535
8/4/2021,0.556
8/3/2021,0.57
8/2/2021,0.579
7/30/2021,0.627
7/29/2021,0.624
7/28/2021,0.62
7/27/2021,0.626
7/26/2021,0.633
7/23/2021,0.629
7/22/2021,0.647
7/21/2021,0.689
7/20/2021,0.689
7/19/2021,0.709
7/16/2021,0.714
7/15/2021,0.728
7/14/2021,0.718
7/13/2021,0.722
7/12/2021,0.741
7/9/2021,0.767
7/8/2021,0.763
7/7/2021,0.741
7/6/2021,0.75
7/5/2021,0.807
7/4/2021,0.771
7/2/2021,0.775
7/1/2021,0.807
6/30/2021,0.824
6/29/2021,0.881
6/28/2021,0.878
6/26/2021,0.923
6/25/2021,0.923
6/24/2021,0.872
6/23/2021,0.898
6/22/2021,0.902
6/21/2021,0.879
6/20/2021,0.871
6/19/2021,0.871
6/18/2021,0.874
6/17/2021,0.822
6/16/2021,0.778
6/15/2021,0.792
6/14/2021,0.778
6/11/2021,0.748
6/10/2021,0.804
6/9/2021,0.83
6/8/2021,0.865
6/7/2021,0.921
6/5/2021,0.877
6/4/2021,0.879
6/3/2021,0.9
6/2/2021,0.878
6/1/2021,0.905
5/31/2021,0.916
5/28/2021,0.915
5/27/2021,0.936
5/26/2021,0.922
5/25/2021,0.965
5/24/2021,1.02
5/21/2021,1.034
5/20/2021,1.055
5/19/2021,1.117
5/18/2021,1.107
5/17/2021,1.11
5/14/2021,1.073
5/13/2021,1.018
5/12/2021,0.984
5/11/2021,0.947
5/10/2021,0.89
5/7/2021,0.918
