Date,LR_Unemployment_Rate,LR_FFR,LR_RGDP,R*_Estimate(FRB/US),Actual_RFFR
12/1/2015,5.1,3.3,1.9,1.24,-1.16
1/1/2015,5.20,3.8,2,-0.56,-1.28
1/1/2014,5.20,4,2.3,-0.67,-0.99
1/1/2013,5.20,4,2.3,-1.83,-1.33
1/1/2012,5.25,,2,-3.2,-1.6
1/1/2011,6.00,4,2.5,-1.5,-0.7
1/1/2010,5.25,3.75,2.5,-1.5,-1.3
1/1/2009,4.75,,2.5,-6.8,-1.7
1/1/2008,4.75,4,2.25,0.9,1.4
1/1/2007,5.00,4,2.75,2.6,3
1/1/2006,5.00,4.75,2.25,3.5,2.51
1/1/2005,5.00,4,3.25,2.1,1.95
1/1/2004,,,,,
1/1/2003,,,,,
1/1/2002,,,,,
1/1/2001,,,,,
1/1/2000,,,,,
,,,,,
,,,,,
