Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"ZQN22 (Jul '22)",98.3075,0,98.3075,98.31,98.305,98.3075,4977,380874,"06:38 CT"
"ZQQ22 (Aug '22)",97.555,-0.029999999999987,97.59,97.595,97.545,97.585,17463,305535,"06:38 CT"
"ZQU22 (Sep '22)",97.355,-0.019999999999996,97.385,97.39,97.345,97.375,4053,125903,"06:38 CT"
"ZQV22 (Oct '22)",96.875,-0.0049999999999955,96.9,96.91,96.875,96.88,9403,199606,"06:38 CT"
"ZQX22 (Nov '22)",96.575,0.010000000000005,96.59,96.61,96.575,96.565,4144,199387,"06:38 CT"
"ZQZ22 (Dec '22)",96.485,0.010000000000005,96.505,96.525,96.485,96.475,633,72908,"06:14 CT"
"ZQF23 (Jan '23)",96.44,0.019999999999996,96.435,96.47,96.43,96.42,3848,184575,"06:38 CT"
"ZQG23 (Feb '23)",96.43,0.030000000000001,96.435,96.465,96.415,96.4,1659,93546,"06:38 CT"
"ZQH23 (Mar '23)",96.44,0.034999999999997,96.45,96.455,96.43,96.405,537,23908,"06:38 CT"
"ZQJ23 (Apr '23)",96.465,0.040000000000006,96.44,96.5,96.44,96.425,2209,33185,"06:38 CT"
"ZQK23 (May '23)",96.545,0.040000000000006,96.55,96.575,96.53,96.505,1007,26116,"06:29 CT"
"ZQM23 (Jun '23)",96.615,0.054999999999993,96.615,96.65,96.595,96.56,338,9693,"06:26 CT"
"ZQN23 (Jul '23)",96.67,0.034999999999997,96.69,96.71,96.67,96.635,640,13080,"06:10 CT"
"ZQQ23 (Aug '23)",96.745,0.025000000000006,96.785,96.8,96.745,96.72,526,10069,"06:11 CT"
"ZQU23 (Sep '23)",96.755,-0.055,96.655,96.775,96.64,96.81,147,2656,2022-07-14
"ZQV23 (Oct '23)",96.87,0.050000000000011,96.88,96.905,96.85,96.82,66,2129,"06:26 CT"
"ZQX23 (Nov '23)",96.935,0.030000000000001,96.935,96.935,96.935,96.905,14,2102,"06:11 CT"
"ZQZ23 (Dec '23)",96.955,-0.05,96.935,96.955,96.85,97.005,22,715,2022-07-14
"ZQF24 (Jan '24)",96.995,-0.045,96.98,97.03,96.89,97.04,307,1101,2022-07-14
"ZQG24 (Feb '24)",97.07,-0.045,97.05,97.07,96.965,97.115,126,518,2022-07-14
"ZQH24 (Mar '24)",97.11,-0.045,0,97.11,97.11,97.155,0,8,2022-07-14
"ZQJ24 (Apr '24)",97.12,-0.045,0,97.12,97.12,97.165,0,21,2022-07-14
"ZQK24 (May '24)",97.145,-0.045,0,97.145,97.145,97.19,0,1,2022-07-14
"ZQM24 (Jun '24)",97.165,-0.044999999999987,97.165,97.165,97.165,97.21,N/A,N/A,2022-07-14
