Date,Investment_Grade,High_Yield
2020-01-31,142.3,36.6
2020-02-29,102.6,29.8
2020-03-31,250.5,3.5
2020-04-30,292.6,36.4
2020-05-31,262,37.7
2020-06-30,180.6,58.3
2020-07-31,71.1,25.2
2020-08-31,148.6,53.7
2020-09-30,170.7,45.8
2020-10-31,93.1,32.8
2020-11-30,98.8,34
2020-12-31,37,29.8
2021-01-31,129.4,53
2021-02-28,121.6,39.9
2021-03-31,202.8,62.7
2021-04-30,124.1,50.5
2021-05-31,122.7,54.1
2021-06-30,138.4,39.5
2021-07-31,79.4,27
2021-08-31,85.4,37.2
2021-09-30,164.4,46.5
2021-10-31,126.2,29.2
2021-11-30,114.1,33.9
2021-12-31,64.4,11.7
2022-01-31,133.9,29.5
2022-02-28,85,9.6
