Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"ZQN22 (Jul '22)",98.325,0,98.3275,98.33,98.325,98.325,25798,350522,2022-07-05
"ZQQ22 (Aug '22)",97.73,0,97.735,97.735,97.73,97.73,378,280774,"17:19 CT"
"ZQU22 (Sep '22)",97.58,0,97.585,97.585,97.58,97.58,137,136913,"17:15 CT"
"ZQV22 (Oct '22)",97.22,0,97.225,97.225,97.22,97.22,168,185294,"17:15 CT"
"ZQX22 (Nov '22)",96.895,-0.02000000000001,96.895,96.895,96.895,96.915,117,181398,"17:02 CT"
"ZQZ22 (Dec '22)",96.79,-0.024999999999991,96.79,96.79,96.79,96.815,1,77955,"17:02 CT"
"ZQF23 (Jan '23)",96.72,-0.030000000000001,96.73,96.73,96.71,96.75,103,179878,"17:02 CT"
"ZQG23 (Feb '23)",96.665,-0.049999999999997,96.675,96.69,96.665,96.715,59,84447,"17:02 CT"
"ZQH23 (Mar '23)",96.715,0.085,96.64,96.74,96.525,96.63,5516,25910,2022-07-05
"ZQJ23 (Apr '23)",96.68,-0.044999999999987,96.685,96.685,96.68,96.725,62,32110,"17:02 CT"
"ZQK23 (May '23)",96.75,-0.040000000000006,96.77,96.77,96.75,96.79,42,25832,"17:02 CT"
"ZQM23 (Jun '23)",96.865,0.085,96.81,96.895,96.665,96.78,3592,8144,2022-07-05
"ZQN23 (Jul '23)",96.905,-0.034999999999997,96.905,96.905,96.905,96.94,25,12472,"17:02 CT"
"ZQQ23 (Aug '23)",97.035,0.085,96.93,97.07,96.845,96.95,2870,7538,2022-07-05
"ZQU23 (Sep '23)",97.075,0.085,96.99,97.075,96.945,96.99,243,2533,2022-07-05
"ZQV23 (Oct '23)",97.15,0.085,97.01,97.17,97.01,97.065,214,2195,2022-07-05
"ZQX23 (Nov '23)",97.255,0.085,97.155,97.265,97.155,97.17,98,2027,2022-07-05
"ZQZ23 (Dec '23)",97.3,0.085,97.195,97.305,97.195,97.215,202,774,2022-07-05
"ZQF24 (Jan '24)",97.335,0.085,97.24,97.355,97.24,97.25,10,713,2022-07-05
"ZQG24 (Feb '24)",97.41,0.085,0,97.41,97.41,97.325,5,302,2022-07-05
"ZQH24 (Mar '24)",97.46,0.085,0,97.46,97.46,97.375,0,8,2022-07-05
"ZQJ24 (Apr '24)",97.475,0.07,97.465,97.475,97.465,97.405,1,21,2022-07-05
"ZQK24 (May '24)",97.5,0.040000000000006,0,97.5,97.5,97.46,N/A,1,2022-07-05
