LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
IRL,LTINT,TOT,PC_PA,M,2000-01,5.8,
IRL,LTINT,TOT,PC_PA,M,2000-02,5.76,
IRL,LTINT,TOT,PC_PA,M,2000-03,5.58,
IRL,LTINT,TOT,PC_PA,M,2000-04,5.46,
IRL,LTINT,TOT,PC_PA,M,2000-05,5.61,
IRL,LTINT,TOT,PC_PA,M,2000-06,5.43,
IRL,LTINT,TOT,PC_PA,M,2000-07,5.52,
IRL,LTINT,TOT,PC_PA,M,2000-08,5.47,
IRL,LTINT,TOT,PC_PA,M,2000-09,5.52,
IRL,LTINT,TOT,PC_PA,M,2000-10,5.46,
IRL,LTINT,TOT,PC_PA,M,2000-11,5.4,
IRL,LTINT,TOT,PC_PA,M,2000-12,5.14,
IRL,LTINT,TOT,PC_PA,M,2001-01,5.03,
IRL,LTINT,TOT,PC_PA,M,2001-02,5.01,
IRL,LTINT,TOT,PC_PA,M,2001-03,4.92,
IRL,LTINT,TOT,PC_PA,M,2001-04,5.09,
IRL,LTINT,TOT,PC_PA,M,2001-05,5.28,
IRL,LTINT,TOT,PC_PA,M,2001-06,5.23,
IRL,LTINT,TOT,PC_PA,M,2001-07,5.23,
IRL,LTINT,TOT,PC_PA,M,2001-08,5.01,
IRL,LTINT,TOT,PC_PA,M,2001-09,5.01,
IRL,LTINT,TOT,PC_PA,M,2001-10,4.77,
IRL,LTINT,TOT,PC_PA,M,2001-11,4.63,
IRL,LTINT,TOT,PC_PA,M,2001-12,4.93,
IRL,LTINT,TOT,PC_PA,M,2002-01,5.02,
IRL,LTINT,TOT,PC_PA,M,2002-02,5.2,
IRL,LTINT,TOT,PC_PA,M,2002-03,5.42,
IRL,LTINT,TOT,PC_PA,M,2002-04,5.41,
IRL,LTINT,TOT,PC_PA,M,2002-05,5.41,
IRL,LTINT,TOT,PC_PA,M,2002-06,5.25,
IRL,LTINT,TOT,PC_PA,M,2002-07,5.11,
IRL,LTINT,TOT,PC_PA,M,2002-08,4.84,
IRL,LTINT,TOT,PC_PA,M,2002-09,4.63,
IRL,LTINT,TOT,PC_PA,M,2002-10,4.7,
IRL,LTINT,TOT,PC_PA,M,2002-11,4.67,
IRL,LTINT,TOT,PC_PA,M,2002-12,4.46,
IRL,LTINT,TOT,PC_PA,M,2003-01,4.27,
IRL,LTINT,TOT,PC_PA,M,2003-02,4.06,
IRL,LTINT,TOT,PC_PA,M,2003-03,4.09,
IRL,LTINT,TOT,PC_PA,M,2003-04,4.22,
IRL,LTINT,TOT,PC_PA,M,2003-05,3.89,
IRL,LTINT,TOT,PC_PA,M,2003-06,3.69,
IRL,LTINT,TOT,PC_PA,M,2003-07,4.01,
IRL,LTINT,TOT,PC_PA,M,2003-08,4.17,
IRL,LTINT,TOT,PC_PA,M,2003-09,4.19,
IRL,LTINT,TOT,PC_PA,M,2003-10,4.25,
IRL,LTINT,TOT,PC_PA,M,2003-11,4.39,
IRL,LTINT,TOT,PC_PA,M,2003-12,4.36,
IRL,LTINT,TOT,PC_PA,M,2004-01,4.2,
IRL,LTINT,TOT,PC_PA,M,2004-02,4.15,
IRL,LTINT,TOT,PC_PA,M,2004-03,3.97,
IRL,LTINT,TOT,PC_PA,M,2004-04,4.17,
IRL,LTINT,TOT,PC_PA,M,2004-05,4.31,
IRL,LTINT,TOT,PC_PA,M,2004-06,4.38,
IRL,LTINT,TOT,PC_PA,M,2004-07,4.27,
IRL,LTINT,TOT,PC_PA,M,2004-08,4.09,
IRL,LTINT,TOT,PC_PA,M,2004-09,4.04,
IRL,LTINT,TOT,PC_PA,M,2004-10,3.92,
IRL,LTINT,TOT,PC_PA,M,2004-11,3.8,
IRL,LTINT,TOT,PC_PA,M,2004-12,3.62,
IRL,LTINT,TOT,PC_PA,M,2005-01,3.52,
IRL,LTINT,TOT,PC_PA,M,2005-02,3.51,
IRL,LTINT,TOT,PC_PA,M,2005-03,3.66,
IRL,LTINT,TOT,PC_PA,M,2005-04,3.46,
IRL,LTINT,TOT,PC_PA,M,2005-05,3.28,
IRL,LTINT,TOT,PC_PA,M,2005-06,3.13,
IRL,LTINT,TOT,PC_PA,M,2005-07,3.18,
IRL,LTINT,TOT,PC_PA,M,2005-08,3.22,
IRL,LTINT,TOT,PC_PA,M,2005-09,3.04,
IRL,LTINT,TOT,PC_PA,M,2005-10,3.19,
IRL,LTINT,TOT,PC_PA,M,2005-11,3.4,
IRL,LTINT,TOT,PC_PA,M,2005-12,3.36,
IRL,LTINT,TOT,PC_PA,M,2006-01,3.32,
IRL,LTINT,TOT,PC_PA,M,2006-02,3.47,
IRL,LTINT,TOT,PC_PA,M,2006-03,3.65,
IRL,LTINT,TOT,PC_PA,M,2006-04,3.9,
IRL,LTINT,TOT,PC_PA,M,2006-05,3.96,
IRL,LTINT,TOT,PC_PA,M,2006-06,3.98,
IRL,LTINT,TOT,PC_PA,M,2006-07,4,
IRL,LTINT,TOT,PC_PA,M,2006-08,3.88,
IRL,LTINT,TOT,PC_PA,M,2006-09,3.76,
IRL,LTINT,TOT,PC_PA,M,2006-10,3.78,
IRL,LTINT,TOT,PC_PA,M,2006-11,3.72,
IRL,LTINT,TOT,PC_PA,M,2006-12,3.76,
IRL,LTINT,TOT,PC_PA,M,2007-01,4.04,
IRL,LTINT,TOT,PC_PA,M,2007-02,4.07,
IRL,LTINT,TOT,PC_PA,M,2007-03,3.97,
IRL,LTINT,TOT,PC_PA,M,2007-04,4.19,
IRL,LTINT,TOT,PC_PA,M,2007-05,4.32,
IRL,LTINT,TOT,PC_PA,M,2007-06,4.62,
IRL,LTINT,TOT,PC_PA,M,2007-07,4.59,
IRL,LTINT,TOT,PC_PA,M,2007-08,4.4,
IRL,LTINT,TOT,PC_PA,M,2007-09,4.32,
IRL,LTINT,TOT,PC_PA,M,2007-10,4.39,
IRL,LTINT,TOT,PC_PA,M,2007-11,4.31,
IRL,LTINT,TOT,PC_PA,M,2007-12,4.45,
IRL,LTINT,TOT,PC_PA,M,2008-01,4.25,
IRL,LTINT,TOT,PC_PA,M,2008-02,4.21,
IRL,LTINT,TOT,PC_PA,M,2008-03,4.17,
IRL,LTINT,TOT,PC_PA,M,2008-04,4.44,
IRL,LTINT,TOT,PC_PA,M,2008-05,4.58,
IRL,LTINT,TOT,PC_PA,M,2008-06,4.91,
IRL,LTINT,TOT,PC_PA,M,2008-07,4.92,
IRL,LTINT,TOT,PC_PA,M,2008-08,4.59,
IRL,LTINT,TOT,PC_PA,M,2008-09,4.56,
IRL,LTINT,TOT,PC_PA,M,2008-10,4.55,
IRL,LTINT,TOT,PC_PA,M,2008-11,4.56,
IRL,LTINT,TOT,PC_PA,M,2008-12,4.57,
IRL,LTINT,TOT,PC_PA,M,2009-01,5.2,
IRL,LTINT,TOT,PC_PA,M,2009-02,5.65,
IRL,LTINT,TOT,PC_PA,M,2009-03,5.76,
IRL,LTINT,TOT,PC_PA,M,2009-04,5.34,
IRL,LTINT,TOT,PC_PA,M,2009-05,5.27,
IRL,LTINT,TOT,PC_PA,M,2009-06,5.73,
IRL,LTINT,TOT,PC_PA,M,2009-07,5.45,
IRL,LTINT,TOT,PC_PA,M,2009-08,4.92,
IRL,LTINT,TOT,PC_PA,M,2009-09,4.91,
IRL,LTINT,TOT,PC_PA,M,2009-10,4.77,
IRL,LTINT,TOT,PC_PA,M,2009-11,4.82,
IRL,LTINT,TOT,PC_PA,M,2009-12,4.88,
IRL,LTINT,TOT,PC_PA,M,2010-01,4.83,
IRL,LTINT,TOT,PC_PA,M,2010-02,4.73,
IRL,LTINT,TOT,PC_PA,M,2010-03,4.53,
IRL,LTINT,TOT,PC_PA,M,2010-04,4.76,
IRL,LTINT,TOT,PC_PA,M,2010-05,4.86,
IRL,LTINT,TOT,PC_PA,M,2010-06,5.31,
IRL,LTINT,TOT,PC_PA,M,2010-07,5.32,
IRL,LTINT,TOT,PC_PA,M,2010-08,5.3,
IRL,LTINT,TOT,PC_PA,M,2010-09,6.14,
IRL,LTINT,TOT,PC_PA,M,2010-10,6.42,
IRL,LTINT,TOT,PC_PA,M,2010-11,8.22,
IRL,LTINT,TOT,PC_PA,M,2010-12,8.45,
IRL,LTINT,TOT,PC_PA,M,2011-01,8.75,
IRL,LTINT,TOT,PC_PA,M,2011-02,9.1,
IRL,LTINT,TOT,PC_PA,M,2011-03,9.67,
IRL,LTINT,TOT,PC_PA,M,2011-04,9.79,
IRL,LTINT,TOT,PC_PA,M,2011-05,10.64,
IRL,LTINT,TOT,PC_PA,M,2011-06,11.43,
IRL,LTINT,TOT,PC_PA,M,2011-07,12.45,
IRL,LTINT,TOT,PC_PA,M,2011-08,9.57,
IRL,LTINT,TOT,PC_PA,M,2011-09,8.51,
IRL,LTINT,TOT,PC_PA,M,2011-10,8.1,
IRL,LTINT,TOT,PC_PA,M,2011-11,8.51,
IRL,LTINT,TOT,PC_PA,M,2011-12,8.7,
IRL,LTINT,TOT,PC_PA,M,2012-01,7.71,
IRL,LTINT,TOT,PC_PA,M,2012-02,7.02,
IRL,LTINT,TOT,PC_PA,M,2012-03,6.9,
