TIME,European Union - 27 countries (from 2020),Euro area - 19 countries  (from 2015),Euro area - 18 countries (2014),Euro area - 17 countries (2011-2013),Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden
1995,:,71.4,71.5,71.5,131.3,:,13.6,:,54.9,8,78.6,99,61.5,56.1,22.4,119.4,49,13.9,11.5,9.8,84.1,34.2,73.1,68.3,47.5,62.2,6.6,18.2,21.6,55.2,68.7
1996,:,73.5,73.5,73.6,129,:,11.6,:,57.8,7.5,69.9,101.3,65.4,60,25.3,119.1,50.3,13.3,13.9,9.6,71.4,38.5,71.4,68.3,42.3,63.3,10.6,21.6,30.6,55.3,69.1
1997,:,73,73,73.1,124.3,96.2,12.2,:,58.9,6.9,61.6,99.5,64.2,61.4,24.8,116.8,54.1,10.7,15.4,9.4,62.3,46.4,65.8,63.5,42.2,58.7,15.1,22.1,33,52.2,66.6
1998,:,72.6,72.7,72.7,119.2,67.5,14,:,59.5,5.9,51.5,97.4,62.3,61.3,22.8,114.1,55.7,9,16.5,9.1,60.5,50.7,62.7,63.9,38.4,55.6,16.8,22.7,33.9,46.8,65.8
1999,:,71.6,71.6,71.7,115.4,75.3,15.2,:,60.4,6.4,46.6,98.9,60.8,60.5,29.1,113.3,55.8,12.1,22.7,8,60.4,61.7,58.6,66.7,38.9,55.4,21.7,23.7,47.1,44.1,60.5
2000,66.3,69.1,69.2,69.3,109.6,70.7,17,52.4,59.3,5.1,36.4,104.9,57.8,58.9,35.7,109,55.7,12.1,23.5,7.5,55.7,60.7,52.1,66.1,36.4,54.2,22.5,25.9,50.5,42.5,50.3
2001,65.5,68.1,68.2,68.2,108.2,64.5,22.7,48.5,58.2,4.8,33.6,107.1,54,58.3,36.9,108.9,57.3,13.8,22.9,7.7,52.3,64.9,49.5,66.7,37.3,57.4,25.9,26.1,51.1,40.9,51.9
2002,65.4,68,68.1,68.2,105.4,51,25.8,49.1,59.9,5.7,30.9,104.9,51.2,60.3,36.8,106.4,60.5,13,22.2,7.4,55.6,63.1,48.8,66.7,41.7,60,24.8,27.4,45.3,40.2,49.8
2003,66.6,69.4,69.5,69.5,101.7,43.4,28.2,46.2,63.5,5.6,29.8,101.5,47.7,64.4,38.2,105.5,63.8,14.1,20.4,7.5,58.1,68.6,50,65.9,46.6,63.9,22.1,26.8,43.2,42.7,49.3
2004,66.9,69.7,69.8,69.9,97.2,35.7,28.4,44.2,65.2,5.1,28.1,102.9,45.4,65.9,40.3,105.1,64.8,14.6,18.7,7.9,58.9,71.3,50.3,65.2,45.1,67.1,18.9,26.9,41.7,42.6,48.5
2005,67.1,70.4,70.5,70.6,95.1,26.6,27.7,37.4,67.5,4.7,26.1,107.4,42.4,67.4,41.3,106.6,63.4,11.9,17.6,8,60.6,69.9,49.8,68.6,46.6,72.2,15.9,26.4,34.7,39.9,48.7
2006,65,68.4,68.5,68.6,91.5,20.9,27.6,31.5,66.9,4.6,23.6,103.6,39.1,64.6,38.8,106.7,59.3,10,17.3,8.3,64.5,64.3,45.2,67.3,47.3,73.7,12.4,26.1,31.4,38.1,43.6
2007,62.2,66,66.1,66.3,87.3,16.3,27.3,27.3,64.2,3.8,23.9,103.1,35.8,64.5,37.5,103.9,54,8.5,15.9,8.2,65.7,61.9,43,65,44.5,72.7,11.9,22.8,30.3,33.9,38.9
2010,80.5,85.8,86,86,100.3,15.4,37.1,42.6,82.5,6.6,86,147.5,60.5,85.3,57.7,119.2,56.4,47.9,36.2,20.2,80.2,65.3,59.3,82.7,53.5,100.2,29.6,38.3,41,46.9,38.1
2011,81.9,87.7,87.9,88,103.5,15.2,39.7,46.1,79.9,6.1,111,175.2,69.9,87.8,64.3,119.7,65.9,43.7,37.1,19,80.4,69.3,61.7,82.4,54.7,114.4,34,46.5,43.4,48.3,37.2
2012,84.8,90.7,90.9,91,104.8,16.7,44.2,44.9,81.2,9.8,119.9,161.9,86.3,90.6,70.1,126.5,80.3,42.2,39.7,22,78.4,65.9,66.3,81.9,54.4,129,37.1,53.6,51.8,53.6,37.5
2013,86.4,92.6,92.8,92.9,105.5,17.1,44.4,44,78.8,10.2,119.9,178.4,95.8,93.4,81.2,132.5,104,40,38.7,23.7,77.4,65.8,67.7,81.3,56.5,131.4,37.6,70,54.7,56.2,40.2
2014,86.6,92.8,93,93.1,107,27.1,41.9,44.3,75.7,10.6,104.2,180.2,100.7,94.9,84.8,135.4,109.1,41.6,40.5,22.7,76.7,61.6,67.9,84,51.1,132.9,39.2,80.3,53.6,59.8,45
2015,84.8,90.9,91.1,91.2,105.2,26,39.7,39.8,72.3,10,76.7,177,99.3,95.6,84.3,135.3,107.2,37.1,42.5,22,75.8,55.9,64.7,84.9,51.3,131.2,37.8,82.6,51.9,63.6,43.7
2016,84,90.1,90.3,90.4,105,29.3,36.6,37.2,69.3,9.9,74.1,180.8,99.2,98,80.8,134.8,103.1,40.4,39.7,20.1,74.9,54.2,61.9,82.8,54.2,131.5,37.3,78.5,52.4,63.2,42.3
