Date,"Median PCE Inflation, year-over-year percent change"
1/1/1977,NaN
2/1/1977,NaN
3/1/1977,NaN
4/1/1977,NaN
5/1/1977,NaN
6/1/1977,NaN
7/1/1977,NaN
8/1/1977,NaN
9/1/1977,NaN
10/1/1977,NaN
11/1/1977,NaN
12/1/1977,NaN
1/1/1978,6.395126896
2/1/1978,6.181705051
3/1/1978,6.120600404
4/1/1978,6.236819868
5/1/1978,6.4431
6/1/1978,6.376656302
7/1/1978,6.448683917
8/1/1978,6.400362831
9/1/1978,6.640698271
10/1/1978,6.896580825
11/1/1978,6.931652741
12/1/1978,6.98947466
1/1/1979,7.206193386
2/1/1979,7.402314871
3/1/1979,7.472067285
4/1/1979,7.407588517
5/1/1979,7.534023307
6/1/1979,7.687986234
7/1/1979,7.780685722
8/1/1979,8.036398648
9/1/1979,8.127000801
10/1/1979,8.28440143
11/1/1979,8.326230557
12/1/1979,8.513416395
1/1/1980,8.722557671
2/1/1980,8.883831271
3/1/1980,9.099436883
4/1/1980,9.202326404
5/1/1980,9.185634071
6/1/1980,9.33274644
7/1/1980,9.245242282
8/1/1980,9.200718222
9/1/1980,9.289550096
10/1/1980,9.177531604
11/1/1980,9.218830674
12/1/1980,9.240537161
1/1/1981,9.099793872
2/1/1981,9.098059679
3/1/1981,8.97788825
4/1/1981,9.025341058
5/1/1981,8.762792781
6/1/1981,8.499017101
7/1/1981,8.604755283
8/1/1981,8.498376224
9/1/1981,8.300385033
10/1/1981,8.068690854
11/1/1981,7.84330113
12/1/1981,7.599433797
1/1/1982,7.314920047
2/1/1982,6.864251438
3/1/1982,6.594057708
4/1/1982,6.205216011
5/1/1982,6.160627025
6/1/1982,6.153857255
7/1/1982,6.116812548
8/1/1982,5.901162247
9/1/1982,5.655099772
10/1/1982,5.588572462
11/1/1982,5.315281215
12/1/1982,5.15375331
1/1/1983,5.164592614
2/1/1983,5.133427304
3/1/1983,4.895933122
4/1/1983,5.097411759
5/1/1983,4.815363037
6/1/1983,4.600192353
7/1/1983,4.310151911
8/1/1983,4.196354841
9/1/1983,4.183043162
10/1/1983,3.943310669
11/1/1983,4.105715091
12/1/1983,3.978317564
1/1/1984,3.930727743
2/1/1984,4.014621972
3/1/1984,4.212095488
4/1/1984,4.184087772
5/1/1984,4.171194017
6/1/1984,4.221713927
7/1/1984,4.269749857
8/1/1984,4.329895843
9/1/1984,4.351298736
10/1/1984,4.431017222
11/1/1984,4.273992429
