date,Over-the-counter equity securities
1997-01-01,3063.699
1997-02-01,2995.121
1997-03-01,3106.199
1997-04-01,3138.379
1997-05-01,3032.553
1997-06-01,3330.213
1997-07-01,2916.261
1997-08-01,2762.314
1997-09-01,2882.425
1997-10-01,2724.114
1997-11-01,2830.75
1997-12-01,2922.056
1998-01-01,2490.284
1998-02-01,2374.311
1998-03-01,2353.042
1998-04-01,2223.756
1998-05-01,2190.387
1998-06-01,1621.907
1998-07-01,1852.562
1998-08-01,1977.406
1998-09-01,1469.605
1998-10-01,1978.808
1998-11-01,1659.083
1998-12-01,1574.112
1999-01-01,1658.575
1999-02-01,1265.59
1999-03-01,1335.604
1999-04-01,1645.519
1999-05-01,1387.418
1999-06-01,1065.211
1999-07-01,1099.66
1999-08-01,1061.255
1999-09-01,1040.634
1999-10-01,1049.521
1999-11-01,1249.682
1999-12-01,1260.516
2000-01-01,1311.3
2000-02-01,1776.17
2000-03-01,1846.044
2000-04-01,1257.468
2000-05-01,964.413
2000-06-01,917.223
2000-07-01,946.037
2000-08-01,891.193
2000-09-01,879.207
2000-10-01,758.379
2000-11-01,736.95
2000-12-01,715.642
2001-01-01,687.675
2001-02-01,707.167
2001-03-01,592.03
2001-04-01,360.545
2001-05-01,236.933
2001-06-01,248.071
2001-07-01,249.04
2001-08-01,365.267
2001-09-01,359.213
2001-10-01,353.16
2001-11-01,328.946
2001-12-01,315.023
2002-01-01,314.054
2002-02-01,301.1
2002-03-01,289.961
2002-04-01,282.576
2002-05-01,246.255
2002-06-01,236.086
2002-07-01,242.502
2002-08-01,224.947
2002-09-01,209.087
2002-10-01,206.302
2002-11-01,194.195
2002-12-01,196.98
2003-01-01,184.026
2003-02-01,158.964
2003-03-01,157.996
2003-04-01,159.812
2003-05-01,170.103
2003-06-01,177.488
2003-07-01,191.411
2003-08-01,208.118
2003-09-01,177.488
2003-10-01,177.488
2003-11-01,187.779
2003-12-01,165.381
2004-01-01,162.596
2004-02-01,184.026
2004-03-01,169.376
2004-04-01,165.744
2004-05-01,174.824
2004-06-01,169.982
2004-07-01,151.7
2004-08-01,167.56
2004-09-01,145.526
2004-10-01,157.754
2004-11-01,165.139
2004-12-01,136.324
2005-01-01,137.535
2005-02-01,149.158
2005-03-01,121.07
2005-04-01,129.665
2005-05-01,136.324
2005-06-01,121.07
2005-07-01,145.526
2005-08-01,153.516
2005-09-01,133.298
2005-10-01,122.28
2005-11-01,135.719
2005-12-01,122.28
