YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,AVG
1977,,,,,,,,,,,,100,
1978,100.3,100.7,101.3,102,102.7,103.4,103.8,104.3,105.1,105.8,106.5,106.9,103.6
1979,107.2,107.8,108.5,109.2,110.1,110.6,111.1,111.8,112.6,113.5,114.2,114.8,111
1980,115.6,116.6,117.6,118.4,119.4,120.3,120.9,121.9,123.5,124.6,125.5,126.2,120.9
1981,126.9,127.7,128.5,129.6,130.6,131.4,132.4,133.7,135.1,136.1,137,137.6,132.2
1982,138.2,138.8,139.6,140.3,141.2,141.9,142.8,143.4,144.4,145.4,146.1,146.5,142.4
1983,147.2,147.7,148.1,148.9,149.3,149.7,150.4,151.1,152.2,153,153.7,153.9,150.4
1984,154.5,154.9,155.6,156.4,156.9,157.3,158,158.7,159.8,160.4,160.8,161,157.9
1985,161.4,162.2,162.9,163.4,163.9,164.2,164.6,165.3,166.2,167.1,167.9,168,164.8
1986,168.6,168.9,169.5,170.2,170.5,170.8,171.3,171.9,173,173.8,174.2,174.3,171.4
1987,174.7,175.2,176.1,177.1,177.4,177.4,177.8,178.8,179.9,180.8,181.2,181.1,178.1
1988,181.6,182.1,183.2,184,184.3,184.6,185,185.7,187,188,188.5,188.6,185.2
1989,189.1,189.7,190.8,191.2,191.7,191.9,192.6,193,194.1,195.3,195.9,196,192.6
1990,196.7,197.8,199.3,199.7,200,200.6,201.5,202.7,203.8,204.7,205,205.2,201.4
1991,206.5,207.8,208.6,208.7,208.9,209,209.6,210.5,211.5,212.2,212.8,212.8,209.9
1992,213.4,214.4,215.4,215.8,215.8,215.7,216.2,216.8,217.4,218.5,219,218.8,216.4
1993,219.5,220.7,221.5,222,222.1,222.1,222.4,223.1,223.4,224.2,224.7,224.6,222.5
1994,225,225.8,226.8,227.1,227.2,227.4,227.7,228.2,228.6,229.4,229.6,229.3,227.7
1995,230.2,231.2,232.3,232.8,232.9,233,233.3,233.9,234.7,235.6,235.8,235.4,233.4
1996,236.2,237.3,238.3,238.5,238.6,238.6,239,239.4,240.2,241,241.3,241.1,239.1
1997,241.6,242.6,243.6,244.2,244.2,244.1,244.4,244.5,245.2,246.2,246.2,246,244.4
1998,246.8,248,248.7,249.3,249.3,249.1,249.4,250,250.6,251.3,251.5,251.5,249.6
1999,252.1,252.7,253.5,254.4,254.1,254,254.5,254.8,255.7,256.6,256.8,256.5,254.6
2000,257.3,258.3,259.8,260.3,260.4,260.5,260.9,261.6,262.3,263.1,263.4,263.1,260.9
2001,264.1,265.5,266.7,267.2,267.1,267.6,267.9,268.6,269.3,270,270.7,270.3,267.9
2002,270.9,272.3,273.2,273.9,273.8,273.7,273.9,274.9,275.4,276.1,276.1,275.5,274.1
2003,276.1,277.2,277.9,277.9,278,277.8,278.1,278.5,278.7,279.6,279.2,278.6,278.1
2004,279.3,280.6,282.3,282.9,282.9,283,283,283.3,284.2,285.3,285.2,284.7,283.1
2005,285.6,287.2,288.9,289.2,289,288.8,289,289.4,289.8,291.2,291.2,290.9,289.2
2006,291.7,293.2,294.9,295.8,296.1,296.5,296.8,297.6,298.3,299.2,298.8,298.5,296.5
2007,299.5,301,302.2,302.8,302.8,303,303.4,303.9,304.7,305.6,305.8,305.7,303.4
2008,306.9,307.9,309.3,309.6,309.8,310.3,311,311.6,312.2,312.4,312,311.1,310.3
2009,312,313.4,314.8,315.5,315.5,315.7,315.8,316.2,316.9,317.8,317.3,316.8,315.6
2010,316.9,317.6,318.3,318.4,318.4,318.6,318.6,319,319.5,319.7,319.7,319.4,318.7
2011,319.9,321.1,322.1,322.7,323.3,323.8,324.2,325.3,325.9,326.5,326.7,326.5,324
2012,327.3,328.2,329.4,330.3,330.7,331.1,331.2,331.6,332.5,333.2,333.2,332.9,331
2013,333.8,335,335.9,336.1,336.5,336.7,337,337.7,338.4,339,339.1,338.8,337
2014,339.4,340.5,341.7,342.5,343.3,343.5,343.5,343.7,344.5,345.4,345.2,344.5,343.1
2015,345.3,346.5,347.9,349,349.5,349.8,350,350.3,351.3,352.2,352.4,352,349.7
2016,353.1,354.7,355.7,356.6,357.4,357.8,357.7,358.5,359.2,359.9,359.9,359.8,357.5
2017,361.1,362.7,362.9,363.4,363.7,363.9,363.8,364.6,365.3,366.3,366.1,366.2,364.2
2018,367.7,369.4,370.6,371.2,371.8,372.2,372.4,372.6,373.2,374.1,374.2,374.2,372
2019,375.7,377.1,378.1,378.8,379.2,380,380.6,381.5,382,382.8,382.9,382.6,380.1
2020,384.2,386,386,384.3,383.9,384.6,386.6,388.1,388.5,388.9,389.1,388.8,386.6
