date,nsa_mfg_ship_c,nsa_mfg_new_orders_c,nsa_mfg_bk_logs_c,nsa_mfg_cap_util_c,nsa_mfg_vend_lead_c,nsa_mfg_emp_c,nsa_mfg_workwk_c,nsa_mfg_wage_c,nsa_mfg_fd_gds_inv_c,nsa_mfg_raw_mats_inv_c,nsa_mfg_pct_chg_prcs_recd_c,nsa_mfg_pct_chg_prcs_pd_c,sa_mfg_composite,sa_mfg_ship_c,sa_mfg_new_orders_c,sa_mfg_bk_logs_c,sa_mfg_cap_util_c,sa_mfg_vend_lead_c,sa_mfg_emp_c,sa_mfg_workwk_c,sa_mfg_wage_c,sa_mfg_fd_gds_inv_c,sa_mfg_raw_mats_inv_c,sa_mfg_pct_chg_prcs_recd_c,sa_mfg_pct_chg_prcs_pd_c,nsa_mfg_ship_e,nsa_mfg_new_orders_e,nsa_mfg_bk_logs_e,nsa_mfg_cap_util_e,nsa_mfg_vend_lead_e,nsa_mfg_emp_e,nsa_mfg_workwk_e,nsa_mfg_wage_e,nsa_mfg_capital_expnd_e,nsa_mfg_pct_chg_prcs_recd_e,nsa_mfg_pct_chg_prcs_pd_e,sa_mfg_ship_e,sa_mfg_new_orders_e,sa_mfg_bk_logs_e,sa_mfg_cap_util_e,sa_mfg_vend_lead_e,sa_mfg_emp_e,sa_mfg_workwk_e,sa_mfg_wage_e,sa_mfg_capital_expnd_e,sa_mfg_pct_chg_prcs_recd_e,sa_mfg_pct_chg_prcs_pd_e,sa_mfg_local_bus_cond_c,sa_mfg_nec_skls_avail_e,sa_mfg_local_bus_cond_e,sa_mfg_nec_skls_avail_c,sa_mfg_equip_sftw_expnd_e,sa_mfg_bus_svcs_expnd_e,sa_mfg_equip_sftw_expnd_c,sa_mfg_capital_expnd_c,sa_mfg_bus_svcs_expnd_c,sa_mfg_fd_gds_inv_e,sa_mfg_raw_mats_inv_e,nsa_mfg_nec_skls_avail_e,nsa_mfg_equip_sftw_expnd_e,nsa_mfg_bus_svcs_expnd_e,nsa_mfg_local_bus_cond_c,nsa_mfg_nec_skls_avail_c,nsa_mfg_equip_sftw_expnd_c,nsa_mfg_local_bus_cond_e,nsa_mfg_capital_expnd_c,nsa_mfg_bus_svcs_expnd_c,nsa_mfg_fd_gds_inv_e,nsa_mfg_raw_mats_inv_e
11/1/1993,4,9,-4,,,3,-3,,,,,,7,7,10,-4,,,4,0,,,,,,33,,,,,5,6,,,,,33,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/1993,13,9,-3,,,-1,3,,,,,,12,20,14,-1,,,1,9,,,,,,54,,,,,8,18,,,,,52,,,,,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1994,13,19,9,,,-3,10,,,,,,16,20,23,9,,,1,13,,,,,,49,,,,,3,19,,,,,47,,,,,-2,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/1994,2,9,3,,,-9,-1,,,,,,5,7,11,3,,,-5,2,,,,,,42,,,,,1,12,,,,,38,,,,,-6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/1994,37,30,19,,,2,9,,,,,,19,26,25,17,,,3,8,,,,,,38,,,,,5,10,,,,,36,,,,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/1994,24,26,6,,,4,10,,,,,,16,22,20,2,,,3,8,,,,,,35,,,,,-1,8,,,,,30,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/1994,21,21,8,,,9,12,,,,,,18,21,23,8,,,8,10,,,,,,39,,,,,4,11,,,,,35,,,,,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/1994,33,29,17,,,2,19,,,,,,20,25,32,25,,,-4,22,,,,,,19,,,,,-7,5,,,,,22,,,,,-4,9,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/1994,7,24,14,,,9,15,,,,,,18,17,27,13,,,7,17,,,,,,30,,,,,-6,-1,,,,,34,,,,,-5,3,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/1994,36,30,11,,,7,22,,,,,,22,28,28,13,,,5,18,,,,,,16,,,,,-3,-1,,,,,22,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/1994,26,31,10,,,12,22,,,,,,21,20,28,9,,,11,17,,,,,,33,,,,,10,2,,,,,40,,,,,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/1994,26,31,10,,,12,22,,,,,,23,24,29,7,,,12,18,,,,,,33,,,,,10,2,,,,,35,,,,,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/1994,11,14,4,,,7,4,,,,,,11,10,15,4,,,7,6,,,,,,33,,,,,14,7,,,,,32,,,,,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/1994,10,15,5,,,8,3,,,,,,17,19,19,6,,,10,9,,,,,,38,,,,,18,5,,,,,37,,,,,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,
