DATE,Services_Produced,Manufacturing_Produced,Services_Consumed,Manufacturing_Consumed
1/1/1947,25.2,43.5,24.6,35.1
4/1/1947,25.4,44.1,24.8,35.7
7/1/1947,25.7,44.6,24.9,35.8
10/1/1947,24.9,43.2,24.5,36.4
1/1/1948,24.6,42.2,24.6,36.8
4/1/1948,24.5,41.3,24.7,37.3
7/1/1948,24.3,40.8,24.7,37
10/1/1948,24.6,40.5,24.8,37.1
1/1/1949,25.3,41.4,25.3,36.6
4/1/1949,25.9,42.3,25.9,37.5
7/1/1949,25.7,41.4,25.7,37.4
10/1/1949,26.1,41.6,26.3,39.2
1/1/1950,25.6,40.3,25.8,38.7
4/1/1950,25.5,39.5,25.7,38.1
7/1/1950,24.7,40.1,24.9,40.3
10/1/1950,24.2,37.6,24.6,37.4
1/1/1951,24.2,38.2,24.4,37.8
4/1/1951,24,36.2,24.2,34.8
7/1/1951,23.8,36.3,24.2,33.9
10/1/1951,23.9,36.7,24.3,33.9
1/1/1952,24,36.2,24.6,33.6
4/1/1952,24.6,36.1,25,34.5
7/1/1952,24.5,35.3,25.3,34.3
10/1/1952,24,35.5,25.2,34.9
1/1/1953,24.2,35.3,25,34.7
4/1/1953,24.3,34.8,25.5,34.4
7/1/1953,24.8,34.8,26,34
10/1/1953,25.1,35.1,26.5,34.1
1/1/1954,25.7,35.2,26.7,34.4
4/1/1954,26.1,35.6,27.3,34.4
7/1/1954,26.3,35.3,27.3,33.9
10/1/1954,26.1,35.5,27.3,33.7
1/1/1955,25.8,35.3,26.8,33.9
4/1/1955,25.3,35.4,26.7,34.2
7/1/1955,25.3,35.5,26.5,33.9
10/1/1955,25.6,34.9,26.6,33.9
1/1/1956,25.9,34.8,26.9,33.6
4/1/1956,25.8,35,27,32.8
7/1/1956,25.9,34.9,27.3,32.5
10/1/1956,26.3,35,26.9,32.4
1/1/1957,25.8,35.2,27,32
4/1/1957,26,35.1,27.2,32.1
7/1/1957,26.1,34.9,27.1,32.3
10/1/1957,27,34.7,27.6,32.9
1/1/1958,27.2,34.9,28.6,33.3
4/1/1958,27.5,34.7,28.9,33.1
7/1/1958,27.4,34.2,28.4,32.6
10/1/1958,26.8,33.5,28,32.5
1/1/1959,27.2,33.5,27.6,33.1
4/1/1959,27.1,33,27.5,33
7/1/1959,27.8,33.5,27.8,32.9
10/1/1959,28.1,33.1,28.3,32.5
1/1/1960,27.7,33,28.1,31.6
4/1/1960,28.2,33.9,28.6,32.1
7/1/1960,28.1,33.5,28.5,31.5
10/1/1960,28.8,34.1,29.2,31.5
1/1/1961,29,33.5,29.4,30.9
4/1/1961,28.9,33,29.3,31
7/1/1961,28.6,32.5,28.8,30.7
10/1/1961,28.6,32.4,28.8,30.6
1/1/1962,28.4,32,28.6,30.4
4/1/1962,28.7,32.2,28.9,30.4
7/1/1962,28.6,32,28.8,30.2
