Entity,Code,Year,Number of people employed in services (Herrendorf et al. data),Number of people employed in industry  (Herrendorf et al. data),Number of people employed in agriculture  (Herrendorf et al. data)
Belgium,BEL,1846,178000,414000,681000
Belgium,BEL,1856,211000,525000,712000
Belgium,BEL,1866,242000,627000,705000
Belgium,BEL,1880,384000,701000,674000
Belgium,BEL,1890,526000,827000,640000
Belgium,BEL,1900,607000,1046000,616000
Belgium,BEL,1910,622000,1184000,585000
Belgium,BEL,1920,605000,1173000,525000
Belgium,BEL,1930,823000,1426000,505000
Belgium,BEL,1947,893000,1347000,364000
Belgium,BEL,1961,972000,1316000,213000
Belgium,BEL,1970,2018394.876,1493903.32,197477.8225
Belgium,BEL,1971,2060225.873,1492296.724,184101.572
Belgium,BEL,1972,2095485.288,1470163.404,172728.0139
Belgium,BEL,1973,2133861.039,1471072.89,165111.1874
Belgium,BEL,1974,2181319.428,1473849.089,160353.8201
Belgium,BEL,1975,2209577.294,1418280.507,155935.2554
Belgium,BEL,1976,2244537.298,1372726.628,147979.635
Belgium,BEL,1977,2281863.341,1331691.968,141885.2497
Belgium,BEL,1978,2333681.472,1288703.447,138862.5693
Belgium,BEL,1979,2390219.796,1259537.994,138367.4551
Belgium,BEL,1980,2423309.236,1224876.319,132237.6211
Belgium,BEL,1981,2433417.054,1155856.946,129056.875
Belgium,BEL,1982,2441924.147,1100688.103,127686.875
Belgium,BEL,1983,2436561.528,1059261.097,127287.875
Belgium,BEL,1984,2456067.868,1038256.382,127051
Belgium,BEL,1985,2490729.578,1022604.297,126152.375
Belgium,BEL,1986,2530800.168,1008453.207,124604.5
Belgium,BEL,1987,2579206.075,989850.4249,122167.625
Belgium,BEL,1988,2653365.451,989735.0486,120207.875
Belgium,BEL,1989,2697631.227,1005249.523,119377
Belgium,BEL,1990,2734407.998,1011963.002,118489.75
Belgium,BEL,1991,2756438.075,1004797.925,117296.25
Belgium,BEL,1992,2773621.274,986736.2257,114539.125
Belgium,BEL,1993,2788374.231,952280.8939,112992.625
Belgium,BEL,1994,2801515.802,928597.948,110751.125
Belgium,BEL,1995,2840925,918136.375,108951.875
Belgium,BEL,1996,2871121.5,905219.75,104785.5
Belgium,BEL,1997,2903721.375,893630.625,102043.75
Belgium,BEL,1998,2964989.5,894696.625,100278.125
Belgium,BEL,1999,3024268.125,888789.625,98864.75
Belgium,BEL,2000,3096733.375,899754.625,94837.625
Belgium,BEL,2001,3149220.875,908691.75,91850.875
Belgium,BEL,2002,3175551.375,879646.625,89107.25
Belgium,BEL,2003,3199953.375,859808.5,86255.25
Belgium,BEL,2004,3242231.375,846886.625,85034.75
Belgium,BEL,2005,3300567.026,843837.642,84544.75
Belgium,BEL,2006,3356015.302,846903.1429,84147.625
Belgium,BEL,2007,3430756.197,850901.912,82858.625
Finland,FIN,1805,122000,31000,702000
Finland,FIN,1880,96000,48000,358000
Finland,FIN,1900,107000,95000,429000
Finland,FIN,1910,109000,175000,897000
Finland,FIN,1920,164000,192000,1032000
Finland,FIN,1930,228000,252000,1107000
Finland,FIN,1940,338000,375000,1158000
Finland,FIN,1950,494000,550000,912000
Finland,FIN,1960,666000,640000,721000
Finland,FIN,1970,1052300,736600,471500
Finland,FIN,1971,1063300,736100,444900
Finland,FIN,1972,1092300,763600,419200
Finland,FIN,1973,1123700,805300,394300
Finland,FIN,1974,1150000,806500,369900
Finland,FIN,1975,1174000,800800,348300
Finland,FIN,1976,1195500,769300,336900
Finland,FIN,1977,1200300,743200,316500
Finland,FIN,1978,1213800,721200,304000
Finland,FIN,1979,1242200,739600,306100
Finland,FIN,1980,1276800,769000,308600
Finland,FIN,1981,1312500,765900,305800
Finland,FIN,1982,1340400,760000,310500
Finland,FIN,1983,1364000,755300,300500
Finland,FIN,1984,1387700,749000,298000
Finland,FIN,1985,1416000,740500,281900
Finland,FIN,1986,1436000,726900,267800
Finland,FIN,1987,1471100,718400,254800
Finland,FIN,1988,1507000,718400,243700
Finland,FIN,1989,1541900,726700,223700
Finland,FIN,1990,1546900,720500,213200
Finland,FIN,1991,1489200,649200,202500
Finland,FIN,1992,1408700,579000,188000
Finland,FIN,1993,1341000,529900,174800
Finland,FIN,1994,1327900,519100,170600
Finland,FIN,1995,1353700,537900,161400
Finland,FIN,1996,1383100,545400,152700
Finland,FIN,1997,1427700,572200,149900
Finland,FIN,1998,1463300,590200,138800
Finland,FIN,1999,1501600,605600,139800
Finland,FIN,2000,1539700,620100,136800
Finland,FIN,2001,1578000.01,621000,131400
Finland,FIN,2002,1612999.95,613000,126600
Finland,FIN,2003,1628200.01,602600.02,124300
Finland,FIN,2004,1648399.971,594599.993,121800
Finland,FIN,2005,1672578.828,602897.4457,121300
Finland,FIN,2006,1703616.462,613797.7669,121700
Finland,FIN,2007,1742379.607,628596.4935,122000
France,FRA,1856,3025000,3793000,7305000
France,FRA,1866,3370000,3861000,7536000
France,FRA,1886,4567000,4295000,7846000
France,FRA,1896,5036000,5394000,8501000
France,FRA,1901,5812000,5847000,8245000
France,FRA,1906,5821000,6053000,8855000
France,FRA,1911,5429000,6931000,8572000
France,FRA,1921,6323000,6371000,9023000
France,FRA,1926,6176000,7021000,8200000
France,FRA,1931,6715000,7195000,7704000
France,FRA,1936,6877000,6182000,7204000
France,FRA,1946,7124000,6186000,7484000
France,FRA,1954,7550000,7003000,5195000
France,FRA,1962,8160000,7426000,3907000
France,FRA,1968,8782000,8087000,3133000
France,FRA,1970,10533637.97,7494729.733,2842823.419
France,FRA,1971,10743241.8,7525567.567,2699836.65
France,FRA,1972,10988698.06,7573049.921,2553243.488
France,FRA,1973,11297179.97,7695992.292,2425554.341
France,FRA,1974,11590422.24,7734684.564,2319525.058
France,FRA,1975,11743202.46,7497638.58,2227155.572
France,FRA,1976,12121229.14,7444960.211,2143763.904
France,FRA,1977,12464425.9,7405835.67,2063989.497
France,FRA,1978,12745006.72,7285673.431,2002053.295
France,FRA,1979,13001861.4,7193017.918,1950420.626
France,FRA,1980,13173372.93,7138653.356,1890627.592
France,FRA,1981,13376062.63,6919852.866,1822389.621
France,FRA,1982,13588512.33,6798498.694,1757923.365
France,FRA,1983,13769271.89,6608331.966,1698831.12
France,FRA,1984,14038654.86,6344934.838,1642774.112
France,FRA,1985,14111551.47,6159997.686,1585639.773
France,FRA,1986,14332437.18,6072384.254,1534551.128
France,FRA,1987,14665982.81,5963969.1,1476537.629
France,FRA,1988,14959214.53,5927442.113,1420838.517
France,FRA,1989,15340701.7,5978264.131,1363824.989
France,FRA,1990,15575800,5987200,1300400
France,FRA,1991,15752600,5892800,1242200
France,FRA,1992,15879000,5684700,1190400
France,FRA,1993,15940400,5386700,1134000
France,FRA,1994,16181200,5229500,1084300
France,FRA,1995,16411900,5230900,1051100
France,FRA,1996,16599700,5153200,1026600
France,FRA,1997,16799900,5068300,1011300
France,FRA,1998,17175500,5052900,998800
France,FRA,1999,17652600,5062200,981500
France,FRA,2000,18214200,5157300,961100
France,FRA,2001,18591300,5228000,945300
France,FRA,2002,18813500,5177300,928300
France,FRA,2003,18934000,5103600,912200
France,FRA,2004,19048700,5022400,905600
France,FRA,2005,19204600.38,5011346.622,895918.1748
France,FRA,2006,19455915.15,5018736.256,875656.2107
France,FRA,2007,19785540.03,5051018.547,851903.7098
Japan,JPN,1872,1746000,833000,14495000
Japan,JPN,1880,2175000,1290000,16076000
Japan,JPN,1890,3045000,2340000,17198000
Japan,JPN,1900,4010000,3427000,17331000
Japan,JPN,1910,5061000,4619000,16489000
Japan,JPN,1920,6445000,5668000,14441000
Japan,JPN,1930,8056000,6117000,14489000
Japan,JPN,1940,9027000,8563000,15417000
Japan,JPN,1950,10382000,8100000,17158000
Japan,JPN,1953,14196613.58,9453817.654,17081689.87
Japan,JPN,1954,14903398.21,9742288.935,16569955.6
Japan,JPN,1955,15764527.38,9899853.259,16928169.58
Japan,JPN,1956,16491093.63,10569274.17,16560275.46
Japan,JPN,1957,17246142.33,11543690.58,16309301.1
Japan,JPN,1958,17986076.11,12197838.52,15737805.29
Japan,JPN,1959,18604803.06,12686762.87,15167317.41
Japan,JPN,1960,19335568.49,13486464.12,15057453.14
Japan,JPN,1961,20060201.03,14337073.54,14645210.13
Japan,JPN,1962,20912496.09,15128892.61,14220871.97
Japan,JPN,1963,22072563.64,15571945.86,13442750.68
Japan,JPN,1964,23112852.37,16147960.17,12898468.96
Japan,JPN,1965,24087359.07,16597646.18,12433813.63
Japan,JPN,1966,25200130.98,17006263.52,12127403.18
Japan,JPN,1967,25967374.47,17857048.98,11889531.91
Japan,JPN,1968,26590224.71,18065219.39,11609327.61
Japan,JPN,1969,27302276.76,18465623.41,11335170.89
Japan,JPN,1970,27912011.75,18698328.11,10821127.04
Japan,JPN,1971,28851196.31,19017920.03,10036958.19
Japan,JPN,1972,29379725.04,19184251.97,9553152.208
Japan,JPN,1973,30367436.94,20068159.58,9104623.749
Japan,JPN,1974,30846130.71,19850682.72,8878847.626
Japan,JPN,1975,31604650,19169640.36,8686333.164
