Series Id,Year,Period,Value
ECU10001A,1995,Q01,3.0
ECU10001A,1995,Q02,2.8
ECU10001A,1995,Q03,2.8
ECU10001A,1995,Q04,2.8
ECU10001A,1996,Q01,2.7
ECU10001A,1996,Q02,2.9
ECU10001A,1996,Q03,2.8
ECU10001A,1996,Q04,2.8
ECU10001A,1997,Q01,2.9
ECU10001A,1997,Q02,2.8
ECU10001A,1997,Q03,2.9
ECU10001A,1997,Q04,3.3
ECU10001A,1998,Q01,3.1
ECU10001A,1998,Q02,3.4
ECU10001A,1998,Q03,3.6
ECU10001A,1998,Q04,3.5
ECU10001A,1999,Q01,3.0
ECU10001A,1999,Q02,3.3
ECU10001A,1999,Q03,3.1
ECU10001A,1999,Q04,3.4
ECU10001A,2000,Q01,4.4
ECU10001A,2000,Q02,4.3
ECU10001A,2000,Q03,4.4
ECU10001A,2000,Q04,4.2
ECU10001A,2001,Q01,4.1
ECU10001A,2001,Q02,3.9
ECU10001A,2001,Q03,4.0
ECU10001A,2001,Q04,4.1
ECU10001A,2002,Q01,3.9
ECU10001A,2002,Q02,4.0
ECU10001A,2002,Q03,3.7
ECU10001A,2002,Q04,3.4
ECU10001A,2003,Q01,3.9
ECU10001A,2003,Q02,3.7
ECU10001A,2003,Q03,3.9
ECU10001A,2003,Q04,3.9
ECU10001A,2004,Q01,3.7
ECU10001A,2004,Q02,3.9
ECU10001A,2004,Q03,3.8
ECU10001A,2004,Q04,3.6
ECU10001A,2005,Q01,3.5
ECU10001A,2005,Q02,3.1
ECU10001A,2005,Q03,3.1
ECU10001A,2005,Q04,3.2
