Time,Time Code,Country Name,Country Code,"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]"
1990,YR1990,"Hong Kong SAR, China",HKG,1.32,10.42654028
1990,YR1990,Ecuador,ECU,5.88,48.519113
1990,YR1990,Saudi Arabia,SAU,..,2.077151335
2000,YR2000,"Hong Kong SAR, China",HKG,4.92,-3.685503686
2000,YR2000,Ecuador,ECU,4.8,96.09411369
2000,YR2000,Saudi Arabia,SAU,4.57,-1.124994779
2011,YR2011,"Hong Kong SAR, China",HKG,3.42,5.276561068
2011,YR2011,Ecuador,ECU,3.46,4.474532658
2011,YR2011,Saudi Arabia,SAU,5.77,5.826216088
2012,YR2012,"Hong Kong SAR, China",HKG,3.29,4.063860668
2012,YR2012,Ecuador,ECU,3.23,5.10172181
2012,YR2012,Saudi Arabia,SAU,5.52,2.866268875
2013,YR2013,"Hong Kong SAR, China",HKG,3.4,4.323570432
2013,YR2013,Ecuador,ECU,3.08,2.721775777
2013,YR2013,Saudi Arabia,SAU,5.57,3.532524707
2014,YR2014,"Hong Kong SAR, China",HKG,3.3,4.438502674
2014,YR2014,Ecuador,ECU,3.48,3.589220166
2014,YR2014,Saudi Arabia,SAU,5.72,2.236290315
2015,YR2015,"Hong Kong SAR, China",HKG,3.31,2.995391705
2015,YR2015,Ecuador,ECU,3.62,3.966646233
2015,YR2015,Saudi Arabia,SAU,5.59,1.206073222
2016,YR2016,"Hong Kong SAR, China",HKG,3.39,2.411135968
2016,YR2016,Ecuador,ECU,4.6,1.728264633
2016,YR2016,Saudi Arabia,SAU,5.65,2.068840361
2017,YR2017,"Hong Kong SAR, China",HKG,3.13,1.480582524
2017,YR2017,Ecuador,ECU,3.84,0.417335589
2017,YR2017,Saudi Arabia,SAU,5.89,-0.83819458
2018,YR2018,"Hong Kong SAR, China",HKG,2.82,2.407717452
2018,YR2018,Ecuador,ECU,3.53,-0.224103246
2018,YR2018,Saudi Arabia,SAU,6.04,2.45814158
2019,YR2019,"Hong Kong SAR, China",HKG,2.93,2.864927988
2019,YR2019,Ecuador,ECU,3.81,0.266012515
2019,YR2019,Saudi Arabia,SAU,..,-2.093333333
2020,YR2020,"Hong Kong SAR, China",HKG,5.83,0.32543707
2020,YR2020,Ecuador,ECU,6.11,-0.338872393
2020,YR2020,Saudi Arabia,SAU,7.400000095,3.44545826
