state,year,quarter,pi_nt,pi_t,pi
Alabama,1989,1,3.6052203,4.3374257,3.9843526
Alabama,1989,2,3.7851779,5.1334991,4.4278388
Alabama,1989,3,4.1183839,4.1258802,4.1730733
Alabama,1989,4,3.4187784,3.4409168,3.4858823
Alabama,1990,1,2.8216636,5.0823197,3.8655407
Alabama,1990,2,2.7925549,3.0077703,2.9516561
Alabama,1990,3,3.2238741,3.3665402,3.3405547
Alabama,1990,4,4.2083921,4.0257545,4.1626353
Alabama,1991,1,4.7186561,2.2257249,3.6543293
Alabama,1991,2,6.6559582,2.497757,4.8622913
Alabama,1991,3,6.606585,1.2644441,4.3069077
Alabama,1991,4,4.4304872,-0.79863715,2.1900873
Alabama,1992,1,3.0916026,-0.97257996,1.3863784
Alabama,1992,2,1.7929357,-1.1144958,0.61580706
Alabama,1992,3,1.1991853,-0.084398724,0.72052526
Alabama,1992,4,2.7564244,1.3641986,2.1940422
Alabama,1993,1,2.6690326,1.2520193,2.1009483
Alabama,1993,2,3.1011796,1.8092805,2.5967183
Alabama,1993,3,3.5706129,1.2636627,2.6251307
Alabama,1993,4,3.4262524,1.1588107,2.4957716
Alabama,1994,1,3.2264838,0.928325,2.2712169
Alabama,1994,2,3.4856052,1.0536708,2.4940391
Alabama,1994,3,2.2551274,1.5205363,1.970714
Alabama,1994,4,1.2365112,0.85797906,1.1024915
Alabama,1995,1,2.0163941,1.034106,1.6395566
Alabama,1995,2,1.6857886,0.86549038,1.3698256
Alabama,1995,3,3.7030127,0.34651026,2.3185992
Alabama,1995,4,5.5993547,0.63906676,3.5072784
Alabama,1996,1,5.3845572,1.7301451,3.8638196
Alabama,1996,2,4.5450702,2.1910365,3.5747046
Alabama,1996,3,3.7927437,1.9311852,3.0192449
Alabama,1996,4,2.5232854,2.6167305,2.5848145
Alabama,1997,1,2.2957282,1.8255234,2.1274326
Alabama,1997,2,2.2166746,0.7641713,1.6752034
Alabama,1997,3,1.7972211,0.78804988,1.4805816
Alabama,1997,4,1.7231697,-0.086378366,1.0719895
Alabama,1998,1,1.8346833,-0.4413746,0.98991185
Alabama,1998,2,1.7122203,-1.5604048,0.44838938
Alabama,1998,3,1.653713,-2.1972713,0.14106321
Alabama,1998,4,2.1752443,-1.0427637,0.87746888
Alabama,1999,1,1.9825298,-0.9053812,0.83322155
Alabama,1999,2,2.2518916,1.2738463,1.8948981
Alabama,1999,3,2.6741679,2.6380727,2.6564705
