DATE,A033RC1A027NBEA_PC1
1990-01-01,6.39483
1991-01-01,3.29733
1992-01-01,6.31007
1993-01-01,4.06309
1994-01-01,4.94859
1995-01-01,4.78999
1996-01-01,5.21318
1997-01-01,6.60810
1998-01-01,7.69450
1999-01-01,6.53944
2000-01-01,8.24212
2001-01-01,3.26727
2002-01-01,1.59680
2003-01-01,3.56096
2004-01-01,5.76017
2005-01-01,5.15690
2006-01-01,5.84849
2007-01-01,5.33386
2008-01-01,2.26068
2009-01-01,-3.70448
2010-01-01,2.14509
2011-01-01,3.79807
2012-01-01,4.14292
2013-01-01,3.12251
2014-01-01,4.69623
2015-01-01,4.86882
2016-01-01,2.72633
2017-01-01,4.60351
2018-01-01,5.06167
