DATE,LNS12300060
1/1/1990,80.2
2/1/1990,80.2
3/1/1990,80.1
4/1/1990,79.9
5/1/1990,79.9
6/1/1990,79.8
7/1/1990,79.6
8/1/1990,79.5
9/1/1990,79.4
10/1/1990,79.4
11/1/1990,79.2
12/1/1990,79
1/1/1991,78.9
2/1/1991,78.9
3/1/1991,78.7
4/1/1991,79
5/1/1991,78.6
6/1/1991,78.7
7/1/1991,78.6
8/1/1991,78.5
9/1/1991,78.6
10/1/1991,78.5
11/1/1991,78.4
12/1/1991,78.3
1/1/1992,78.4
2/1/1992,78.2
3/1/1992,78.2
4/1/1992,78.4
5/1/1992,78.4
6/1/1992,78.5
7/1/1992,78.4
8/1/1992,78.4
9/1/1992,78.3
10/1/1992,78.2
11/1/1992,78.2
12/1/1992,78.2
1/1/1993,78.2
2/1/1993,78.1
3/1/1993,78.2
4/1/1993,78.2
5/1/1993,78.5
6/1/1993,78.6
7/1/1993,78.6
8/1/1993,78.8
9/1/1993,78.6
10/1/1993,78.7
11/1/1993,79
12/1/1993,79
1/1/1994,78.9
2/1/1994,78.9
3/1/1994,78.9
4/1/1994,79
5/1/1994,79.2
6/1/1994,78.8
7/1/1994,79.1
8/1/1994,79.2
9/1/1994,79.6
10/1/1994,79.6
11/1/1994,79.8
12/1/1994,79.8
1/1/1995,79.7
2/1/1995,80
3/1/1995,79.9
4/1/1995,79.8
5/1/1995,79.7
6/1/1995,79.5
7/1/1995,79.7
8/1/1995,79.6
9/1/1995,79.8
10/1/1995,79.8
11/1/1995,79.7
12/1/1995,79.7
1/1/1996,79.8
2/1/1996,79.9
3/1/1996,79.9
4/1/1996,79.9
5/1/1996,80
6/1/1996,80.1
7/1/1996,80.4
8/1/1996,80.5
9/1/1996,80.4
10/1/1996,80.6
11/1/1996,80.5
12/1/1996,80.5
1/1/1997,80.5
2/1/1997,80.4
3/1/1997,80.6
4/1/1997,80.7
5/1/1997,80.6
6/1/1997,80.9
7/1/1997,81.1
8/1/1997,81.3
9/1/1997,81.1
10/1/1997,81.1
11/1/1997,81
12/1/1997,81
1/1/1998,81
2/1/1998,81
3/1/1998,81
4/1/1998,81.1
5/1/1998,81
6/1/1998,81
7/1/1998,81.1
8/1/1998,81.2
9/1/1998,81.3
10/1/1998,81.1
11/1/1998,81.2
12/1/1998,81.3
1/1/1999,81.8
2/1/1999,81.5
3/1/1999,81.3
4/1/1999,81.3
5/1/1999,81.4
6/1/1999,81.4
7/1/1999,81.2
8/1/1999,81.3
9/1/1999,81.3
10/1/1999,81.5
11/1/1999,81.6
12/1/1999,81.5
1/1/2000,81.8
2/1/2000,81.8
3/1/2000,81.7
4/1/2000,81.9
5/1/2000,81.5
6/1/2000,81.5
7/1/2000,81.3
8/1/2000,81.1
9/1/2000,81.1
10/1/2000,81.1
11/1/2000,81.3
12/1/2000,81.4
1/1/2001,81.4
2/1/2001,81.3
3/1/2001,81.3
4/1/2001,80.9
5/1/2001,80.8
6/1/2001,80.6
7/1/2001,80.5
8/1/2001,80.2
9/1/2001,80.2
10/1/2001,79.9
11/1/2001,79.7
12/1/2001,79.8
1/1/2002,79.6
2/1/2002,79.8
3/1/2002,79.6
4/1/2002,79.5
5/1/2002,79.4
6/1/2002,79.2
7/1/2002,79.1
8/1/2002,79.3
9/1/2002,79.4
10/1/2002,79.2
11/1/2002,78.8
12/1/2002,79
1/1/2003,78.9
2/1/2003,78.9
3/1/2003,79
4/1/2003,79.1
5/1/2003,78.9
6/1/2003,78.9
7/1/2003,78.8
8/1/2003,78.7
9/1/2003,78.6
10/1/2003,78.6
11/1/2003,78.7
12/1/2003,78.8
1/1/2004,78.9
2/1/2004,78.8
3/1/2004,78.7
4/1/2004,78.9
5/1/2004,79
6/1/2004,79.1
7/1/2004,79.2
8/1/2004,79
9/1/2004,79
10/1/2004,79
11/1/2004,79.1
12/1/2004,78.9
1/1/2005,79.2
2/1/2005,79.2
3/1/2005,79.2
