DATE,GDP_PC1
1990-01-01,6.55836
1990-04-01,6.19274
1990-07-01,5.61423
1990-10-01,4.48034
1991-01-01,2.76665
1991-04-01,2.79922
1991-07-01,3.17236
1991-10-01,4.32670
1992-01-01,5.43354
1992-04-01,5.61300
1992-07-01,5.81224
1992-10-01,6.64475
1993-01-01,5.75752
1993-04-01,5.22622
1993-07-01,4.80393
1993-10-01,4.98346
1994-01-01,5.73884
1994-04-01,6.43260
1994-07-01,6.52384
1994-10-01,6.29550
1995-01-01,5.71468
1995-04-01,4.60976
1995-07-01,4.80216
1995-10-01,4.25601
1996-01-01,4.60204
1996-04-01,5.96021
1996-07-01,5.83464
1996-10-01,6.26799
1997-01-01,6.28060
1997-04-01,6.04998
1997-07-01,6.53534
1997-10-01,6.12772
1998-01-01,6.02470
1998-04-01,5.29268
1998-07-01,5.29012
1998-10-01,6.02429
1999-01-01,6.21198
1999-04-01,6.18140
1999-07-01,6.14793
1999-10-01,6.51375
2000-01-01,6.21829
2000-04-01,7.59676
2000-07-01,6.58933
2000-10-01,5.45132
2001-01-01,4.69888
2001-04-01,3.41680
2001-07-01,2.67901
2001-10-01,2.11963
2002-01-01,3.01801
2002-04-01,2.78722
2002-07-01,3.73486
2002-10-01,3.85701
2003-01-01,3.65703
2003-04-01,3.85257
2003-07-01,5.23355
2003-10-01,6.30280
2004-01-01,6.58704
2004-04-01,7.03722
2004-07-01,6.36287
2004-10-01,6.39929
2005-01-01,7.05668
2005-04-01,6.61521
2005-07-01,6.82362
2005-10-01,6.46753
2006-01-01,6.60273
2006-04-01,6.50490
2006-07-01,5.51322
2006-10-01,5.28724
2007-01-01,4.44457
2007-04-01,4.60048
2007-07-01,4.81367
2007-10-01,4.58975
2008-01-01,3.11411
2008-04-01,2.94283
2008-07-01,2.06525
2008-10-01,-0.83069
2009-01-01,-1.75067
2009-04-01,-3.05804
2009-07-01,-2.79656
2009-10-01,0.47033
2010-01-01,2.27033
2010-04-01,3.99397
2010-07-01,4.57414
2010-10-01,4.18937
2011-01-01,3.83442
2011-04-01,3.81942
2011-07-01,3.39480
2011-10-01,3.64558
2012-01-01,4.80138
2012-04-01,4.23374
2012-07-01,4.26698
2012-10-01,3.56031
2013-01-01,3.43222
2013-04-01,3.00682
2013-07-01,3.63900
2013-10-01,4.42741
2014-01-01,3.22859
2014-04-01,4.77814
2014-07-01,5.18085
2014-10-01,4.48849
2015-01-01,5.25500
2015-04-01,4.53549
2015-07-01,3.53109
2015-10-01,2.96299
2016-01-01,2.59260
2016-04-01,2.37401
2016-07-01,2.58311
2016-10-01,3.55723
2017-01-01,4.15416
2017-04-01,3.87552
2017-07-01,4.22886
2017-10-01,4.75702
2018-01-01,5.22305
2018-04-01,6.05504
2018-07-01,5.73696
2018-10-01,4.87457
