DATE,PCEPI_PC1
1990-01-01,4.16072
1990-02-01,4.27240
1990-03-01,4.27652
1990-04-01,3.80285
1990-05-01,3.65874
1990-06-01,3.88939
1990-07-01,3.89819
1990-08-01,4.57747
1990-09-01,4.98501
1990-10-01,5.17616
1990-11-01,5.07856
1990-12-01,4.87393
1991-01-01,4.47954
1991-02-01,4.07489
1991-03-01,3.70637
1991-04-01,3.67629
1991-05-01,3.87333
1991-06-01,3.59010
1991-07-01,3.49749
1991-08-01,3.05204
1991-09-01,2.77596
1991-10-01,2.38313
1991-11-01,2.47776
1991-12-01,2.63798
1992-01-01,2.38896
1992-02-01,2.59584
1992-03-01,2.82183
1992-04-01,2.91521
1992-05-01,2.62432
1992-06-01,2.63520
1992-07-01,2.81124
1992-08-01,2.71028
1992-09-01,2.52486
1992-10-01,2.69439
1992-11-01,2.67189
1992-12-01,2.59280
1993-01-01,2.70376
1993-02-01,2.59928
1993-03-01,2.56153
1993-04-01,2.55609
1993-05-01,2.73784
1993-06-01,2.58989
1993-07-01,2.41504
1993-08-01,2.45335
1993-09-01,2.39308
1993-10-01,2.35365
1993-11-01,2.34610
1993-12-01,2.19207
1994-01-01,1.97700
1994-02-01,2.05896
1994-03-01,2.13074
1994-04-01,1.98079
1994-05-01,1.81340
1994-06-01,2.02774
1994-07-01,2.18697
1994-08-01,2.24548
1994-09-01,2.25327
1994-10-01,2.10490
1994-11-01,2.10669
1994-12-01,2.14936
1995-01-01,2.32123
1995-02-01,2.26565
1995-03-01,2.17357
1995-04-01,2.32106
1995-05-01,2.33056
1995-06-01,2.17964
1995-07-01,1.98689
1995-08-01,1.97386
1995-09-01,1.92922
1995-10-01,2.02056
1995-11-01,1.82364
1995-12-01,1.95344
1996-01-01,1.97481
1996-02-01,1.95448
1996-03-01,2.07271
1996-04-01,2.11057
1996-05-01,2.12965
1996-06-01,2.02865
1996-07-01,2.11656
1996-08-01,1.99397
1996-09-01,2.21186
1996-10-01,2.25596
1996-11-01,2.44149
1996-12-01,2.36220
1997-01-01,2.26737
1997-02-01,2.32161
1997-03-01,2.12118
1997-04-01,1.91511
1997-05-01,1.69332
1997-06-01,1.82580
1997-07-01,1.67069
1997-08-01,1.65548
1997-09-01,1.61417
1997-10-01,1.43876
1997-11-01,1.26326
1997-12-01,1.12551
1998-01-01,1.04453
1998-02-01,0.78007
1998-03-01,0.69058
1998-04-01,0.71675
1998-05-01,0.90105
1998-06-01,0.68531
1998-07-01,0.87523
1998-08-01,0.93345
1998-09-01,0.63194
1998-10-01,0.72185
1998-11-01,0.72181
1998-12-01,0.84474
1999-01-01,0.97905
1999-02-01,1.00758
1999-03-01,1.07013
1999-04-01,1.41130
1999-05-01,1.32286
1999-06-01,1.43055
1999-07-01,1.44827
1999-08-01,1.48608
1999-09-01,1.90117
1999-10-01,1.84005
1999-11-01,1.92341
1999-12-01,2.06572
2000-01-01,2.17027
2000-02-01,2.52355
2000-03-01,2.88068
2000-04-01,2.30630
2000-05-01,2.32748
2000-06-01,2.64084
2000-07-01,2.61552
2000-08-01,2.42397
2000-09-01,2.50410
2000-10-01,2.48582
2000-11-01,2.52785
2000-12-01,2.41547
2001-01-01,2.58572
2001-02-01,2.39829
2001-03-01,1.96848
2001-04-01,2.25302
2001-05-01,2.45424
2001-06-01,2.30422
2001-07-01,2.02428
2001-08-01,2.02834
2001-09-01,1.25451
2001-10-01,1.47867
2001-11-01,1.28663
2001-12-01,1.04822
2002-01-01,0.66920
2002-02-01,0.69597
2002-03-01,0.97028
2002-04-01,1.22480
2002-05-01,1.02608
2002-06-01,0.96671
2002-07-01,1.20348
2002-08-01,1.39999
2002-09-01,1.91808
2002-10-01,1.73854
2002-11-01,1.90231
2002-12-01,2.09850
2003-01-01,2.29973
2003-02-01,2.53465
2003-03-01,2.48526
2003-04-01,1.84041
2003-05-01,1.63201
2003-06-01,1.60401
2003-07-01,1.68857
2003-08-01,1.82731
2003-09-01,1.94849
2003-10-01,1.75186
2003-11-01,1.77714
2003-12-01,1.92652
2004-01-01,2.07548
2004-02-01,1.91251
2004-03-01,1.84733
2004-04-01,2.23609
2004-05-01,2.70765
2004-06-01,2.90747
2004-07-01,2.71811
2004-08-01,2.44399
2004-09-01,2.34497
2004-10-01,2.79097
2004-11-01,3.05659
2004-12-01,2.86767
2005-01-01,2.57037
2005-02-01,2.61099
2005-03-01,2.73685
2005-04-01,2.82247
2005-05-01,2.53766
2005-06-01,2.30054
2005-07-01,2.63080
2005-08-01,2.98417
2005-09-01,3.76679
2005-10-01,3.48038
2005-11-01,2.86524
2005-12-01,2.81464
2006-01-01,3.18271
2006-02-01,2.95136
2006-03-01,2.83014
2006-04-01,2.99539
2006-05-01,3.20017
2006-06-01,3.39058
2006-07-01,3.31980
2006-08-01,3.23422
2006-09-01,1.98055
2006-10-01,1.57886
2006-11-01,1.83381
2006-12-01,2.20601
2007-01-01,2.07297
2007-02-01,2.34480
2007-03-01,2.53411
2007-04-01,2.31401
2007-05-01,2.34647
2007-06-01,2.31506
2007-07-01,2.11828
2007-08-01,1.86127
2007-09-01,2.51545
2007-10-01,3.05721
2007-11-01,3.55574
2007-12-01,3.41467
2008-01-01,3.32153
2008-02-01,3.21260
2008-03-01,3.16596
2008-04-01,3.16701
2008-05-01,3.34138
2008-06-01,3.85761
2008-07-01,4.13775
2008-08-01,3.98218
2008-09-01,3.70616
2008-10-01,2.78314
2008-11-01,1.08050
2008-12-01,0.30585
2009-01-01,0.07626
2009-02-01,0.06967
2009-03-01,-0.32376
2009-04-01,-0.37639
2009-05-01,-0.70059
2009-06-01,-0.81791
2009-07-01,-1.23734
2009-08-01,-0.86761
2009-09-01,-0.80896
2009-10-01,0.18157
2009-11-01,1.59329
2009-12-01,2.18598
2010-01-01,2.35369
2010-02-01,2.12932
2010-03-01,2.34124
2010-04-01,2.22087
2010-05-01,2.11767
2010-06-01,1.46015
2010-07-01,1.54082
2010-08-01,1.38380
2010-09-01,1.30850
2010-10-01,1.22024
2010-11-01,1.15941
2010-12-01,1.34594
2011-01-01,1.47642
2011-02-01,1.78603
2011-03-01,2.07190
2011-04-01,2.45741
2011-05-01,2.74896
2011-06-01,2.78819
2011-07-01,2.88836
2011-08-01,3.00050
2011-09-01,3.05514
2011-10-01,2.75670
2011-11-01,2.77437
2011-12-01,2.60119
2012-01-01,2.63087
2012-02-01,2.57795
2012-03-01,2.35105
2012-04-01,2.06328
2012-05-01,1.63215
2012-06-01,1.59473
2012-07-01,1.44636
2012-08-01,1.53721
2012-09-01,1.70113
2012-10-01,1.99281
2012-11-01,1.71574
2012-12-01,1.64705
2013-01-01,1.47201
2013-02-01,1.60010
2013-03-01,1.28137
2013-04-01,1.06836
2013-05-01,1.25407
2013-06-01,1.52957
2013-07-01,1.61724
2013-08-01,1.43200
2013-09-01,1.16261
2013-10-01,1.03206
2013-11-01,1.25242
2013-12-01,1.46131
2014-01-01,1.46058
2014-02-01,1.14583
2014-03-01,1.47899
2014-04-01,1.74163
2014-05-01,1.84147
2014-06-01,1.72880
2014-07-01,1.75331
2014-08-01,1.58320
2014-09-01,1.56285
2014-10-01,1.36858
2014-11-01,1.13484
2014-12-01,0.77108
2015-01-01,0.11735
2015-02-01,0.22872
2015-03-01,0.22437
2015-04-01,0.12074
2015-05-01,0.20026
2015-06-01,0.29133
2015-07-01,0.23078
2015-08-01,0.25507
2015-09-01,0.09405
2015-10-01,0.11445
2015-11-01,0.26305
2015-12-01,0.35391
2016-01-01,0.91723
2016-02-01,0.68752
2016-03-01,0.65798
2016-04-01,0.91517
2016-05-01,0.83243
2016-06-01,0.83562
2016-07-01,0.80878
2016-08-01,0.97414
2016-09-01,1.24674
2016-10-01,1.47547
2016-11-01,1.45219
2016-12-01,1.73326
2017-01-01,2.01233
2017-02-01,2.18118
2017-03-01,1.89334
2017-04-01,1.78676
2017-05-01,1.61359
2017-06-01,1.53641
2017-07-01,1.51821
2017-08-01,1.59034
2017-09-01,1.83034
2017-10-01,1.76812
2017-11-01,1.90473
2017-12-01,1.84563
2018-01-01,1.80090
2018-02-01,1.92324
2018-03-01,2.14856
2018-04-01,2.12845
2018-05-01,2.36443
2018-06-01,2.39647
2018-07-01,2.45311
2018-08-01,2.28593
2018-09-01,2.09717
2018-10-01,2.08263
2018-11-01,1.97120
2018-12-01,1.88418
2019-01-01,1.47451
2019-02-01,1.37174
2019-03-01,1.50041
2019-04-01,1.61684
2019-05-01,1.49486
2019-06-01,1.45558
2019-07-01,1.53443
2019-08-01,1.52216
2019-09-01,1.38596
2019-10-01,1.43453
2019-11-01,1.43995
2019-12-01,1.64467
2020-01-01,1.87835
2020-02-01,1.84490
2020-03-01,1.34094
2020-04-01,0.47624
2020-05-01,0.54138
2020-06-01,0.91944
2020-07-01,1.00871
2020-08-01,1.24143
2020-09-01,1.35340
2020-10-01,1.19590
2020-11-01,1.12166
2020-12-01,1.22709
2021-01-01,1.36679
2021-02-01,1.57007
2021-03-01,2.41697
2021-04-01,3.62114
2021-05-01,3.91337
