DATE,A576RC1_PC1
1990-01-01,4.81766
1990-02-01,5.98722
1990-03-01,6.15173
1990-04-01,6.45287
1990-05-01,6.92515
1990-06-01,7.14119
1990-07-01,6.94756
1990-08-01,6.71976
1990-09-01,6.82841
1990-10-01,5.00494
1990-11-01,5.11057
1990-12-01,5.42779
1991-01-01,4.23515
1991-02-01,3.07011
1991-03-01,2.46731
1991-04-01,1.85585
1991-05-01,2.23572
1991-06-01,2.62393
1991-07-01,1.58524
1991-08-01,2.35490
1991-09-01,2.42217
1991-10-01,2.76501
1991-11-01,3.13415
1991-12-01,3.37244
1992-01-01,4.19298
1992-02-01,5.46991
1992-03-01,5.61243
1992-04-01,5.52002
1992-05-01,5.72656
1992-06-01,5.02868
1992-07-01,5.54884
1992-08-01,5.79782
1992-09-01,4.41001
1992-10-01,3.55696
1992-11-01,3.82755
1992-12-01,9.66231
1993-01-01,3.90996
1993-02-01,3.70053
1993-03-01,3.01034
1993-04-01,4.34575
1993-05-01,4.06567
1993-06-01,3.22341
1993-07-01,3.87970
1993-08-01,3.87755
1993-09-01,4.04537
1993-10-01,4.60806
1993-11-01,4.02741
1993-12-01,3.38323
1994-01-01,4.73937
1994-02-01,3.91510
1994-03-01,4.95676
1994-04-01,4.95790
1994-05-01,5.01285
1994-06-01,5.37663
1994-07-01,5.28124
1994-08-01,4.82141
1994-09-01,5.90975
1994-10-01,7.57477
1994-11-01,7.25621
1994-12-01,1.65922
1995-01-01,6.40871
1995-02-01,6.68064
1995-03-01,6.45263
1995-04-01,5.44516
1995-05-01,4.91915
1995-06-01,5.63546
1995-07-01,5.52750
1995-08-01,5.57979
1995-09-01,5.47920
1995-10-01,4.87458
1995-11-01,5.32813
1995-12-01,5.03794
1996-01-01,4.38995
1996-02-01,5.17241
1996-03-01,5.29640
1996-04-01,5.09319
1996-05-01,5.86360
1996-06-01,6.24743
1996-07-01,5.70486
1996-08-01,6.12013
1996-09-01,6.34700
1996-10-01,6.00813
1996-11-01,6.38860
1996-12-01,6.94648
1997-01-01,7.31924
1997-02-01,6.96509
1997-03-01,7.15915
1997-04-01,7.09976
1997-05-01,6.95281
1997-06-01,6.48493
1997-07-01,6.92911
1997-08-01,7.16578
1997-09-01,6.94021
1997-10-01,7.61390
1997-11-01,8.01652
1997-12-01,7.70427
1998-01-01,8.10133
1998-02-01,7.90651
1998-03-01,7.71111
1998-04-01,7.92349
1998-05-01,8.23229
1998-06-01,8.07937
1998-07-01,8.10141
1998-08-01,8.11198
1998-09-01,7.95631
1998-10-01,7.65869
1998-11-01,7.32408
1998-12-01,7.28259
1999-01-01,7.24727
1999-02-01,7.29775
1999-03-01,6.86382
1999-04-01,6.69111
1999-05-01,6.32921
1999-06-01,6.10031
1999-07-01,6.23806
1999-08-01,5.91981
1999-09-01,6.02802
1999-10-01,6.40529
1999-11-01,6.58670
1999-12-01,7.63734
2000-01-01,8.79516
2000-02-01,8.75609
2000-03-01,9.01452
2000-04-01,8.77233
2000-05-01,7.89659
2000-06-01,8.52710
2000-07-01,9.21455
2000-08-01,8.78008
2000-09-01,8.78375
2000-10-01,8.05715
2000-11-01,7.04936
2000-12-01,5.55436
2001-01-01,4.91186
2001-02-01,4.79284
2001-03-01,4.68122
2001-04-01,4.03347
2001-05-01,4.13709
2001-06-01,3.26789
2001-07-01,1.76399
2001-08-01,1.38666
2001-09-01,0.82401
2001-10-01,0.62443
2001-11-01,0.83284
2001-12-01,0.97605
