date,mean,var,exp
2018-01-01,2.0%,1.9%,2.0%
2018-02-01,2.0%,2.0%,1.8%
2018-03-01,2.1%,2.1%,1.9%
2018-04-01,2.3%,2.1%,2.1%
2018-05-01,2.0%,1.9%,1.9%
2018-06-01,2.1%,1.9%,2.0%
2018-07-01,2.1%,1.9%,1.9%
2018-08-01,2.1%,2.0%,2.0%
2018-09-01,2.2%,1.9%,2.0%
2018-10-01,2.3%,1.9%,2.2%
2018-11-01,2.2%,2.1%,2.2%
2018-12-01,2.3%,1.8%,2.2%
2019-01-01,2.0%,2.1%,2.1%
2019-02-01,1.9%,2.3%,1.9%
2019-03-01,1.9%,2.2%,2.0%
2019-04-01,1.9%,1.9%,2.1%
2019-05-01,2.0%,2.2%,1.8%
2019-06-01,2.0%,2.0%,2.1%
2019-07-01,1.9%,2.0%,1.9%
2019-08-01,2.0%,2.0%,1.9%
2019-09-01,2.0%,2.0%,1.9%
2019-10-01,1.8%,1.9%,1.7%
2019-11-01,2.0%,2.0%,1.7%
2019-12-01,1.9%,1.9%,1.6%
2020-01-01,1.9%,1.9%,1.7%
2020-02-01,1.7%,1.8%,1.5%
2020-03-01,1.9%,1.9%,1.6%
2020-04-01,1.4%,2.0%,1.2%
2020-05-01,1.5%,1.9%,1.2%
2020-06-01,1.7%,2.0%,1.2%
2020-07-01,1.7%,2.1%,1.1%
2020-08-01,1.7%,1.9%,1.5%
2020-09-01,1.6%,2.1%,1.3%
2020-10-01,1.8%,2.0%,1.6%
2020-11-01,1.9%,1.8%,1.3%
2020-12-01,2.0%,1.8%,1.7%
2021-01-01,2.2%,1.9%,1.8%
2021-02-01,2.2%,1.9%,2.1%
2021-03-01,2.4%,1.9%,2.2%
2021-04-01,2.5%,2.0%,2.4%
2021-05-01,2.8%,1.9%,2.8%
2021-06-01,3.0%,1.7%,3.0%
2021-07-01,2.8%,1.9%,2.9%
2021-08-01,3.0%,1.8%,3.3%
2021-09-01,3.1%,2.1%,3.2%
2021-10-01,3.1%,1.9%,3.5%
2021-11-01,3.3%,1.8%,3.6%
2021-12-01,3.4%,2.0%,3.6%
2022-01-01,3.4%,1.8%,3.7%
2022-02-01,3.6%,1.8%,4.0%
2022-03-01,3.8%,1.5%,4.1%
2022-04-01,3.8%,1.5%,4.2%
2022-05-01,3.7%,1.8%,4.2%
2022-06-01,3.7%,1.8%,4.3%
2022-07-01,3.7%,1.6%,4.4%
2022-08-01,3.5%,1.8%,4.3%
2022-09-01,3.3%,1.9%,4.1%
2022-10-01,3.3%,1.9%,4.1%
2022-11-01,3.3%,1.9%,4.0%
2022-12-01,3.1%,2.1%,3.8%
2023-01-01,3.0%,1.9%,3.7%
2023-02-01,2.9%,2.2%,3.5%
2023-03-01,3.1%,2.0%,3.8%
2023-04-01,2.8%,2.0%,3.6%
2023-05-01,2.9%,2.1%,3.5%
2023-06-01,2.7%,2.3%,3.1%
2023-07-01,2.8%,2.1%,3.2%
2023-08-01,2.5%,2.2%,3.3%
2023-09-01,2.5%,2.2%,3.1%
2023-10-01,2.4%,2.1%,3.2%
2023-11-01,2.5%,2.4%,3.2%
2023-12-01,2.4%,2.0%,2.9%
2024-01-01,2.2%,2.3%,2.7%
2024-02-01,2.3%,2.2%,2.6%
2024-03-01,2.4%,2.2%,2.8%
2024-04-01,2.3%,2.1%,2.6%
2024-05-01,2.3%,2.2%,2.7%
2024-06-01,2.3%,2.0%,2.8%
2024-07-01,2.4%,2.0%,2.7%
2024-08-01,2.2%,2.2%,2.6%
2024-09-01,2.1%,2.1%,2.6%
2024-10-01,2.2%,2.2%,2.6%
2024-11-01,2.2%,2.1%,2.6%
2024-12-01,2.0%,2.0%,2.5%
2025-01-01,2.2%,1.9%,2.4%
2025-02-01,2.3%,2.0%,2.2%
2025-03-01,2.5%,2.2%,2.4%
