"","I_COMMODITY","value","tariff_val","effective_tariff","round_tariff","I_COMMODITY_LDESC"
"1","0101",48308,4830.8,0.1,0.1,"HORSES, ASSES, MULES AND HINNIES, LIVE"
"2","0106",5223755,522375.5,0.1,0.1,"ANIMALS, LIVE, NESOI"
"3","0301",1566924,156692.4,0.1,0.1,"FISH, LIVE"
"4","0308",3596,359.6,0.1,0.1,"AQUATIC INVERTEBRATES OTHER THAN CRUSTACEANS AND MOLLUSCS"
"5","0403",14580,1458,0.1,0.1,"YOGURT; BUTTERMILK, CURDLED MILK AND CREAM, KEPHIR AND OTHER FERMENTED OR ACIDIFIED MILK AND CREAM WHETHER OR NOT CONCENTRATED OR CONT ADDED SUGAR ETC"
"6","0404",1042390,104239,0.1,0.1,"WHEY AND OTHER PRODUCTS CONSISTING OF NATURAL MILK CONSTITUENTS, WHETHER OR NOT CONCENTRATED OR SWEETENED, NESOI"
"7","0405",55984,5598.4,0.1,0.1,"BUTTER AND OTHER FATS AND OILS DERIVED FROM MILK"
"8","0406",8598581,859858.1,0.1,0.1,"CHEESE AND CURD"
"9","0409",106882,10688.2,0.1,0.1,"HONEY, NATURAL"
"10","0511",2016,201.6,0.1,0.1,"ANIMAL PRODUCTS NESOI; DEAD ANIMALS (OF CHAPTER 1 OR 3), UNFIT FOR HUMAN CONSUMPTION"
"11","0601",4634071,463407.1,0.1,0.1,"BULBS, TUBERS, TUBEROUS ROOTS, CORMS ETC., DORMANT, IN GROWTH OR IN FLOWER; CHICORY PLANTS AND ROOTS FOR PLANTING"
"12","0602",4208874,420887.4,0.1,0.1,"LIVE PLANTS NESOI (INCLUDING THEIR ROOTS), CUTTINGS AND SLIPS; MUSHROOM SPAWN"
"13","0603",6527812,652781.2,0.1,0.1,"CUT FLOWERS AND BUDS SUITABLE FOR BOUQUETS OR ORNAMENTAL PURPOSES, FRESH, DRIED, DYED, BLEACHED, IMPREGNATED OR OTHERWISE PREPARED"
"14","0604",4727547,472754.7,0.1,0.1,"FOLIAGE, BRANCHES, GRASSES, MOSSES ETC. (NO FLOWERS OR BUDS), FOR BOUQUETS OR ORNAMENTAL PURPOSES, FRESH, DRIED, DYED, BLEACHED ETC."
"15","0706",5296044,529604.4,0.1,0.1,"CARROTS, TURNIPS, SALAD BEETS, SALSIFY, RADISHES AND SIMILAR EDIBLE ROOTS, FRESH OR CHILLED"
"16","0709",8171227,817122.7,0.1,0.1,"VEGETABLES NESOI, FRESH OR CHILLED"
"17","0710",10082138,1008213.8,0.1,0.1,"VEGETABLES (UNCOOKED OR COOKED BY STEAM OR BOILING WATER), FROZEN"
"18","0711",280270,28027,0.1,0.1,"VEGETABLES PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION"
"19","0712",7947520,794752,0.1,0.1,"VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED"
"20","0713",303008,30300.8,0.1,0.1,"LEGUMINOUS VEGETABLES, DRIED SHELLED"
"21","0802",312402,31240.2,0.1,0.1,"NUTS NESOI, FRESH OR DRIED"
"22","0804",11901544,1190154.4,0.1,0.1,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS, MANGOES AND MANGOSTEENS, FRESH OR DRIED"
"23","0805",19284677,1928467.7,0.1,0.1,"CITRUS FRUIT, FRESH OR DRIED"
"24","0810",6118456,611845.6,0.1,0.1,"FRUIT NESOI, FRESH"
"25","0813",867132,86713.2,0.1,0.1,"FRUIT, DRIED, NESOI (OTHER THAN THOSE OF HEADINGS 0801 TO 0806); MIXTURES OF NUTS OR DRIED FRUITS OF THIS CHAPTER"
"26","0901",1018231,101823.1,0.1,0.1,"COFFEE, WHETHER OR NOT ROASTED OR DECAFFEINATED; COFFEE HUSKS AND SKINS; COFFEE SUBSTITUTES CONTAINING COFFEE"
"27","0902",1023181,102318.1,0.1,0.1,"TEA, WHETHER OR NOT FLAVORED"
"28","0904",3078251,307825.1,0.1,0.1,"PEPPER OF THE GENUS PIPER; FRUITS OF THE GENUS CAPSICUM (PEPPERS) OR OF THE GENUS PIMENTA, DRIED, CRUSHED OR GROUND"
"29","0905",46368,4636.8,0.1,0.1,"VANILLA"
"30","0906",2214,221.4,0.1,0.1,"CINNAMON AND CINNAMON-TREE FLOWERS"
"31","0908",2360,236,0.1,0.1,"NUTMEG, MACE AND CARDAMONS"
"32","0909",16732,1673.2,0.1,0.1,"SEEDS OF ANISE, BADIAN, FENNEL, CORIANDER, CUMIN OR CARAWAY; JUNIPER BERRIES"
"33","0910",4424309,442430.9,0.1,0.1,"GINGER, SAFFRON, TUMERIC (CURCUMA), THYME, BAY LEAVES, CURRY AND OTHER SPICES"
"34","1001",3332,333.2,0.1,0.1,"WHEAT AND MESLIN"
"35","1005",23800,2380,0.1,0.1,"CORN (MAIZE)"
"36","1006",102974,10297.4,0.1,0.1,"RICE"
"37","1008",58896,5889.6,0.1,0.1,"BUCKWHEAT, MILLET AND CANARY SEEDS; OTHER CEREALS (INCLUDING WILD RICE)"
"38","1101",1856820,185682,0.1,0.1,"WHEAT OR MESLIN FLOUR"
"39","1102",86432,8643.2,0.1,0.1,"CEREAL FLOURS OTHER THAN OF WHEAT OR MESLIN"
"40","1103",1396264,139626.4,0.1,0.1,"CEREAL GROATS, MEAL AND PELLETS"
"41","1104",129603,12960.3,0.1,0.1,"CEREAL GRAINS, OTHERWISE WORKED (HULLED, ROLLED ETC.), EXCEPT RICE (HEADING 1006); GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND"
"42","1106",41363,4136.3,0.1,0.1,"FLOUR AND MEAL OF DRIED LEGUMINOUS VEGETABLES (HD. 0713), OF SAGO OR ROOTS ETC. (HD. 0714); FLOUR, MEAL AND POWDER OF FRUIT AND NUTS ETC. (CH. 8)"
"43","1108",152165,15216.5,0.1,0.1,"STARCHES; INULIN"
"44","1109",2475,247.5,0.1,0.1,"WHEAT GLUTEN, WHETHER OR NOT DRIED"
"45","1204",88641,8864.1,0.1,0.1,"FLAXSEED (LINSEED), WHETHER OR NOT BROKEN"
"46","1205",3000,300,0.1,0.1,"RAPE OR COLZA SEEDS, WHETHER OR NOT BROKEN"
"47","1206",1376489,137648.9,0.1,0.1,"SUNFLOWER SEEDS, WHETHER OR NOT BROKEN"
"48","1207",3904602,390460.2,0.1,0.1,"OIL SEEDS AND OLEAGINOUS FRUITS NESOI, WHETHER OR NOT BROKEN"
"49","1209",15375036,1537503.6,0.1,0.1,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING"
"50","1211",2588991,258899.1,0.1,0.1,"PLANTS AND PARTS OF PLANTS (INCLUDING SEEDS AND FRUITS), USED IN PERFUMERY, PHARMACY, OR FOR INSECTICIDAL OR SIMILAR PURPOSES, FRESH OR DRIED"
"51","1212",717800,71780,0.1,0.1,"LOCUST BEANS, SEAWEEDS ETC., SUGAR BEET AND SUGAR CANE; FRUIT STONES AND KERNELS AND OTHER VEGETABLE PRODUCTS USED FOR HUMAN CONSUMPTION, NESOI"
"52","1302",4698647,469864.7,0.1,0.1,"VEGETABLE SAPS AND EXTRACTS; PECTIC SUBSTANCES, PECTINATES AND PECTATES; AGAR-AGAR AND OTHER MUCILAGES AND THICKENERS, DERIVED FROM VEGETABLE PRODUCTS"
"53","1404",2470175,247017.5,0.1,0.1,"VEGETABLE PRODUCTS, NESOI"
"54","1502",84786,8478.6,0.1,0.1,"FATS OF BOVINE ANIMALS, SHEEP OR GOATS, OTHER THAN THOSE OF HEADING 1503"
"55","1505",96226,9622.6,0.1,0.1,"WOOL GREASE AND FATTY SUBSTANCES DERIVED THEREFROM, INCLUDING LANOLIN"
"56","1509",22385328,2238532.8,0.1,0.1,"OLIVE OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
"57","1511",5012,501.2,0.1,0.1,"PALM OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
"58","1513",335772,33577.2,0.1,0.1,"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
"59","1514",11034,1103.4,0.1,0.1,"RAPESEED, COLZA OR MUSTARD OIL AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
"60","1515",21422145,2142214.5,0.1,0.1,"FIXED VEGETABLE OR MICROBIAL FATS AND OILS, INCLUDING JOJOBA OIL, AND THEIR FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED, NESOI"
"61","1517",710014,71001.4,0.1,0.1,"MARGARINE;EDIBLE MIX OR PREPS OF ANIMAL,VEG,MICROBIAL FATS/OILS/FRACTIONS OF DIFF FATS OR OILS OF THIS CHAPTER,EXC EDIBLE FATS OILS FRACTIONS OF 1516"
"62","1518",38435,3843.5,0.1,0.1,"ANIMAL, VEGETABLE OR MICROBIAL FATS AND OILS AND THEIR FRACTIONS, BOILED, OXIDIZED, DEHYDRATED, ETC CHEMICALLY MODIFIED; INEDIBLE MIXTURES PREPS NESOI"
"63","1602",13492082,1349208.2,0.1,0.1,"PREPARED OR PRESERVED MEAT, MEAT OFFAL, BLOOD OR INSECTS, NESOI"
"64","1604",5935160,593516,0.1,0.1,"PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS"
"65","1701",208154,20815.4,0.1,0.1,"CANE OR BEET SUGAR AND CHEMICALLY PURE SUCROSE, IN SOLID FORM"
"66","1702",2095277,209527.7,0.1,0.1,"SUGARS NESOI, INCLUDING CHEMICALLY PURE LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE IN SOLID FORM; SUGAR SYRUPS (PLAIN); ARTIFICIAL HONEY; CARAMEL"
"67","1704",6741998,674199.8,0.1,0.1,"SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA"
