date,uncr
2018-01-01,-8.3
2018-02-01,-5.8
2018-03-01,2.8
2018-04-01,12.4
2018-05-01,-2.9
2018-06-01,7.9
2018-07-01,17.0
2018-08-01,16.2
2018-09-01,19.9
2018-10-01,6.9
2018-11-01,12.3
2018-12-01,9.2
2019-01-01,15.6
2019-02-01,4.1
2019-03-01,3.4
2019-04-01,6.8
2019-05-01,16.1
2019-06-01,21.6
2019-07-01,9.7
2019-08-01,18.6
2019-09-01,13.3
2019-10-01,12.1
2019-11-01,17.1
2019-12-01,5.6
2020-01-01,2.7
2020-02-01,11.0
2020-03-01,62.6
2020-04-01,54.4
2020-05-01,28.3
2020-06-01,9.1
2020-07-01,20.9
2020-08-01,8.2
2020-09-01,6.7
2020-10-01,11.0
2020-11-01,7.2
2020-12-01,13.4
2021-01-01,19.3
2021-02-01,8.5
2021-03-01,5.5
2021-04-01,0.0
2021-05-01,14.7
2021-06-01,17.6
2021-07-01,14.6
2021-08-01,21.1
2021-09-01,23.3
2021-10-01,29.0
2021-11-01,27.7
2021-12-01,19.2
2022-01-01,30.8
2022-02-01,17.0
2022-03-01,20.5
2022-04-01,29.8
2022-05-01,26.5
2022-06-01,43.7
2022-07-01,33.7
2022-08-01,24.4
2022-09-01,27.2
2022-10-01,38.3
2022-11-01,20.4
2022-12-01,15.6
2023-01-01,16.8
2023-02-01,25.0
2023-03-01,22.0
2023-04-01,24.7
2023-05-01,13.4
2023-06-01,16.7
2023-07-01,20.5
2023-08-01,12.7
2023-09-01,27.0
2023-10-01,20.2
2023-11-01,20.3
2023-12-01,18.3
2024-01-01,20.9
2024-02-01,11.0
2024-03-01,23.0
2024-04-01,17.3
2024-05-01,16.4
2024-06-01,9.8
2024-07-01,30.7
2024-08-01,7.5
2024-09-01,17.3
2024-10-01,16.4
2024-11-01,5.9
2024-12-01,1.2
2025-01-01,1.3
2025-02-01,29.2
2025-03-01,36.2
