date,GDP_old,GDP_new
1955-01-01,129428,121747
1955-04-01,129519,121765
1955-07-01,132043,124204
1955-10-01,131396,123527
1956-01-01,132998,124881
1956-04-01,132679,124751
1956-07-01,132495,124594
1956-10-01,132945,125329
1957-01-01,135711,127685
1957-04-01,135750,127644
1957-07-01,134944,126847
1957-10-01,135028,127203
1958-01-01,138005,130017
1958-04-01,134822,126750
1958-07-01,137771,129561
1958-10-01,137880,129911
1959-01-01,138749,130713
1959-04-01,141054,132823
1959-07-01,144101,135648
1959-10-01,147731,139094
1960-01-01,151420,142565
1960-04-01,150230,141565
1960-07-01,152485,143674
1960-10-01,153552,144509
1961-01-01,155990,146876
1961-04-01,156572,147484
1961-07-01,155818,146753
1961-10-01,155436,146476
1962-01-01,156202,147109
1962-04-01,157678,148500
1962-07-01,158572,149408
1962-10-01,157894,148870
1963-01-01,158616,149550
1963-04-01,165619,156027
1963-07-01,166407,156716
1963-10-01,170054,160273
1964-01-01,171209,161333
1964-04-01,174393,164347
1964-07-01,175037,164952
1964-10-01,177683,167430
1965-01-01,177153,166975
1965-04-01,177267,167074
1965-07-01,178719,168424
1965-10-01,179904,169502
1966-01-01,180172,169749
1966-04-01,181154,170745
1966-07-01,181778,171303
1966-10-01,180944,170622
1967-01-01,183328,172902
1967-04-01,185968,175314
1967-07-01,186841,176021
1967-10-01,187834,176978
1968-01-01,194591,183476
1968-04-01,193804,182717
1968-07-01,197603,186277
1968-10-01,198437,186998
1969-01-01,197901,186620
1969-04-01,199471,188017
1969-07-01,200592,189030
1969-10-01,201431,189939
1970-01-01,200089,188748
1970-04-01,205001,193258
1970-07-01,206988,195099
1970-10-01,208869,196872
1971-01-01,207680,195942
1971-04-01,211465,199456
1971-07-01,215240,202884
1971-10-01,216006,203687
1972-01-01,216317,204098
1972-04-01,222086,209482
1972-07-01,222694,210040
1972-10-01,226205,213318
1973-01-01,237322,223780
1973-04-01,237728,224213
1973-07-01,235429,222122
1973-10-01,234514,221266
1974-01-01,228013,215122
1974-04-01,231343,218215
1974-07-01,232777,219517
1974-10-01,229394,216301
1975-01-01,229477,216390
1975-04-01,225734,212882
1975-07-01,224919,212192
1975-10-01,227490,214585
1976-01-01,231247,218180
1976-04-01,230985,217883
1976-07-01,233947,220587
1976-10-01,238928,225228
1977-01-01,238831,225362
1977-04-01,237076,223815
1977-07-01,238720,225295
1977-10-01,242807,229115
1978-01-01,244622,231258
1978-04-01,247510,233910
1978-07-01,250901,237107
1978-10-01,253135,239186
1979-01-01,251825,238472
1979-04-01,262981,248867
1979-07-01,257095,243369
1979-10-01,259744,245858
1980-01-01,256815,243513
1980-04-01,251750,238722
1980-07-01,251454,238432
1980-10-01,248574,235866
1981-01-01,248097,235712
1981-04-01,248514,236272
1981-07-01,251197,238846
1981-10-01,251349,239131
1982-01-01,251388,239578
1982-04-01,253939,242095
1982-07-01,254533,242639
1982-10-01,256172,244317
1983-01-01,260720,249032
1983-04-01,262390,250761
1983-07-01,265120,253655
1983-10-01,267076,255533
1984-01-01,268763,257683
1984-04-01,266099,255100
1984-07-01,267783,256975
1984-10-01,272734,261627
1985-01-01,274498,264127
1985-04-01,280049,269787
1985-07-01,280252,269737
1985-10-01,280672,269896
1986-01-01,283200,272720
1986-04-01,284643,275136
1986-07-01,285943,276863
1986-10-01,290408,282193
1987-01-01,293128,284172
1987-04-01,297464,288385
1987-07-01,304555,295493
1987-10-01,308624,298855
1988-01-01,313316,303698
1988-04-01,313997,305281
1988-07-01,318223,309097
1988-10-01,320612,311574
1989-01-01,322258,313083
1989-04-01,323569,315039
1989-07-01,323542,315554
1989-10-01,324139,315515
1990-01-01,326896,317117
1990-04-01,328047,319239
1990-07-01,324080,315744
1990-10-01,322743,314148
1991-01-01,321164,312596
1991-04-01,319958,312235
1991-07-01,319027,311624
1991-10-01,319668,312006
1992-01-01,319525,311904
1992-04-01,318481,311418
1992-07-01,320240,312896
1992-10-01,321960,315307
1993-01-01,324111,316882
1993-04-01,325394,318302
1993-07-01,327863,321218
1993-10-01,329789,323400
1994-01-01,333269,326585
1994-04-01,336803,329584
1994-07-01,340451,332911
1994-10-01,342104,334363
1995-01-01,342962,336090
1995-04-01,343589,336789
1995-07-01,347031,340542
1995-10-01,347651,341602
1996-01-01,349056,343859
1996-04-01,349195,344979
1996-07-01,352909,348214
1996-10-01,356423,352958
1997-01-01,361885,358611
1997-04-01,365725,362573
1997-07-01,369141,365942
1997-10-01,374512,371341
1998-01-01,376761,374037
1998-04-01,378766,376421
1998-07-01,379906,377650
1998-10-01,382282,380155
1999-01-01,385025,382789
1999-04-01,386581,384605
1999-07-01,393078,390758
1999-10-01,398776,396357
2000-01-01,403407,401242
2000-04-01,406049,404196
2000-07-01,408120,406795
2000-10-01,409871,409411
2001-01-01,413381,413054
2001-04-01,414894,414878
2001-07-01,416803,417085
2001-10-01,417480,418445
2002-01-01,418930,419534
2002-04-01,421133,421587
2002-07-01,424190,424425
2002-10-01,427745,427725
2003-01-01,430454,430832
2003-04-01,434140,434837
2003-07-01,438419,438710
2003-10-01,441827,442172
2004-01-01,443792,443853
2004-04-01,446140,446443
2004-07-01,447205,448171
2004-10-01,448619,450464
2005-01-01,451985,453784
2005-04-01,456263,457557
2005-07-01,460177,461135
2005-10-01,464981,465451
2006-01-01,466584,467840
2006-04-01,467684,469655
2006-07-01,468351,470918
2006-10-01,470396,473372
2007-01-01,475292,477823
2007-04-01,478424,481314
2007-07-01,482064,484544
2007-10-01,485249,487413
2008-01-01,487601,489783
2008-04-01,485278,487386
2008-07-01,477935,479872
2008-10-01,467250,469694
2009-01-01,458181,460105
2009-04-01,456867,458599
2009-07-01,457471,458875
2009-10-01,459031,460238
2010-01-01,463391,464543
2010-04-01,468691,469606
2010-07-01,471664,472199
2010-10-01,472312,472612
2011-01-01,473510,473819
2011-04-01,473773,474365
2011-07-01,474501,475813
2011-10-01,474303,476479
2012-01-01,478242,480632
2012-04-01,477974,479979
2012-07-01,483913,484579
2012-10-01,483422,484039
2013-01-01,484555,485409
2013-04-01,487845,488930
2013-07-01,491499,493002
2013-10-01,494658,496466
2014-01-01,499294,500552
2014-04-01,503659,504939
2014-07-01,507485,508741
2014-10-01,510787,512334
2015-01-01,512895,513850
2015-04-01,516141,516876
2015-07-01,518365,518915
2015-10-01,522194,521920
2016-01-01,524102,523813
2016-04-01,527401,526750
2016-07-01,529730,528712
2016-10-01,533173,532082
2017-01-01,537114,536566
2017-04-01,539994,540020
2017-07-01,542780,543452
2017-10-01,546185,547377
2018-01-01,547003,547688
2018-04-01,549491,548600
2018-07-01,552545,550425
2018-10-01,553966,551128
2019-01-01,557458,555141
2019-04-01,558071,556932
2019-07-01,561480,560987
2019-10-01,561339,560861
2020-01-01,546515,545597
2020-04-01,431794,434718
2020-07-01,503509,507643
2020-10-01,509621,514531
2021-01-01,504255,509261
2021-04-01,537175,546579
2021-07-01,546487,555956
2021-10-01,554821,564407
2022-01-01,557524,567372
2022-04-01,557810,567878
2022-07-01,557286,567392
2022-10-01,558005,568151
2023-01-01,558812,569973
2023-04-01,559956,571043
