date,consumption_old,consumption_new,inventories_old,inventories_new,NPISH_old,NPISH_new,exports_old,exports_new,imports_new,imports_old,gov_consumption_old,gov_consumption_new,gfcf_old,gfcf_new
1970-01-01,97391,97317,-934,-934,3481,3459,26510,25935,21567,21888,44366,44259,38089,37163
1970-04-01,98946,98917,2354,2354,3506,3485,26147,25565,22717,23031,45847,45756,39700,38734
1970-07-01,100458,100404,2639,2639,3530,3510,25913,25341,22858,23185,45559,45448,40156,39186
1970-10-01,100058,100028,1258,1258,3462,3441,28372,27774,23973,24301,45957,45844,41365,40351
1971-01-01,99798,99730,961,961,3407,3386,27059,26488,23278,23618,46209,46085,40579,39596
1971-04-01,102036,102001,-740,-740,3470,3451,28947,28331,24193,24537,47046,46938,42575,41538
1971-07-01,103845,103806,236,236,3414,3393,29166,28537,23773,24108,47504,47374,43553,42497
1971-10-01,104685,104644,136,136,3489,3469,29059,28422,24463,24815,47384,47295,44186,43110
1972-01-01,106484,106490,-989,-989,3333,3313,28562,27952,25338,25710,48508,48403,43781,42736
1972-04-01,108905,108933,-424,-424,3527,3506,28735,28113,25825,26190,48942,48816,45230,44141
1972-07-01,110560,110596,-231,-231,3473,3452,26522,25942,25183,25543,49628,49517,45116,44036
1972-10-01,111472,111504,13,13,3637,3615,31601,30962,28343,28753,50080,49949,44980,43906
1973-01-01,115851,115848,6118,6118,3633,3611,31345,30686,28317,28723,50604,50480,47315,46185
1973-04-01,115074,115094,6245,6245,3574,3553,32059,31399,28458,28883,50952,50860,45755,44670
1973-07-01,115927,115937,6198,6198,3706,3684,32857,32184,29295,29733,51450,51322,44849,43787
1973-10-01,115008,115026,3914,3914,3577,3556,33102,32433,29784,30228,51516,51388,44646,43599
1974-01-01,112937,112943,233,233,3599,3577,33914,33233,28895,29334,50834,50687,44251,43200
1974-04-01,113501,113533,4086,4086,3504,3483,35004,34288,29621,30071,51750,51644,41823,40821
1974-07-01,114591,114621,5310,5310,3628,3607,35247,34536,29388,29829,52350,52227,41363,40370
1974-10-01,114879,114910,-362,-362,3573,3553,34543,33838,29005,29453,53086,52945,41542,40547
1975-01-01,114484,114521,-4342,-4342,3505,3486,34294,33589,27779,28207,55225,55074,40443,39474
1975-04-01,114713,114760,-5415,-5415,3472,3451,32939,32264,26331,26742,54503,54366,40270,39298
1975-07-01,113499,113546,-2693,-2693,3523,3501,32877,32206,27793,28223,54638,54512,39673,38711
1975-10-01,112523,112570,-1581,-1581,3554,3533,34541,33821,27228,27653,55740,55622,38533,37594
1976-01-01,113272,113322,-913,-913,3535,3515,35187,34455,26803,27224,55750,55635,40457,39478
1976-04-01,114014,114067,-1629,-1629,3559,3538,36517,35754,28980,29449,56237,56110,40086,39111
1976-07-01,115092,115146,2193,2193,3538,3516,36791,36029,29299,29774,55994,55859,39606,38639
1976-10-01,115326,115391,4662,4662,3529,3507,38073,37296,29331,29806,55525,55364,39883,38902
1977-01-01,112986,113050,4863,4863,3684,3661,38091,37327,29031,29501,54959,54823,38864,37909
1977-04-01,112834,112900,2636,2636,3307,3288,38923,38143,29733,30214,55348,55220,41024,40017
1977-07-01,114225,114293,213,213,3280,3260,40317,39518,28989,29463,55234,55107,40580,39580
1977-10-01,116589,116663,3149,3149,3288,3269,38790,38015,28619,29087,55112,54985,42079,41043
1978-01-01,119423,119499,1672,1672,2993,2976,39080,38326,30446,30942,55686,55571,43560,42484
1978-04-01,119080,119157,3005,3005,3690,3668,39763,38992,30620,31129,55774,55652,43639,42562
1978-07-01,121777,121858,1656,1656,3524,3504,39915,39138,30579,31077,56305,56187,43606,42524
1978-10-01,120964,121044,2532,2532,3686,3663,39851,39072,28788,29252,56570,56429,43752,42661
1979-01-01,123098,123178,3505,3505,3118,3099,36812,36084,30655,31153,56320,56201,45999,44861
1979-04-01,130033,130122,905,905,3534,3513,43395,42558,33260,33810,57433,57314,47062,45888
1979-07-01,124599,124691,4295,4295,3880,3857,41868,41059,33922,34487,56857,56734,47936,46740
1979-10-01,126291,126389,1831,1831,3584,3563,42171,41365,33769,34338,57154,57018,48608,47391
1980-01-01,128436,128541,-2996,-2996,3456,3435,42742,41929,34190,34772,57465,57351,46263,45107
1980-04-01,125085,125194,-1445,-1445,3613,3591,40998,40209,32968,33523,56973,56854,44461,43343
1980-07-01,126726,126835,-3621,-3621,3486,3465,39963,39182,30217,30723,57871,57743,43674,42572
1980-10-01,124309,124422,-5853,-5853,3647,3626,39686,38915,29519,30011,58074,57933,43053,41962
1981-01-01,126574,126694,-5505,-5505,3276,3256,39362,38608,28263,28723,57398,57275,40673,39641
1981-04-01,126512,126635,-5417,-5417,3676,3654,39846,39083,29837,30327,57903,57786,41620,40566
1981-07-01,126598,126723,-1446,-1446,3965,3941,41674,40887,33114,33672,57987,57861,41966,40902
1981-10-01,126245,126374,-929,-929,4043,4019,41468,40688,32078,32629,56876,56741,41460,40402
1982-01-01,126668,126800,1732,1732,3262,3241,40526,39770,31812,32342,57689,57564,41386,40330
1982-04-01,126571,126707,1183,1183,4165,4141,41382,40610,33158,33719,57774,57650,43277,42173
1982-07-01,128702,128840,-3878,-3878,4151,4127,40538,39781,32149,32692,57869,57749,44541,43405
1982-10-01,129796,129938,-5319,-5319,4322,4297,41253,40486,31736,32279,58249,58123,45037,43883
1983-01-01,131753,131895,-1413,-494,3702,3680,41111,40357,33141,33707,58074,57949,46370,45187
1983-04-01,132591,132737,2478,1573,4255,4230,41068,40310,34002,34587,59092,58968,45818,44649
1983-07-01,134749,134897,201,1073,4375,4349,41878,41098,34213,34796,58802,58679,46258,45076
1983-10-01,134800,134949,2086,1200,4323,4296,42519,41726,35420,36023,59234,59104,48413,47172
1984-01-01,135619,135773,-1150,-484,4562,4535,43489,42687,35751,36356,59648,59530,49453,48186
1984-04-01,136699,136860,-32,-487,4227,4202,43391,42588,37293,37935,59082,58960,49645,48369
1984-07-01,135975,136138,-297,98,4315,4290,44712,43887,37558,38209,59519,59399,49723,48441
1984-10-01,138537,138708,3826,3220,4437,4409,45695,44853,39085,39769,59737,59609,50096,48802
1985-01-01,141730,141904,-6388,-3504,4637,4602,46101,45257,39128,39808,60388,60270,53861,52467
1985-04-01,142472,142653,4738,3228,4605,4517,47855,46990,38112,38768,58402,58284,49474,48189
1985-07-01,144493,144683,310,918,4704,4622,46509,45662,37381,38014,59180,59059,49904,48605
1985-10-01,145621,145821,2726,744,4835,4718,46813,45944,38588,39245,59293,59175,49710,48412
1986-01-01,149625,149830,-1479,-473,4564,4447,47801,46937,39544,40205,60765,60639,49176,47891
1986-04-01,151978,152193,2647,2504,4683,4581,48488,47610,40913,41612,60407,60280,47819,46567
1986-07-01,152962,153185,17,102,4785,4641,48537,47659,41193,41908,59884,59758,50498,49172
1986-10-01,153702,153935,-976,-112,4905,4737,49855,48954,41769,42495,59900,59777,52948,51554
1987-01-01,155439,155770,-672,-173,4885,4765,51521,50280,41309,41973,59797,59542,51615,50260
1987-04-01,158041,158407,2257,2386,4960,4773,51092,49855,43360,44067,60756,60473,54107,52682
1987-07-01,161305,161697,-367,691,5097,4904,52972,51694,45361,46106,60539,60248,59096,57537
1987-10-01,164878,165212,267,489,5189,4982,52758,51486,46243,46998,60356,60075,60521,58922
1988-01-01,167118,167485,218,929,5409,5203,51853,50622,46716,47470,60590,60296,63524,61847
1988-04-01,169500,169883,-1886,-419,5435,5097,52917,51653,48645,49433,60505,60208,65224,63501
1988-07-01,173440,173832,1860,2116,5555,5246,53240,51954,49918,50733,59991,59687,65803,64054
1988-10-01,174977,175394,11611,11186,5638,5321,52186,50899,52767,53644,60834,60530,65739,63988
1989-01-01,176456,176901,1117,1739,5599,5308,54584,53240,53460,54330,60394,60084,69251,67398
1989-04-01,177960,178428,3262,3438,5570,5261,53760,52396,52364,53221,60688,60355,67897,66073
1989-07-01,177788,178277,1896,2003,5704,5374,55121,53714,53576,54463,61630,61294,68657,66800
1989-10-01,178541,179012,-1751,-601,5823,5506,56610,55182,52722,53591,61355,61014,67315,65488
