date,health_output_index_old,health_output_index_new
2018-01-01,102,102.3
2018-04-01,101.9,101.8
2018-07-01,101.8,101.7
2018-10-01,100.7,100
2019-01-01,97.8,99
2019-04-01,99.7,99.7
2019-07-01,100.9,101
2019-10-01,101.6,100.3
2020-01-01,101.5,96.9
2020-04-01,50.9,53.4
2020-07-01,60.5,63
2020-10-01,63.4,66.6
2021-01-01,67,72.3
2021-04-01,79.2,90.6
2021-07-01,86.8,101.6
2021-10-01,95.6,113.3
2022-01-01,91.9,110.3
2022-04-01,88.6,103.9
2022-07-01,89,102.3
2022-10-01,89.4,102.8
2023-01-01,88.7,103
2023-04-01,89.3,103.3
