date,cvm_prod_new,cvm_prod_old,cvm_manu_new,cvm_manu_old,cvm_elec_new,cvm_elec_old
2018-01-01,99.1,97.2,100.3,99.3,91.3,94.2
2018-04-01,98.8,97.5,100.4,99.3,85.7,86.6
2018-07-01,98.6,98.3,99.9,99.1,86.9,87.4
2018-10-01,96.8,97.7,97.5,97.7,86.9,87.7
2019-01-01,98.1,99.5,99.4,100.2,88.9,89.8
2019-04-01,98.3,98.9,98.5,98.7,99,96.3
2019-07-01,100.3,100,100.1,99.9,101.4,101
2019-10-01,103.2,101.5,102,101.2,110.6,113
2020-01-01,104.2,102.5,103.7,102.2,107.4,109.8
2020-04-01,91.7,88.7,87.3,83.8,103.5,106.4
2020-07-01,106.5,104.8,107.8,104.2,113.7,106.1
2020-10-01,106.9,109,110.2,110.3,111.7,97.9
2021-01-01,101.6,109,105.4,109.5,117.5,85.5
2021-04-01,99,109.3,104.8,111,122.7,76.4
2021-07-01,96.6,108.8,102.6,110,111.1,62.4
2021-10-01,96.2,107.4,102.5,108.6,107.2,61
2022-01-01,96.2,107.3,101.8,107.4,111.6,64
2022-04-01,95.6,106.3,100.9,106.3,112,63.4
2022-07-01,93.9,104.4,99.2,104.3,110.4,62.5
2022-10-01,93.9,104.5,99.8,104.8,108,62.3
2023-01-01,94,104.6,100.3,105.5,108.1,62.7
2023-04-01,95.2,105.4,102.1,107.2,108.1,62.4
