data,RETAIL_OLD,RETAIL_NEW
2018-01-01,97.8,100.7
2018-04-01,99.9,100.2
2018-07-01,101.6,100.4
2018-10-01,102.2,101.1
2019-01-01,100.6,102
2019-04-01,101.3,100.8
2019-07-01,100.3,99.4
2019-10-01,97.8,97.8
2020-01-01,89.8,89.5
2020-04-01,69,68.3
2020-07-01,85.2,89.7
2020-10-01,82.2,90.4
2021-01-01,78.7,89.1
2021-04-01,87.9,104.3
2021-07-01,86.5,104.4
2021-10-01,85.4,103.8
2022-01-01,83.3,102.4
2022-04-01,82.4,101.1
2022-07-01,81.7,100.1
2022-10-01,82.1,100.3
2023-01-01,82,99.9
2023-04-01,82.2,99.8
