firm,firm_flag,year,fage,sector
5,,2021,10,31-33
4.98,,2020,10,31-33
5.1,,2019,10,31-33
5.13,,2018,10,31-33
5.3,,2017,10,31-33
5.37,,2016,10,31-33
5.32,,2015,10,31-33
5.11,,2014,10,31-33
4.88,,2013,10,31-33
5.09,,2012,10,31-33
4.9,,2011,10,31-33
4.33,,2010,10,31-33
4.54,,2009,10,31-33
5.32,,2008,10,31-33
5.7,,2007,10,31-33
5.93,,2006,10,31-33
5.54,,2005,10,31-33
5.71,,2004,10,31-33
5.39,,2003,10,31-33
5.81,,2002,10,31-33
5.93,,2001,10,31-33
6.03,,2000,10,31-33
6.11,,1999,10,31-33
7.14,,1998,10,31-33
7.46,,1997,10,31-33
7.51,,1996,10,31-33
7.92,,1995,10,31-33
7.89,,1994,10,31-33
7.95,,1993,10,31-33
7.42,,1992,10,31-33
7.68,,1991,10,31-33
8.79,,1990,10,31-33
9.2,,1989,10,31-33
9.32,,1988,10,31-33
9.4,,1987,10,31-33
9.37,,1986,10,31-33
9.6,,1985,10,31-33
9.61,,1984,10,31-33
8.51,,1983,10,31-33
8.9,,1982,10,31-33
9.54,,1981,10,31-33
9.6,,1980,10,31-33
9.32,,1979,10,31-33
10.42,,1978,10,31-33
4.14,,2021,10,334
4.27,,2020,10,334
4.24,,2019,10,334
4.14,,2018,10,334
4.24,,2017,10,334
4.63,,2016,10,334
4.5,,2015,10,334
4.45,,2014,10,334
4.04,,2013,10,334
5.2,,2012,10,334
5.06,,2011,10,334
4.79,,2010,10,334
4.34,,2009,10,334
5.4,,2008,10,334
5.1,,2007,10,334
5.4,,2006,10,334
4.69,,2005,10,334
5.82,,2004,10,334
5.36,,2003,10,334
5.68,,2002,10,334
6.88,,2001,10,334
6.31,,2000,10,334
6.27,,1999,10,334
7.74,,1998,10,334
7.75,,1997,10,334
7.64,,1996,10,334
8.38,,1995,10,334
8.33,,1994,10,334
8.52,,1993,10,334
8.45,,1992,10,334
8.05,,1991,10,334
9.86,,1990,10,334
10.8,,1989,10,334
11.23,,1988,10,334
10.3,,1987,10,334
9.62,,1986,10,334
11.68,,1985,10,334
11.8,,1984,10,334
10.97,,1983,10,334
12.15,,1982,10,334
12.29,,1981,10,334
12,,1980,10,334
11.12,,1979,10,334
12.54,,1978,10,334
3.71,,2021,10,335
4.08,,2020,10,335
4.4,,2019,10,335
4.16,,2018,10,335
3.99,,2017,10,335
3.83,,2016,10,335
4.93,,2015,10,335
3.99,,2014,10,335
4.06,,2013,10,335
4.25,,2012,10,335
4.65,,2011,10,335
4.35,,2010,10,335
3.87,,2009,10,335
4.43,,2008,10,335
4.62,,2007,10,335
4.62,,2006,10,335
5.1,,2005,10,335
5.38,,2004,10,335
4.2,,2003,10,335
5.35,,2002,10,335
4.5,,2001,10,335
5.35,,2000,10,335
5.17,,1999,10,335
6.2,,1998,10,335
5.66,,1997,10,335
5.7,,1996,10,335
6.02,,1995,10,335
6.44,,1994,10,335
5.47,,1993,10,335
5.45,,1992,10,335
4.89,,1991,10,335
5.67,,1990,10,335
6.69,,1989,10,335
6.65,,1988,10,335
7.42,,1987,10,335
8.06,,1986,10,335
8.68,,1985,10,335
8.1,,1984,10,335
7.83,,1983,10,335
7.65,,1982,10,335
7.94,,1981,10,335
7.4,,1980,10,335
7.33,,1979,10,335
8.63,,1978,10,335
4.87,,2021,10,336
4.29,,2020,10,336
4.56,,2019,10,336
4.9,,2018,10,336
4.62,,2017,10,336
4.77,,2016,10,336
4.87,,2015,10,336
4.73,,2014,10,336
4.89,,2013,10,336
4.86,,2012,10,336
5.05,,2011,10,336
5.12,,2010,10,336
5.11,,2009,10,336
6.01,,2008,10,336
6.34,,2007,10,336
6.41,,2006,10,336
6.23,,2005,10,336
6.61,,2004,10,336
5.84,,2003,10,336
6.03,,2002,10,336
5.84,,2001,10,336
5.92,,2000,10,336
6.38,,1999,10,336
6.84,,1998,10,336
7.59,,1997,10,336
7.64,,1996,10,336
7.34,,1995,10,336
7.87,,1994,10,336
7.67,,1993,10,336
6.63,,1992,10,336
7.01,,1991,10,336
8.34,,1990,10,336
8.8,,1989,10,336
9.08,,1988,10,336
8.51,,1987,10,336
9.12,,1986,10,336
9.78,,1985,10,336
9.28,,1984,10,336
8.63,,1983,10,336
7.82,,1982,10,336
9.3,,1981,10,336
9.56,,1980,10,336
9.88,,1979,10,336
10.71,,1978,10,336
6.75,,2021,10,325
6.68,,2020,10,325
6.52,,2019,10,325
5.32,,2018,10,325
6.01,,2017,10,325
5.74,,2016,10,325
5.19,,2015,10,325
4.74,,2014,10,325
4.47,,2013,10,325
5.4,,2012,10,325
5.4,,2011,10,325
4.85,,2010,10,325
4.94,,2009,10,325
5.55,,2008,10,325
6.12,,2007,10,325
6.2,,2006,10,325
5.39,,2005,10,325
5.59,,2004,10,325
4.85,,2003,10,325
5.92,,2002,10,325
5.44,,2001,10,325
5.7,,2000,10,325
5.78,,1999,10,325
6.83,,1998,10,325
7.03,,1997,10,325
6.63,,1996,10,325
6.66,,1995,10,325
6.98,,1994,10,325
6.85,,1993,10,325
6.09,,1992,10,325
5.91,,1991,10,325
7.3,,1990,10,325
7.45,,1989,10,325
7.72,,1988,10,325
7.09,,1987,10,325
7.82,,1986,10,325
7.43,,1985,10,325
7.98,,1984,10,325
6.9,,1983,10,325
7.19,,1982,10,325
7.74,,1981,10,325
7.88,,1980,10,325
6.94,,1979,10,325
7.68,,1978,10,325
