naics4,year,sd,d7525,d9010,d9990,d1001,sd*,d7525*,d9010*,d9990*,d1001*
3111,1987,0.9123,1.323,2.608,0.383,0.7186,0.775,1.013,2.035,0.7452,0.6612
3111,1988,0.9004,1.502,2.517,0.4322,0.434,0.7959,1.153,2.12,0.7347,0.4609
3111,1989,0.8246,1.147,2.187,0.6017,0.7972,0.7384,0.9881,2.014,0.7776,0.6505
3111,1990,0.8256,1.138,2.161,0.6377,0.9278,0.7531,0.9943,1.963,0.6935,0.8617
3111,1991,0.8811,1.36,2.269,0.7603,1.227,0.7991,1.111,1.959,0.9338,1.244
3111,1992,0.9154,1.314,2.384,0.9424,0.7963,0.8186,1.024,2.136,0.9599,0.7536
3111,1993,0.8211,1.115,2.142,0.7963,0.8051,0.7641,0.9946,1.992,0.8009,0.8426
3111,1994,0.8225,0.9582,2.06,0.9936,0.7524,0.7653,0.9163,1.881,0.9269,0.8195
3111,1995,0.8118,0.9871,2.11,0.8757,0.7914,0.7565,0.9949,1.929,0.8217,0.8117
3111,1996,0.9753,1.123,2.581,0.9886,1.287,0.9322,1.071,2.443,0.9415,1.276
3111,1997,0.9458,1.221,2.495,0.8678,0.7934,0.8801,1.122,2.16,1.011,0.8695
3111,1998,0.967,1.487,2.507,0.7961,0.9239,0.8902,1.172,2.28,0.9418,0.9564
3111,1999,0.9314,1.289,2.474,0.6729,1.201,0.8394,1.068,2.078,0.9201,0.9373
3111,2000,0.9065,1.264,2.509,0.6292,0.6538,0.8434,1.028,2.211,0.8979,1.102
3111,2001,0.9585,1.176,2.187,0.7503,1.542,0.8011,1.005,1.89,0.8595,1.48
3111,2002,0.8016,1.229,2.017,0.7562,0.8153,0.7613,1.084,1.843,0.9486,0.9194
3111,2003,0.7798,0.924,1.9,0.8556,1.05,0.7532,1.026,1.979,0.9048,0.8222
3111,2004,0.9148,1.438,2.234,0.5428,1.201,0.8297,1.15,1.987,0.8384,1.157
3111,2005,0.8539,1.21,2.355,0.4253,0.5577,0.7763,1.133,1.95,0.8668,0.5537
3111,2006,0.8276,1.175,2.272,0.6107,0.6041,0.7671,1.184,1.903,0.7815,0.74
3111,2007,0.8767,1.364,2.281,0.6773,0.6276,0.8499,1.393,2.245,0.9081,0.381
