date,value
1953-01-01,4044
1953-02-01,3925
1953-03-01,3939
1953-04-01,3877
1953-05-01,3837
1953-06-01,3863
1953-07-01,3885
1953-08-01,3893
1953-09-01,3911
1953-10-01,3945
1953-11-01,3943
1953-12-01,3949
1954-01-01,3891
1954-02-01,3926
1954-03-01,3949
1954-04-01,3958
1954-05-01,3981
1954-06-01,3948
1954-07-01,3988
1954-08-01,3982
1954-09-01,3976
1954-10-01,4001
1954-11-01,3986
1954-12-01,3973
1955-01-01,3946
1955-02-01,4026
1955-03-01,4039
1955-04-01,4063
1955-05-01,4097
1955-06-01,4097
1955-07-01,4086
1955-08-01,4101
1955-09-01,4144
1955-10-01,4136
1955-11-01,4159
1955-12-01,4164
1956-01-01,4157
1956-02-01,4127
1956-03-01,4126
1956-04-01,4164
1956-05-01,4171
1956-06-01,4201
1956-07-01,4181
1956-08-01,4184
1956-09-01,4171
1956-10-01,4180
1956-11-01,4186
1956-12-01,4214
1957-01-01,4293
1957-02-01,4297
1957-03-01,4274
1957-04-01,4257
1957-05-01,4210
1957-06-01,4239
1957-07-01,4278
1957-08-01,4304
1957-09-01,4289
1957-10-01,4293
1957-11-01,4324
1957-12-01,4322
1958-01-01,4312
1958-02-01,4298
1958-03-01,4297
1958-04-01,4260
1958-05-01,4302
1958-06-01,4311
1958-07-01,4281
1958-08-01,4287
1958-09-01,4290
1958-10-01,4300
1958-11-01,4309
1958-12-01,4336
1959-01-01,4313
1959-02-01,4286
1959-03-01,4307
1959-04-01,4340
1959-05-01,4359
1959-06-01,4350
1959-07-01,4340
1959-08-01,4341
1959-09-01,4339
1959-10-01,4376
1959-11-01,4363
1959-12-01,4311
1960-01-01,4351
1960-02-01,4420
1960-03-01,4401
1960-04-01,4420
1960-05-01,4425
1960-06-01,4428
1960-07-01,4457
1960-08-01,4455
1960-09-01,4490
1960-10-01,4467
1960-11-01,4456
1960-12-01,4483
1961-01-01,4513
1961-02-01,4487
1961-03-01,4499
1961-04-01,4492
1961-05-01,4471
1961-06-01,4448
1961-07-01,4492
1961-08-01,4479
1961-09-01,4513
1961-10-01,4507
1961-11-01,4539
1961-12-01,4544
1962-01-01,4556
1962-02-01,4551
1962-03-01,4524
1962-04-01,4538
1962-05-01,4550
1962-06-01,4561
1962-07-01,4541
1962-08-01,4583
1962-09-01,4569
1962-10-01,4556
1962-11-01,4562
1962-12-01,4584
1963-01-01,4471
1963-02-01,4559
1963-03-01,4594
1963-04-01,4588
1963-05-01,4586
1963-06-01,4593
1963-07-01,4603
1963-08-01,4615
1963-09-01,4622
1963-10-01,4630
1963-11-01,4630
1963-12-01,4635
1964-01-01,4671
1964-02-01,4615
1964-03-01,4643
1964-04-01,4655
1964-05-01,4661
1964-06-01,4642
1964-07-01,4649
1964-08-01,4649
1964-09-01,4657
1964-10-01,4687
1964-11-01,4678
1964-12-01,4669
1965-01-01,4713
1965-02-01,4712
1965-03-01,4706
1965-04-01,4703
1965-05-01,4694
1965-06-01,4716
1965-07-01,4717
1965-08-01,4745
1965-09-01,4766
1965-10-01,4762
1965-11-01,4759
1965-12-01,4769
1966-01-01,4796
1966-02-01,4825
1966-03-01,4801
1966-04-01,4815
1966-05-01,4812
1966-06-01,4827
1966-07-01,4844
1966-08-01,4834
1966-09-01,4828
1966-10-01,4864
1966-11-01,4840
1966-12-01,4854
1967-01-01,4848
1967-02-01,4871
1967-03-01,4891
1967-04-01,4893
1967-05-01,4933
1967-06-01,4963
1967-07-01,4959
1967-08-01,4928
1967-09-01,4922
1967-10-01,4906
1967-11-01,4964
1967-12-01,4965
1968-01-01,4975
1968-02-01,4944
1968-03-01,4965
1968-04-01,4991
1968-05-01,4997
1968-06-01,4997
1968-07-01,4993
1968-08-01,5031
1968-09-01,5021
1968-10-01,5035
1968-11-01,5052
1968-12-01,5027
