year,Catetory,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 35,100,100,92.351074,84.800224,80.189125,8.8207521,26.046318,1.4651299,10.925973,1.970493,24.784403,2.6736007,27.424225,15.486541,22.723682,83.963638,39.288227,81.453117,3.8245943,4.2704215,10.270328,9.567976,46.730167,79.843315,34.771542,1.6184182,60.655293,4.3923373,44.526253,6.1062179,34.771542,0.82820106,37.690712,17.111881,30.699839
1989,35-44,100,100,94.981155,90.41037,86.13195,16.565849,31.5702,4.1356697,16.544249,7.680037,41.31535,3.2558479,49.583302,15.161088,39.157825,91.834229,66.098083,88.873657,12.274095,12.363488,19.449936,13.726357,71.053398,88.623848,57.941097,6.9618125,67.492035,4.7223291,50.478172,8.4806547,57.547234,4.4719243,50.485374,10.91019,30.02001
1989,45-54,100,100,94.928459,90.840057,87.889778,20.077427,22.540968,5.1628942,22.14814,9.5654573,41.27652,3.5517581,52.199417,16.316868,42.179394,93.162743,76.448677,90.852341,20.481977,15.415183,18.163115,14.784612,81.645676,85.197647,58.29073,10.64025,59.202877,3.9964406,49.258904,9.4362183,56.872124,6.2159729,47.563419,7.2639709,21.51763
1989,55-64,100,100,95.029205,87.736588,85.614655,22.430471,20.181763,9.7711554,20.796318,10.201307,43.313778,3.4955218,47.445957,14.910554,36.175053,91.223824,80.100182,86.289444,20.397509,17.403025,13.43095,13.138145,81.899406,70.779381,36.986423,7.375299,38.498386,1.5043948,32.907459,8.0809155,34.106361,5.7717609,27.66641,4.1173697,12.26462
1989,65-74,100,100,97.418457,92.62397,90.47998,31.954756,18.830006,12.391146,18.719015,9.6821804,38.812744,5.5569291,30.130291,13.294604,26.935497,92.683556,77.818398,81.558815,19.714188,15.353035,9.3809404,11.491961,78.581833,49.66634,21.829817,4.1228085,21.432859,0.70988983,27.065018,3.2909787,20.735909,1.2753969,13.980963,0.85542637,11.301595
1989,75 or older,100,100,96.361794,91.363472,90.276268,41.677002,14.017521,8.1354179,18.935913,11.377017,28.673548,5.9180789,6.3435993,8.0349112,25.956274,85.410461,69.895729,66.112839,12.237978,6.7974019,5.4221735,8.0367737,73.468811,20.966803,6.2977443,0.72037345,9.7836657,0.14547892,10.065265,1.8730205,5.7912636,0.50648081,5.0272822,0,6.1866016
1992,Less than 35,100,100,92.856369,85.837959,81.305687,7.4343672,22.871527,1.4701847,10.770651,5.2102666,25.526751,1.7448153,31.943096,12.607925,28.750622,85.630577,36.812218,83.723595,4.6246381,4.2001977,10.618332,8.1383667,44.143021,81.54615,30.932798,3.011729,61.746803,2.8385792,51.753277,6.4106913,30.884703,1.1025271,36.622974,24.274294,26.83782
1992,35-44,100,100,96.682938,91.040977,86.790642,9.001915,29.287355,2.4603951,19.420235,9.9751654,36.036545,3.0263085,50.117867,11.137487,42.609432,92.319115,64.474052,88.712181,11.780482,7.1789279,19.479162,9.265295,70.166649,86.285759,55.491577,7.1078544,57.847214,3.2936897,50.89275,11.474156,55.449902,5.5024099,37.722229,12.715318,24.632431
1992,45-54,100,100,96.803528,92.603882,88.930374,15.857553,25.14189,5.6341171,18.687328,9.4323635,38.433899,5.5195346,51.887066,11.669846,46.844471,94.377274,75.453873,92.955421,16.038675,13.620488,18.217903,9.4572573,77.327057,85.401024,61.43576,9.3700495,49.85268,2.6766462,48.976536,10.35155,59.399601,8.274169,34.567017,5.3526468,20.675625
1992,55-64,100,100,96.911354,92.536697,90.192131,20.459341,19.528238,4.9455366,21.924171,16.01914,42.411545,5.1386857,53.048172,11.458509,45.487907,92.696594,77.507904,87.139671,21.970705,18.66658,18.899292,5.7696419,83.699806,70.154099,40.925941,9.8427715,38.776627,1.6295382,37.096592,9.5896549,40.028805,7.3421025,29.197969,2.9472694,13.321843
