year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 35,64.315628,114.87558,187.83272,45.69453,9.347991,19.392317,2.7204459,39.657902,30.735601,9.5986176,16.66851,249.63237,21.120817,52.354771,35.690292,160.4462,191.52457,16.97591,137.13557,121.62776,316.41736,28.28657,87.652504,73.381157,124.78892,88.002708,18.335503,4.6246181,4.3446474,8.4434299,123.56606,51.340897,14.98888,13.564244,10.263699
1989,35-44,114.5742,342.44974,464.54315,119.58004,18.749216,32.776279,4.4349427,208.19392,57.074219,55.963306,27.195187,319.73288,68.589401,47.01833,80.713501,362.7359,266.61038,24.960487,161.76338,122.87463,451.26096,86.632568,169.6749,111.45841,124.10732,99.304253,22.686686,19.407509,4.693346,16.023634,120.60775,55.965099,18.583624,11.363212,15.622729
1989,45-54,139.32587,650.19373,771.16901,220.37343,40.166664,51.474998,6.452333,250.43199,120.37807,129.56592,31.190577,379.41992,120.45535,72.830276,161.97046,570.90576,296.60809,31.157919,245.36562,491.03476,777.37512,65.376389,330.75644,96.088448,90.577293,78.495697,23.418924,38.714699,4.9562807,30.324621,84.509125,76.191353,19.278858,14.493823,16.926428
1989,55-64,109.96562,710.4859,802.02002,273.68378,52.772594,110.89797,17.153223,201.20245,163.39577,126.75964,33.0509,273.52197,143.66391,53.602264,183.2565,572.25452,261.89026,25.856745,267.42633,494.44034,1030.6488,83.150063,371.254,72.997726,85.896164,115.41632,19.291452,28.399622,4.2098069,26.551943,79.234108,82.228828,18.861309,7.224936,15.582814
1989,65-74,82.42926,673.57446,711.5509,287.47235,53.329597,111.62591,28.537416,265.12476,309.74963,107.24537,21.245302,306.388,113.49488,122.50502,273.71338,460.6142,215.24718,21.251604,214.63206,348.68048,1489.1471,56.884338,346.68912,39.478268,38.026142,53.781433,12.187498,616.73077,2.9305315,39.674553,37.010387,49.129562,11.540276,12.399722,7.8981509
1989,75 or older,58.946293,556.81598,584.05103,291.25662,67.235878,109.08996,32.651676,500.00522,266.03189,240.16571,24.285124,326.15433,76.01062,73.400795,258.28879,347.3812,210.51625,13.623117,152.464,610.87476,1396.6317,57.752621,316.29739,28.550055,45.682571,29.312147,18.360119,140.50491,1.4621143,40.04451,48.553955,12.850226,9.2468004,,21.521183
1992,Less than 35,62.793335,94.055069,161.85883,37.041466,10.836281,26.247322,3.7480342,37.203976,25.837257,15.77611,15.47867,96.198326,27.713274,12.235333,27.644167,138.38583,187.93048,17.282417,157.74547,119.03597,200.50029,15.544383,60.782791,68.968498,131.66028,96.984444,16.170015,4.8744822,3.978364,6.430985,129.94537,53.782669,12.254008,13.784262,8.0135155
1992,35-44,96.635757,276.23959,391.07739,97.420815,18.886778,32.074436,5.5908213,239.70569,46.705181,71.635712,25.330826,123.59366,56.746826,39.088425,64.171371,313.49115,238.04898,21.970762,144.78448,186.54105,419.42896,46.328751,163.39453,118.05602,144.07402,96.469086,17.492786,4.1779952,5.6335778,16.872059,141.07483,31.315184,15.576605,16.810156,8.5488195
1992,45-54,117.4243,557.31146,673.24286,208.50824,30.935572,42.28347,7.3727732,268.48709,167.83374,81.67453,25.402596,182.2502,145.10608,66.055847,169.03233,485.96036,263.8107,23.302778,261.32269,440.35544,703.10767,83.922806,289.78671,110.55069,112.3381,129.27393,14.654641,34.218323,6.182786,19.63833,110.2765,42.44492,14.561202,10.103475,8.3748598
1992,55-64,102.92536,703.19617,788.85388,296.6987,43.031597,64.792778,11.506383,418.73761,211.68706,177.69731,49.041039,235.72166,147.12108,119.55088,223.57869,528.53491,248.26674,25.91757,226.51282,338.47418,832.42786,80.629364,337.67084,87.368828,93.090622,118.13719,16.663,76.413208,4.4938054,22.868881,86.444489,47.609245,15.702498,22.196758,9.175457
1992,65-74,60.068878,597.01166,644.09546,243.52766,42.178822,88.816185,9.2573805,291.35016,272.39047,141.77185,17.981888,242.25229,112.36478,86.425331,232.48193,437.84436,210.85886,18.389328,204.38971,582.81799,1030.0289,121.55772,281.41998,51.064919,70.007439,155.36012,14.300651,106.32541,3.0797479,50.31398,64.100655,57.041424,12.550564,14.330458,13.344857
1992,75 or older,48.366119,443.91153,467.13419,227.55035,52.84544,111.46075,20.339079,321.28574,216.28319,108.49036,12.372471,261.98813,115.2905,61.905945,207.3774,269.54761,190.74947,14.27834,231.16432,461.00397,578.8172,50.785511,177.13918,36.831429,71.210823,442.58847,12.977096,24.656492,3.9761143,10.607876,71.209793,72.078323,7.0648279,2.5692425,20.283943
1995,Less than 35,60.447147,83.768768,152.6664,46.389694,6.9889069,21.558514,3.7311449,37.997421,21.404684,28.629715,34.329838,122.86134,36.4986,20.113821,29.948172,119.15697,161.71417,21.503305,120.29317,76.309776,147.13239,37.335697,40.019302,72.321075,128.5601,84.108521,18.998617,12.905519,5.5146236,13.32456,127.98399,16.910892,16.082392,15.638244,7.0182242
1995,35-44,94.481087,278.81561,391.00986,111.92744,15.639856,35.03706,6.7678013,276.59131,85.889282,80.297485,38.376781,165.42075,69.044838,33.014439,88.182228,300.99127,227.96809,26.759365,158.26645,130.09854,441.14886,43.672035,102.69965,111.87579,142.02112,101.86082,16.484079,8.2670708,6.2674212,15.316837,140.69972,32.983665,15.29516,13.280978,7.7929716
1995,45-54,128.17715,582.01074,712.28882,266.36768,34.180714,82.406197,8.2596827,245.0744,152.46452,184.25203,55.442085,317.99738,169.12193,67.275681,218.71611,475.60211,266.01013,32.525337,229.55925,193.1441,793.65686,76.895706,247.10768,128.75104,131.15446,129.61302,22.671434,35.345463,7.0864568,17.620266,129.32468,38.579674,18.559221,19.687981,15.973693
1995,55-64,104.55344,740.66528,843.9588,330.78177,44.693691,82.296967,14.647441,577.81226,332.40649,257.8215,36.405605,258.80927,181.63704,79.878418,334.84683,545.49078,244.28989,28.93338,252.17543,411.5744,1281.1355,132.42537,314.22018,99.293907,108.7653,129.11902,14.800885,25.989605,5.5933104,65.32785,108.02348,42.015907,13.984254,15.513871,6.894145
1995,65-74,72.623589,677.66766,722.33606,329.41461,48.474556,101.9066,23.62298,503.59073,292.92294,332.83502,38.617802,236.30409,162.29166,114.19417,317.30383,431.5892,208.59532,24.558439,241.3385,350.73654,1095.0548,139.17732,295.2739,52.821342,70.674202,110.70277,15.200586,45.777016,3.5640166,48.999939,71.069641,28.693228,11.295386,10.539261,21.282497
1995,75 or older,51.283436,503.30475,518.00317,275.92252,48.145931,71.985992,27.696272,363.63672,345.00345,315.09311,25.301804,513.11536,114.93043,100.43281,368.767,277.67911,198.81398,17.556616,206.0598,299.84253,796.04333,176.68553,206.67851,22.33927,46.642616,143.58899,10.061962,2389.3931,2.0827305,10.745505,48.159943,42.610802,15.134572,2.2285092,4.3432159
