year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 35,48.104336,18.744404,46.572815,6.9167542,2.3055849,9.2223396,1.1527925,16.139093,6.9167542,2.3055849,4.6111698,36.889359,9.2223396,1.6139094,6.9167542,39.194942,140.64067,12.450158,72.625923,34.583771,46.111698,11.527925,19.84878,26.329779,101.44573,40.347736,11.527925,3.2278187,2.3055849,1.8444679,101.44573,43.80611,11.527925,7.6084299,2.3055849
1989,35-44,84.182587,130.38083,243.70032,33.430981,4.8417282,16.139093,1.1527925,23.055849,9.2223396,9.2223396,6.9167542,41.500526,23.055849,6.9167542,13.833508,195.28304,184.44679,18.444679,115.27924,36.889359,126.80717,16.60021,64.556374,69.859222,92.223396,80.695473,16.139093,6.9167542,2.3055849,2.3055849,89.917809,34.583771,15.378251,4.6111698,4.6111698
1989,45-54,88.993019,226.17787,324.39578,43.114437,6.5709167,20.750263,1.1527925,23.055849,11.527925,27.667017,11.527925,23.055849,39.194942,9.2223396,31.125395,249.00316,195.97472,22.59473,144.09904,80.695473,122.196,18.444679,106.0569,55.334034,59.945206,46.111698,16.139093,2.3055849,2.3055849,6.9167542,57.639622,48.417282,13.833508,9.2223396,5.302845
1989,55-64,60.130417,226.33926,282.24969,60.659935,7.7928767,34.583771,4.6111698,80.695473,46.111698,57.639622,11.527925,161.39095,55.334034,11.527925,41.500526,216.72498,172.91887,16.139093,115.27924,73.778717,247.85037,27.667017,99.140144,21.903055,46.111698,78.389885,9.2223396,4.6111698,2.3055849,6.9167542,46.111698,43.80611,11.527925,4.6111698,2.2825289
1989,65-74,38.483467,178.91338,195.5136,44.843624,7.9542675,46.111698,4.6111698,80.695473,57.639622,41.500526,4.6111698,110.66807,34.583771,18.444679,55.334034,145.59769,126.80717,11.527925,80.695473,34.583771,115.27924,29.972603,92.223396,11.527925,20.750263,32.278187,6.9167542,4.6111698,1.2680717,4.6111698,23.055849,16.139093,9.2223396,9.2223396,1.9597471
1989,75 or older,31.267818,167.27017,189.47296,67.438354,11.527925,66.861961,6.9167542,69.167542,57.639622,69.167542,4.6111698,73.778717,36.889359,23.055849,57.639622,119.89041,126.80717,9.2223396,112.97366,92.223396,205.19705,19.136354,87.612221,6.801475,16.139093,13.833508,6.9167542,2.3055849,0.46111697,11.527925,25.361433,0.023055848,6.9167542,,4.6111698
1992,Less than 35,50.965599,19.248598,48.691288,7.8527651,2.6935606,9.323864,0.82878786,20.719696,4.1439395,5.179924,3.9367423,41.439392,9.323864,2.0719697,7.0446968,36.052273,142.96591,12.28678,66.303032,52.628029,39.367424,8.287879,16.575758,21.589924,105.67046,35.223484,9.4481821,2.4863636,1.9062121,2.9007576,105.67046,18.647728,10.152652,6.8375001,1.9062121
1992,35-44,74.324829,92.617043,203.05302,20.885454,4.1853786,10.359848,1.2431818,41.439392,8.287879,37.088257,7.251894,16.575758,18.854925,6.215909,15.539773,170.81319,186.47728,15.746969,73.554924,62.159092,62.159092,16.575758,39.574623,74.590912,113.95834,55.94318,10.463447,3.7295454,2.4863636,6.215909,107.74242,20.719696,13.260606,5.5943184,2.0719697
1992,45-54,87.066231,162.23523,255.05946,41.439392,6.215909,16.575758,1.6575757,82.878784,20.719696,31.079546,9.323864,41.439392,58.015152,10.359848,31.079546,195.59393,186.47728,17.570303,134.67802,51.799244,145.03787,30.04356,76.66288,56.564774,82.878784,70.446968,9.7382574,10.359848,3.2115531,6.215909,78.734848,29.007576,10.774242,7.4590907,2.6935606
1992,55-64,61.583431,235.79015,292.14774,60.08712,6.215909,31.079546,2.0719697,103.59849,26.935606,51.799244,13.882197,82.878784,62.159092,10.359848,51.799244,220.66478,176.11743,17.197348,103.59849,72.518936,144.20909,20.719696,89.094696,39.574623,62.159092,41.439392,9.323864,8.287879,2.0719697,6.215909,58.015152,20.719696,10.98144,15.125379,3.1079545
