year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,All families,100,100,94.66861,88.889557,85.568451,19.89123,23.915134,5.7122436,16.886478,7.2880511,35.500843,3.6951997,37.171921,14.526415,31.873386,89.273842,63.872189,83.790474,13.196381,11.128879,13.330498,11.850122,68.477264,72.269836,39.458218,5.162756,49.394676,3.163985,39.660522,6.6641712,38.577721,3.1378748,34.666515,8.9312096,21.999836
1992,All families,100,100,95.836067,90.266235,86.909073,16.718626,22.304333,4.2548599,16.993927,10.421227,34.883247,4.0048881,40.08783,11.083944,36.954979,90.796036,63.928921,86.098328,12.69615,9.4874125,14.364156,8.0624208,69.08252,73.246368,39.12677,5.674511,45.965267,2.3643322,43.704102,8.3885651,38.49065,4.2772479,29.786926,10.659254,19.062805
1995,All families,100,100,96.380013,91.249458,87.411339,14.319386,22.77702,3.0861616,15.242877,12.318905,31.967813,3.9183464,45.3353,11.787302,40.477356,90.867554,64.707451,84.088898,11.841956,9.1940193,12.776522,8.3465023,69.544647,74.518913,40.977581,4.7580919,45.953999,1.9064482,47.26017,8.4735775,40.370625,2.8652377,31.685143,11.878087,16.018301
1998,All families,100,100,96.847755,93.063988,90.646553,15.329324,19.310728,2.9960771,19.212788,16.481974,29.598797,5.9569268,48.919521,9.8193922,48.944016,89.875992,66.25621,82.844658,12.975889,8.3680716,12.680449,8.0832558,71.051056,74.038651,43.102303,4.981317,43.767574,2.3157878,44.098862,8.7653942,41.964848,4.463408,31.422525,11.27182,12.491241
2001,All families,100,100,96.746796,93.422394,91.431648,15.663056,16.684528,2.9880893,21.313091,17.658329,27.982092,6.6617441,52.79958,9.7489748,53.007202,90.716789,67.68824,84.795784,11.423995,8.1502657,13.551993,7.0645514,72.131897,75.130112,44.636253,4.6135015,45.20731,1.5486932,44.375858,7.2045946,43.387547,4.7741489,34.938168,11.541894,11.140141
2004,All families,100,100,97.930328,93.812691,91.328865,12.688303,17.611025,1.8184694,20.650303,15.038591,24.17465,7.2533965,49.872021,10.226072,50.305672,92.534302,69.052765,86.335678,12.602117,8.2377329,13.333952,7.4872918,72.936485,76.431732,47.889683,4.0052176,45.995434,1.5631622,46.172958,7.6234727,45.947506,8.5708723,35.60038,13.402537,8.5632801
2007,All families,100,100,97.737991,93.856926,92.123337,16.117458,14.863333,1.6054782,17.932287,11.386366,22.999508,5.823174,52.957092,9.5353355,53.162918,92.015335,68.636124,87.029854,13.644107,8.1992617,13.555724,6.9378257,72.200958,77.032646,48.656178,5.5404177,46.932377,1.7281523,46.060528,6.8223777,46.259674,8.5280151,34.905636,15.17323,10.305611
2010,All families,100,100,97.446075,94.049973,92.499245,12.184711,12.004448,1.6307288,15.089491,8.6859293,19.697063,5.660192,50.37532,8.5174665,49.838985,91.335625,67.286926,86.711739,14.384837,7.6241455,13.234112,6.4790497,70.09127,74.943619,47.000816,5.3592515,46.360527,2.0546775,39.422447,6.4335599,45.216179,7.1698627,30.196466,19.06151,11.617617
2013,All families,100,100,97.946388,94.504631,93.189278,7.7511597,10.036236,1.4210887,13.750362,8.176466,19.180679,5.2201114,49.231594,7.6614442,48.8465,91.043556,65.152313,86.291718,13.302573,7.1182141,11.682937,6.5749645,67.559296,74.544548,42.918037,5.2782664,47.178696,1.8712094,38.143238,6.6059432,41.489803,4.9544907,30.948587,19.921888,10.264139
2016,All families,100,100,99.390274,98.452156,97.963348,6.5080695,8.6381969,1.2222096,13.936595,10.027439,19.39665,5.452209,52.059692,8.5938234,51.883278,90.790329,63.718567,85.227867,13.825969,6.178412,12.984013,5.9789023,67.411957,77.115601,41.866486,5.6213408,50.19397,1.8224679,43.898861,5.3592062,39.997791,4.420609,33.83778,22.271427,11.263015
2019,All families,100,100,99.564888,98.675301,98.221321,7.6858897,7.5032644,1.0672174,15.181551,9.0483131,18.963139,5.8740869,50.563442,8.1425333,52.64996,91.320671,64.898628,85.38623,13.133123,6.7261758,13.415948,7.1484256,68.484276,76.627197,42.086529,4.7280555,51.457775,1.5054994,45.393166,5.2286897,40.007595,4.4781365,36.888672,21.368837,10.734108
2022,All families,100,100,99.68367,99.042038,98.643982,6.4733486,6.4345365,1.1116838,20.965885,11.504745,16.084932,6.1763577,54.364567,6.7888575,57.988316,92.295403,66.050011,86.643509,12.958402,5.812726,14.581451,9.7747583,72.483398,77.428352,42.185562,4.395103,53.059597,1.6016012,45.222721,5.0741124,40.920395,3.4793272,34.733418,21.702951,18.565014
