year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,All families,94.574516,436.60382,524.797,174.03867,33.446129,76.25795,9.5346918,252.52876,138.94899,114.84761,25.79538,306.48694,87.721466,63.914989,137.39452,383.22064,244.93005,22.675438,211.1763,345.98346,696.0025,63.471527,255.86497,83.318573,104.72509,89.572075,20.301844,35.24535,4.3532643,20.969419,101.63206,67.412567,17.182499,12.683051,13.357857
1992,All families,82.967361,387.60208,472.80167,159.22688,28.637663,68.445335,7.2882595,282.17752,138.39568,104.38136,25.021854,193.66125,92.160141,53.576462,131.10368,340.74881,227.55383,20.491711,206.40442,356.71329,568.45837,56.660019,216.80417,89.441238,120.48184,118.21049,16.164885,23.070869,4.7927804,18.997213,117.7422,42.57198,14.036489,14.625057,8.8668575
1995,All families,86.453712,412.48322,500.961,195.20978,28.272114,70.065765,10.165882,364.28244,182.08076,182.05005,39.628059,263.25009,110.88874,54.194656,176.48631,335.32141,222.7661,25.79052,210.56781,250.23891,659.54651,79.742081,191.67839,94.396202,125.09599,116.43296,18.27549,21.069191,5.7873278,23.681061,124.51538,34.680237,15.912468,15.470645,9.4817381
1998,All families,96.718536,517.17065,622.43976,264.96609,30.656502,68.590843,8.5852833,351.53415,289.76752,184.15785,52.424809,366.89606,139.08316,47.430653,270.91345,396.35828,252.8092,27.756142,239.57846,322.707,804.21967,70.073189,254.52654,115.68055,141.60815,129.68245,25.946375,12.32375,7.5129175,36.47805,141.81465,34.145939,19.562281,23.740738,20.27919
2001,All families,115.78185,665.54028,782.24689,345.00406,40.761478,62.706985,13.166472,484.85715,321.72302,220.35344,60.413231,520.48199,175.58702,69.427361,344.76797,478.94965,303.35107,30.706142,312.58823,437.97958,922.7887,94.194542,306.79001,121.46726,153.80103,122.58375,24.958712,29.889397,6.9306154,29.571302,153.42163,43.675411,18.820663,23.142538,18.28056
2004,All families,111.00073,705.73792,847.54053,317.15918,42.721703,86.202599,9.0473547,858.86505,251.19156,287.92923,36.238846,325.3176,193.41158,62.402939,303.46115,575.42297,387.90799,31.582079,429.97977,460.4209,1029.7271,105.74934,360.92426,162.57817,194.7686,269.5715,29.496252,57.047134,8.0708838,26.3015,191.34624,62.481857,21.204332,26.420475,28.926924
2007,All families,120.4231,796.78424,957.36469,341.49707,37.930645,79.607796,9.4237709,821.46124,315.48257,442.26285,44.669868,354.30432,210.80406,91.068077,323.33929,668.57373,432.98138,31.488924,505.77179,403.60974,1344.2747,90.471512,472.70364,180.34531,213.10007,254.45599,30.286798,34.463985,10.491203,21.961277,213.80458,56.062778,20.861685,30.80146,21.918488
2010,All families,106.95407,675.95251,830.51642,325.38681,44.048668,99.063599,8.3524504,801.86768,277.71838,527.95764,38.692669,330.45242,233.35765,87.906548,287.33588,551.02209,356.55432,30.185158,394.44345,440.25272,1067.0002,87.626785,283.203,177.93797,210.4034,243.28856,32.07019,65.513687,9.6708422,21.712873,206.91309,74.382507,19.219614,35.326481,20.060091
2013,All families,110.28832,672.59277,805.13837,341.00781,46.008083,82.013443,8.1355915,732.46295,362.04254,577.89392,44.878448,469.69138,256.02344,73.182632,338.23663,512.21179,334.20999,28.759729,401.68021,342.44968,1198.8386,89.785225,285.02206,155.62672,199.36929,197.51398,32.17701,44.668144,7.2923479,18.505541,198.94955,60.987267,18.541059,37.05254,20.078943
2016,All families,126.14992,850.4198,974.16254,418.68814,49.372322,93.284752,11.733909,944.06677,403.35138,948.53516,46.122215,580.20618,282.1033,75.031509,422.8844,612.41687,371.45721,31.212585,446.16989,585.29144,1458.7756,91.482285,387.31882,152.7616,194.3271,196.5,38.533211,68.435959,7.042779,32.07365,196.61354,61.458721,21.207106,42.295708,24.376034
2019,All families,123.17103,865.71893,994.77417,420.70322,48.224483,118.18576,9.8165493,756.70105,398.43524,985.83167,47.470482,592.77612,295.74252,83.73526,430.51807,629.995,398.95328,30.756172,467.97443,434.7601,1438.5833,90.046684,410.92892,162.77106,209.2442,234.45967,39.0686,46.448296,7.2698927,28.204966,213.63889,57.877789,20.347282,47.005589,23.788115
2022,All families,141.38989,1059.4702,1190.0984,507.93439,62.410011,98.975464,35.613617,957.60706,401.04883,956.9364,55.27002,504.30441,333.94452,94.255493,489.49066,740.30249,471.05899,40.107441,519.39063,471.75067,1607.2432,84.856468,506.50839,163.84637,212.49788,241.58803,36.811749,126.68851,6.1207852,44.793617,215.29826,44.334057,21.240486,46.980682,10.549006
