year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,All families,60.130417,108.50082,187.90517,26.744783,4.8417282,27.667017,1.3833508,64.556374,18.444679,29.972603,6.9167542,64.556374,25.361433,6.9167542,20.750263,154.47418,161.39095,16.139093,115.26772,46.111698,115.27924,18.444679,71.473129,34.583771,73.778717,59.945206,11.527925,4.6111698,2.0750263,4.6111698,71.473129,43.80611,13.833508,6.9167542,3.0203161
1992,All families,55.21273,102.97689,174.04546,24.097008,4.7655301,22.791666,1.2431818,62.159092,16.575758,33.151516,6.4231062,41.439392,29.007576,5.3871212,22.791666,143.38031,165.75757,14.089394,103.59849,62.159092,82.878784,14.503788,55.94318,35.762196,90.130684,51.799244,9.5932198,4.1439395,2.0719697,5.179924,84.95076,24.863636,10.98144,6.8375001,2.2791667
1995,All families,59.463501,111.86767,197.02644,30.192657,4.0643964,19.354267,1.9354268,56.514462,17.41884,38.708534,9.6771336,58.062805,32.902256,5.8062806,28.063688,160.83397,172.25299,19.160725,96.771339,61.933659,58.062805,19.354267,50.321098,41.99876,98.706764,58.062805,11.709332,6.773994,2.9031403,3.8708537,98.706764,23.225122,13.160902,7.5481644,2.7870145
1998,All families,60.985863,130.733,224.817,41.170868,5.5064669,27.35,1.8233334,82.050003,32.82,45.583332,13.310333,58.346668,43.759998,5.4699998,45.583332,178.32201,182.33333,20.056667,118.51667,72.933334,91.166664,18.233334,56.523335,59.076,113.04667,74.756668,15.954166,4.5583334,3.0996666,5.4699998,113.04667,23.703333,15.316,12.763333,3.0996666
2001,All families,67.150139,145.20821,248.0961,47.375977,6.5958071,25.110941,1.6740627,75.332825,33.481255,58.592197,16.740627,117.18439,49.217445,7.5332823,58.592197,190.50835,205.90971,22.616587,133.92502,82.866104,117.18439,20.088753,66.962509,64.786224,117.18439,66.962509,16.238409,6.5288448,3.1807191,5.0221882,120.53252,25.110941,15.401377,13.392502,3.3481255
2004,All families,67.754669,146.28568,272.14478,36.626411,5.9708438,23.56912,1.5712746,102.13286,23.56912,64.422264,9.4276485,70.707359,55.308868,6.2850986,51.655655,232.07727,251.40395,21.997845,157.12747,94.276482,117.8456,23.56912,85.163086,86.891487,149.27109,136.7009,18.446764,4.7138243,3.3782406,6.2850986,149.27109,34.568043,17.284021,14.455728,3.9281867
2007,All families,67.695961,173.15108,317.28146,41.212818,5.7526226,28.620012,1.4310007,114.48005,24.327011,80.13604,11.448006,100.17004,64.395027,8.5860043,48.654022,253.85951,286.20013,22.18051,214.6501,103.74755,131.65205,20.03401,107.46815,96.306343,153.11707,143.10007,18.603008,5.4378023,4.2930021,7.1550031,155.97906,34.344017,16.513748,17.172009,4.1499019
2010,All families,62.456699,105.16605,254.58377,29.364544,4.7802749,27.315855,1.3657928,187.1136,27.315855,109.26342,9.9702873,95.605492,60.094883,6.8289638,39.60799,210.60524,232.18477,20.486891,163.89513,88.776527,106.53184,20.486891,50.535698,96.424973,148.87141,132.4819,17.345568,8.1947565,3.5510612,6.1460676,148.87141,35.510612,13.657928,17.755306,4.6436954
2013,All families,59.436657,103.60861,226.23334,27.047703,5.2186155,20.365328,1.272833,120.70276,34.366493,101.82664,10.182664,127.2833,75.097153,5.7277489,45.567425,188.37929,216.38162,20.365328,156.55847,76.36998,85.916229,17.819662,42.00349,76.879112,146.37579,114.55498,18.965212,5.6004653,2.927516,5.091332,147.64864,31.820826,15.273996,21.638163,4.2003489
2016,All families,64.963905,119.99466,233.72379,28.984217,5.550169,24.667418,1.2333709,123.33709,30.834272,140.60428,10.483653,135.67081,74.002258,6.7835402,49.334835,196.35265,228.17361,20.967306,185.00563,80.169113,97.436302,18.500565,53.03495,74.002258,136.90417,123.33709,20.967306,3.7001128,2.8367531,6.1668544,140.60428,38.234497,16.033821,23.434048,4.1934609
2019,All families,68.454353,141.14484,263.71921,30.139338,6.1437879,28.980133,0.92736423,140.26384,28.980133,127.51258,10.432848,127.51258,75.348343,5.216424,46.368214,225.2104,260.8212,19.70649,185.47285,81.144371,103.16927,17.388079,62.944847,75.348343,156.49272,129.83099,20.865696,2.3184106,3.1298542,5.7960267,162.28874,27.820927,15.069669,25.502516,4.4049802
2022,All families,70.25927,192.7,332.39999,38.84,8,26,2,211,15,150,9.6999998,140,87,10,52,282,323,28,225,133.2,90,13,109,80.220001,156,122,20,3,2.7,4.3000002,160,27,15,24.5,2.3
