year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,No high school diploma,100,100,89.653542,76.393326,71.049408,16.719471,9.6099272,1.036406,5.1265826,2.2148352,26.909182,1.0070753,14.889137,8.4072332,10.017832,83.700775,61.771935,71.76712,8.7151899,7.3261461,7.6877213,5.8118796,61.944534,55.62167,22.566029,1.3944625,38.748764,1.1935813,23.702148,3.1234725,21.833422,0.8008585,23.412769,1.5059451,23.071257
1989,High school diploma,100,100,93.340355,86.77626,82.202682,17.352741,23.287727,3.4279959,11.681329,5.3893528,33.323059,3.2533121,33.398315,13.840589,26.467588,87.41243,59.825142,83.339691,12.656414,8.3889256,11.522842,10.213176,64.112015,70.307388,35.430527,4.3361068,50.364487,2.6138828,40.765774,5.53339,34.573547,3.1971476,37.49506,6.9797325,21.292803
1989,Some college,100,100,97.100006,94.999825,92.850464,20.857439,28.260963,4.9080877,18.4011,6.8200064,37.817085,3.0830767,40.417953,14.928931,37.305553,91.340096,63.061878,87.941856,10.255274,12.284128,14.914507,13.295969,70.780731,83.396309,48.543846,4.4698095,57.337074,5.0680799,50.486092,7.5083723,47.879295,3.937849,40.298012,12.688866,25.336983
1989,College degree,100,100,99.609993,99.50206,98.99781,25.866488,35.908012,14.458217,35.035393,15.620993,45.452194,7.6494775,62.809204,21.510679,57.405514,95.855293,72.372643,93.327225,21.2001,17.875801,20.333157,19.150684,79.315651,82.610802,54.699501,10.84777,52.205032,4.3126845,45.30228,11.184614,53.442757,4.7944841,37.566635,16.08815,18.9335
1992,No high school diploma,100,100,88.143318,73.658501,67.591858,14.713295,8.2264986,1.2340039,4.4676065,2.578922,18.646946,1.6389635,13.767992,5.8656116,10.895611,80.19043,56.716049,70.213425,4.9494038,4.9717345,5.1300702,2.3021541,57.911812,52.742088,18.357206,1.5773764,32.378445,0.62532634,27.410383,6.219286,18.126699,0.60990542,19.629179,2.4227583,17.642069
1992,High school diploma,100,100,95.547699,89.695091,85.822495,16.781425,19.494629,2.0500643,11.084713,7.1203723,34.70401,2.8680878,35.114441,10.904047,29.776215,90.82975,62.654869,86.401329,8.9776182,9.3348007,11.249405,5.2401052,66.425835,73.832222,36.465546,2.7895293,48.620884,1.474275,46.745342,7.9497142,36.362137,2.4041011,32.670788,7.3592267,19.868643
1992,Some college,100,100,98.671959,95.783508,92.383301,16.122602,27.317253,3.9856217,19.011902,11.227256,39.64333,4.2543802,43.485828,15.130322,41.598042,92.863487,63.189278,88.813805,14.971575,8.8640652,14.726775,10.185374,70.819107,79.210663,42.886444,6.2013092,50.655312,3.0824523,49.774376,7.0231462,41.485577,5.294126,30.550772,13.391312,21.168547
1992,College degree,100,100,99.558022,98.732185,97.975662,18.612524,31.747564,9.1109104,31.080915,19.173538,43.256065,6.7940731,62.243797,11.883932,60.322903,96.938812,71.247871,95.329971,20.651411,13.494702,24.299343,13.693534,78.844734,82.971809,54.364693,11.428189,49.34219,4.0437059,47.551647,11.569989,53.462639,8.2148743,33.537567,18.152723,17.540199
1995,No high school diploma,100,100,89.789215,75.963707,70.002525,12.674181,8.605689,1.1521109,4.5364666,3.5782731,20.69869,0.71879584,18.678125,6.6042619,15.374829,80.86322,58.85675,71.788689,7.2063646,7.0256872,6.0220561,2.7516811,60.00478,54.606209,23.542351,2.8087261,32.638184,0.6993072,32.38678,5.3739924,23.306946,0.36629373,21.5846,2.394716,15.057685
1995,High school diploma,100,100,96.163467,90.818459,85.615349,12.198555,22.552605,1.4760722,10.712246,7.6056376,31.970703,3.3237433,41.314579,10.328789,32.926826,90.833893,65.301132,85.736473,11.044324,7.8786297,10.281139,5.4674001,67.966911,74.737885,40.114643,4.0456948,46.720268,1.2484843,49.81155,8.2734318,39.218781,2.5392799,35.382969,8.5940905,16.406244
