year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,No high school diploma,45.012268,191.84114,236.06532,62.897934,15.52159,77.232147,5.3375034,98.904472,85.747086,69.995483,12.99065,203.26773,65.117241,16.494427,61.889729,195.44753,144.45782,14.859099,129.74161,255.8259,423.40128,18.813904,157.51068,35.597248,57.509937,53.78495,12.589799,9.1078329,3.2619016,9.983201,57.807247,44.503326,14.827968,6.7870188,5.6544156
1989,High school diploma,69.032722,259.60333,322.75143,92.779404,22.278257,87.279251,14.081359,125.26011,57.411003,71.388634,17.048784,78.16227,50.545574,27.596571,57.633892,252.53482,188.81851,23.077028,150.14838,168.26582,456.33636,27.920147,154.80544,59.245518,77.079536,59.616371,18.378199,7.2337279,3.7405605,14.262913,73.270424,61.852097,18.54546,8.3511314,8.075819
1989,Some college,94.423584,426.11237,510.68243,148.78354,29.090725,74.259789,4.8044734,395.48892,112.84035,42.878258,22.299255,200.78972,61.224438,100.6003,82.627457,388.14127,262.49799,23.117878,250.48199,341.58218,626.38239,57.1022,254.71349,83.649162,102.62641,96.986023,19.690477,24.898403,4.4469013,10.781766,97.307091,81.995506,16.786036,10.608801,12.548333
1989,College degree,181.77733,946.14478,1070.0271,382.27701,63.283447,66.78701,9.892952,263.21429,196.69835,169.7708,45.129074,492.32632,135.6046,93.264091,233.21498,715.12006,385.19266,28.08923,279.8486,502.56119,1036.2247,107.72048,449.94147,144.90738,151.46036,108.25768,29.433472,76.938766,5.6204767,34.757221,149.09784,66.035721,17.205894,17.292795,32.323593
1992,No high school diploma,36.11652,145.21091,184.54671,56.07386,15.031748,79.347214,3.1841424,206.12798,69.386101,125.37274,15.060439,54.710125,32.029358,37.759293,47.320396,151.34277,122.0249,13.533168,119.97546,227.23679,485.41376,22.364918,112.49818,33.094402,65.062775,52.892109,9.7863169,16.734409,2.9653893,9.4952717,64.457802,42.569729,9.9113255,5.3858967,6.1934795
1992,High school diploma,62.332329,231.55074,287.36459,87.036102,18.766752,60.922699,5.0596018,135.57846,77.532173,76.720879,19.392218,124.60291,57.790508,30.429773,65.75399,216.34227,172.67921,17.530174,147.22585,219.71494,338.31549,26.318146,128.97313,58.266579,87.63208,84.514244,12.149364,8.0489454,4.0665641,9.8082008,85.251381,39.77771,11.805819,8.2851,7.2493882
1992,Some college,78.64222,349.14169,423.633,117.69122,23.699108,57.570461,8.9102335,180.74518,94.521233,70.73436,21.985359,131.75473,56.973129,45.649635,81.372459,328.73868,223.31078,20.738106,181.9762,380.46835,549.47388,37.917072,197.7346,86.939438,115.87791,114.76342,14.301807,10.833014,4.4854531,31.914524,114.50813,41.395943,15.184308,9.0594406,6.5782685
1992,College degree,143.60666,768.04962,894.89948,320.10696,48.758892,77.050743,8.445055,361.48099,191.00412,129.35094,35.364021,281.44174,142.92712,90.640572,205.07794,593.04999,345.35266,27.025639,264.0379,482.8317,706.92572,84.807182,367.97293,148.11609,161.28246,135.35611,25.115919,37.275665,6.6094403,23.355034,157.23146,44.074032,17.351656,21.644213,15.076265
1995,No high school diploma,40.509834,162.32056,205.34364,60.371532,11.473618,68.703133,12.765817,392.07269,92.56144,79.674088,31.73461,86.053688,41.686104,22.440296,46.629448,171.29665,133.5761,17.658792,133.59785,161.14983,425.4892,23.541555,119.35878,40.390797,62.591061,41.341007,12.402761,8.0591955,4.6094909,10.458878,62.670094,35.196522,14.001496,7.5791621,5.6075644
1995,High school diploma,67.772751,257.94312,323.87399,106.00146,17.906788,52.848598,8.0508509,302.4704,115.01404,103.55569,31.273666,129.30647,71.208893,41.614506,87.465836,236.89346,175.41527,25.436647,152.30092,157.13327,462.71692,37.491219,125.20568,71.590645,93.140846,114.43748,16.420284,20.396681,4.5616817,15.881291,92.799622,38.130413,16.026562,8.3851538,7.8037343
