year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,No high school diploma,31.267818,55.749043,101.46879,9.2223396,2.3055849,46.111698,1.6139094,64.556374,16.139093,27.667017,2.3055849,57.639622,23.055849,4.6111698,17.983562,94.528976,103.75132,9.2223396,78.389885,23.055849,57.639622,6.9167542,58.792412,11.689315,34.583771,25.361433,6.9167542,4.6111698,1.3833508,1.6139094,34.583771,11.527925,11.527925,4.6111698,2.0750263
1989,High school diploma,52.914768,84.61496,158.62424,18.444679,4.6111698,34.583771,1.2680717,57.639622,13.833508,23.055849,4.6111698,23.055849,18.444679,4.6111698,17.291885,129.11275,138.33508,16.139093,74.931503,32.278187,92.223396,9.2223396,64.556374,25.361433,57.639622,32.278187,9.2223396,4.6111698,2.0750263,2.3055849,55.334034,41.500526,11.527925,6.1789675,1.9136354
1989,Some college,69.751289,107.57859,190.62575,25.015594,4.6111698,18.444679,1.3833508,69.167542,11.527925,13.833508,6.9167542,32.278187,18.444679,6.9167542,16.139093,166.00211,172.91887,16.139093,119.89041,69.167542,103.75132,23.055849,71.473129,41.500526,71.473129,55.334034,13.833508,4.6111698,2.3055849,6.9167542,69.167542,57.639622,13.833508,6.9167542,4.6111698
1989,College degree,108.23476,293.33957,420.49255,78.389885,12.450158,23.055849,1.1527925,57.639622,23.055849,43.80611,11.527925,138.33508,39.194942,9.2223396,34.583771,284.97028,276.67017,20.750263,154.47418,85.306641,214.41939,29.972603,110.66807,95.79705,112.97366,80.695473,16.139093,4.6111698,2.5361433,4.6111698,108.36249,36.889359,13.833508,9.2223396,6.801475
1992,No high school diploma,25.4828,38.745834,76.248482,5.179924,2.0305302,41.439392,0.62159091,62.159092,9.9454546,26.935606,3.5223484,37.295456,14.503788,2.4863636,10.359848,75.212502,93.23864,8.6815529,82.878784,16.575758,124.31818,9.323864,45.583332,10.670644,45.583332,31.079546,4.1439395,3.3151515,1.4918182,4.1439395,45.583332,39.367424,6.215909,5.179924,2.0719697
1992,High school diploma,48.842033,79.563637,138.20038,16.368561,3.7295454,24.863636,1.0359849,26.935606,9.9454546,25.899622,5.179924,35.223484,20.719696,4.1439395,12.431818,113.33675,134.67802,12.431818,82.878784,62.159092,68.375,10.359848,41.439392,22.998863,62.159092,45.583332,8.287879,2.9007576,2.0719697,4.1439395,60.08712,24.863636,9.5310602,5.3871212,2.0719697
1992,Some college,61.583431,119.13826,202.1828,24.449242,4.7655301,16.575758,1.3467803,51.799244,12.431818,31.079546,6.215909,41.439392,24.863636,4.1439395,19.476515,163.47841,186.47728,15.125379,103.59849,62.159092,62.159092,10.359848,53.871212,39.574623,95.310608,74.590912,9.7382574,4.5583334,2.0719697,6.215909,91.166664,20.719696,14.089394,5.5943184,2.113409
1992,College degree,97.684067,227.70947,348.09091,66.613823,10.359848,20.719696,1.9683712,72.518936,26.935606,41.439392,10.359848,51.799244,47.655304,14.503788,38.115955,249.87955,248.63637,18.647728,103.59849,82.878784,103.59849,20.719696,87.022728,89.094696,124.31818,53.664017,15.353295,5.179924,2.9007576,6.215909,124.31818,29.007576,13.260606,8.6815529,3.1079545
1995,No high school diploma,27.749634,44.514816,96.771339,7.7997699,2.3225121,19.354267,1.9354268,48.38567,9.2900486,30.966829,7.3546219,27.095976,18.386555,5.8062806,9.6771336,93.926262,110.31933,12.580275,69.675362,15.483415,154.83414,15.483415,40.643963,16.122105,44.514816,15.483415,7.3546219,7.3546219,1.9354268,2.9031403,44.514816,32.902256,10.064219,8.9029636,1.5676957
1995,High school diploma,49.552917,100.11963,174.18842,20.321981,3.0966828,19.354267,1.3547988,38.708534,12.580275,22.644493,9.6771336,50.321098,29.031403,3.8708537,19.354267,146.8989,145.15701,19.354267,82.255638,29.031403,77.417068,9.6771336,50.321098,35.340893,77.417068,67.739937,11.612561,9.6771336,2.3225121,3.8708537,77.417068,23.225122,13.547988,4.8385668,2.7095976
