year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Single with child(ren),100,100,80.383904,72.432449,66.244583,8.7462854,16.939554,2.6193228,7.473361,3.5266695,20.046904,0.69405782,19.915882,14.205385,16.241001,71.124695,42.704407,62.164253,6.2914257,5.0930548,5.4185591,8.2958393,44.565178,70.963531,30.8456,3.5359688,50.513184,2.2063985,35.600224,5.632905,30.8456,0.84397417,26.925104,16.95472,25.212114
1989,"Single, no child, age<55",100,100,89.305893,83.6763,78.024269,10.742136,13.531406,1.9567872,12.710537,4.6452646,19.397282,2.6275144,28.944872,20.994175,24.906061,78.175537,28.169674,73.570419,6.3608332,6.0044646,10.517866,12.534575,40.668793,70.803802,19.579779,2.5206134,51.764278,4.6469884,34.996735,4.9552197,19.423147,0.74005949,30.048382,15.227896,20.991335
1989,"Single, no child, age>=55",100,100,92.582642,85.30027,82.341644,26.145451,11.991113,7.3417649,13.021212,7.2437062,22.73834,4.5733638,17.017143,12.904238,20.544746,80.403069,59.189774,61.192795,11.470469,7.36412,5.1274343,10.234922,63.194824,37.232815,15.001178,1.9436932,16.823845,0.44133884,19.947363,1.6345562,13.585579,1.8539965,8.84515,1.3397495,8.2838125
1989,Couple with child(ren),100,100,99.186211,92.92215,89.916145,16.347382,36.055645,3.6798224,16.919811,6.6289325,45.779118,4.1960611,49.453335,12.68152,37.609749,97.66449,77.471741,96.336433,13.337683,12.750341,18.262699,11.163692,80.789948,91.519928,63.264977,6.4027534,66.038254,3.6521661,53.808468,8.8221664,62.207272,5.5856938,50.652779,8.8494205,30.413509
1989,"Couple, no child",100,100,99.629578,96.66748,95.662071,33.443798,23.044264,12.131018,27.167727,12.153995,46.559269,4.5226741,45.374695,14.262429,43.028061,98.551445,80.618462,96.843636,22.449026,17.712429,16.843622,15.388212,83.539597,66.540031,35.616158,8.0332823,42.316063,3.6728182,35.366783,8.3189859,34.443748,2.8475261,33.382416,5.8404713,16.758745
1992,Single with child(ren),100,100,86.150597,75.895164,67.750763,6.5184975,17.769957,1.1791317,7.9775586,4.1165581,27.629843,1.6229756,24.187958,11.032427,19.509388,75.190544,42.912079,66.45137,3.9015362,2.726114,4.9561138,3.2888131,47.619812,75.727379,28.910767,2.0395482,51.639668,1.8069688,43.389408,7.8026357,28.229252,1.2797699,25.010281,15.079023,27.336069
1992,"Single, no child, age<55",100,100,93.637947,87.78656,83.135368,8.2820578,14.034434,2.1482861,12.20751,5.4263,21.932783,2.4706481,31.426283,16.199636,29.344427,84.073517,35.637142,79.861191,8.1840973,6.3774009,11.8004,10.003489,45.971157,72.962051,26.051645,4.215519,48.880169,2.464005,41.239765,7.7946014,25.493925,0.78385401,23.84807,15.640345,22.725639
1992,"Single, no child, age>=55",100,100,94.924446,89.18895,87.033234,29.124804,12.278363,4.5823193,15.271992,12.669861,27.481552,4.3401155,18.752171,8.2429848,26.212767,84.798866,65.944458,70.52198,9.8492727,8.402113,4.3903089,6.0529137,71.494652,40.047905,13.68736,1.7140598,15.319203,0.60001618,25.243362,3.6800601,13.379332,1.4364401,9.2199392,0.20178127,6.7257457
1992,Couple with child(ren),100,100,98.339073,93.322624,90.709389,13.710238,33.252296,4.0212917,19.861374,10.367964,41.488071,3.6037452,51.620178,9.3559742,44.328754,97.234085,74.628159,95.72506,13.258793,9.8596401,20.583632,7.9256148,76.521919,90.918213,63.674881,7.2037454,60.454979,2.8180022,55.89814,10.684953,63.157608,6.9377828,44.033001,13.476667,23.365694
1992,"Couple, no child",100,100,98.861954,94.95269,92.862061,23.130156,21.348614,7.1151047,21.412521,15.184802,42.339848,6.3992267,50.706367,11.837777,46.579353,97.331856,76.286797,95.812202,20.593102,14.725432,18.154057,10.375574,82.368248,69.310753,35.284573,8.6694698,41.169743,3.0363088,40.629383,8.8909578,34.257793,6.110611,29.548534,8.1446838,14.852689
1995,Single with child(ren),100,100,86.406822,77.546669,71.373062,8.3694201,14.342142,1.2729119,7.3599629,5.5547071,23.944609,3.7879567,26.671438,10.969118,24.1695,75.350792,46.759914,69.12571,5.8101339,4.3534093,5.0080886,4.9018226,49.588032,74.351791,32.240322,1.7527515,46.397594,1.6980585,43.92868,9.5805922,31.971292,0.93600887,24.017368,13.744672,19.848406
1995,"Single, no child, age<55",100,100,95.177773,88.815788,82.825066,7.924521,12.057069,0.9284302,11.088929,8.9913111,20.747091,3.4146047,40.859314,18.601511,36.400665,85.095062,37.930759,77.539185,5.7754517,4.8890929,10.875819,10.941394,49.323441,78.585609,27.208008,3.1190932,48.412342,2.7279265,48.355183,10.640407,27.175297,1.672192,27.730457,13.991624,18.969368
1995,"Single, no child, age>=55",100,100,95.963348,90.066399,88.905228,23.253147,11.581626,3.9764352,14.216658,8.7318821,26.210993,5.5463128,21.110743,9.5243378,25.233576,87.387695,65.162422,70.146271,8.5156088,7.6189203,5.2570672,5.2713938,71.092911,41.505733,12.437724,1.8887043,15.211123,0.70852488,25.07197,4.2706962,12.018327,0.66657478,8.907093,1.5943182,5.4932404
1995,Couple with child(ren),100,100,98.730286,94.490738,90.185799,9.3054113,36.202957,2.958446,15.542032,14.137257,36.159958,2.392705,57.578827,10.27057,48.568871,96.809212,74.640266,92.775551,13.175049,9.598093,17.802311,8.4987164,77.225151,89.207344,63.452732,6.6764812,63.641804,2.1843958,60.865639,9.7918053,62.973835,4.6503091,47.575821,17.325394,21.29052
1995,"Couple, no child",100,100,98.989403,95.599892,93.266693,22.187292,22.630512,4.8764544,21.435566,17.019806,40.193733,5.2633891,54.262398,11.105539,48.436928,95.96627,76.536453,91.521187,18.283989,14.261802,15.272179,9.770669,80.527954,71.649658,40.898338,6.2701159,38.99036,1.7998512,43.277691,7.2829671,39.547661,3.4400136,30.218273,8.5707188,11.663168
1998,Single with child(ren),100,100,90.709007,83.418663,78.577568,9.8076239,11.64804,1.2421492,8.7839413,7.2156482,21.141294,5.4692669,33.657711,9.2619781,31.004316,77.134552,47.142761,67.931931,6.2493582,3.9476993,3.1343579,6.5434451,50.289707,70.69735,29.141478,1.9719089,42.938549,1.654104,37.815388,7.8034849,28.845356,2.7470582,26.878965,13.470053,12.955845
1998,"Single, no child, age<55",100,100,93.701424,90.817924,87.573524,7.4487743,10.353699,1.9368045,14.272058,13.302029,14.944736,2.7217906,43.088451,16.2728,43.532089,79.960609,34.616879,73.797829,7.2879114,4.7983136,7.7474623,9.7021093,47.289738,76.251938,24.999247,4.4370131,46.078316,2.1868448,46.903595,10.028032,24.695488,1.5838889,26.727419,16.166368,13.309772
1998,"Single, no child, age>=55",100,100,97.183174,92.877579,90.288971,29.744902,10.412498,4.737782,15.696954,12.366714,24.836309,10.81561,28.614218,7.6539378,32.849594,84.5494,67.143478,69.435661,10.247459,5.177629,3.9375148,6.3812838,70.191277,38.307728,18.385006,2.5931282,11.777873,0.43939757,21.234169,2.3859341,16.66687,2.4487071,9.1434555,0.44243324,2.8182416
1998,Couple with child(ren),100,100,98.78582,94.899193,92.832397,10.059195,30.148161,2.3421762,22.867262,18.280628,34.084896,4.7947679,60.478321,8.5043335,59.045719,96.736191,79.102257,91.577713,13.33119,7.9693651,19.409784,7.2610192,80.201897,90.980263,67.066925,5.5196538,59.065964,2.9238038,55.820736,11.941973,65.466255,7.3587556,44.165199,14.323737,17.925283
1998,"Couple, no child",100,100,98.907051,96.502869,95.322319,21.74502,19.370657,4.3387308,24.174383,22.487139,39.462257,7.1044283,55.506424,8.7940683,56.043873,95.911644,77.968254,91.220383,20.543716,14.780752,16.139763,9.6831951,84.106773,71.688263,43.530499,7.240685,40.338264,2.918443,42.421379,7.7641344,42.391098,4.4491067,32.12891,9.1090021,10.039906
2001,Single with child(ren),100,100,88.294846,81.5896,77.942291,6.9126282,13.093368,0.7390458,6.4427643,5.9645419,21.721815,1.4327854,36.570213,12.93836,31.894033,79.453758,48.358044,72.551231,6.4520869,3.1493754,5.7987542,3.944916,48.28545,73.502228,35.630726,2.4209163,48.512283,1.9657897,47.945805,7.6060486,34.262646,2.0103047,34.239571,14.000312,12.989882
2001,"Single, no child, age<55",100,100,95.109108,92.218491,89.514931,9.543066,8.2269707,1.2807407,15.539168,12.984916,16.935646,3.7492635,44.89426,14.447522,48.209782,82.522728,37.686325,76.392891,5.6527991,3.1867597,6.808599,10.188748,50.443863,76.796165,25.818674,2.7054622,46.26231,2.5754852,47.856346,7.9092937,24.938538,2.851186,29.631664,15.720768,14.02808
2001,"Single, no child, age>=55",100,100,95.953056,92.70575,90.997147,24.614521,10.213232,2.8188407,17.044113,16.27051,22.623537,9.473505,31.997835,8.4953671,34.775425,83.051819,68.640831,69.246262,10.068984,8.0016136,3.9234915,5.5986595,72.292755,43.293755,19.287434,2.9650724,15.69714,1.2679793,27.03134,5.8341231,18.3664,0.93060428,10.68458,0.85519612,4.918539
2001,Couple with child(ren),100,100,98.664597,95.338188,93.524918,12.520342,26.760374,2.9092813,24.917015,20.610233,32.175304,5.1043391,66.781784,7.4612889,65.764717,96.92894,78.700996,93.863113,12.836851,9.2564831,19.811983,6.2099643,81.043922,90.417625,67.706268,6.6189294,60.765091,1.2951983,52.417915,8.8351116,66.922958,7.2885184,50.733543,14.632574,14.353586
2001,"Couple, no child",100,100,99.205956,96.941551,95.648758,21.537672,14.669491,4.906343,28.185011,22.118427,34.090488,10.590356,57.730656,9.0730886,58.376823,96.194809,78.596596,91.284813,15.453066,11.555252,17.747353,8.2332067,83.090523,73.014137,44.790802,5.0665703,40.150589,1.2513241,40.462029,5.570014,42.756203,5.9061098,32.107182,9.9582443,8.3182039
